ID,Dir,Length,AB_Link_ID,AB_From_Node_,AB_To_Node_ID,AB_Capacity,AB_Length,AB_Free_Speed,AB_Lanes,AB_Link_Type,BA_DB_ID,BA_Link_ID,BA_From_Node_,BA_To_Node_ID,BA_Capacity,BA_Length,BA_Free_Speed,BA_Lanes,BA_Link_Type,AB_Free_Time,AB_UE_Time,BA_Free_Time,BA_UE_Time,direction,ID1,AB_Flow,BA_Flow,Tot_Flow,AB_Time,BA_Time,Max_Time,AB_VOC,BA_VOC,Max_VOC,AB_VKmT,BA_VKmT,Tot_VKmT,AB_VHT,BA_VHT,Tot_VHT,AB_Speed,BA_Speed,AB_VDF,BA_VDF,Max_VDF
1,1,3.23235,0,0,1,6600,3.23236,90,3,1,,-1,-1,-1,-1,,-1,-1,-1,2.1549,2.15519,,,1,1,68.4,,68.4,2.15519,,2.15519,0.0103636,,0.0103636,221.0931,,221.0931,2.45692,,2.45692,89.9879,,2.15519,,2.15519
2,1,0.332655,1,2,3,6600,0.332655,90,3,1,,-1,-1,-1,-1,,-1,-1,-1,0.22177,0.235936,,,1,2,2104.1566,,2104.1566,0.235936,,0.235936,0.318812,,0.318812,699.9582,,699.9582,8.27409,,8.27409,84.5964,,0.235936,,0.235936
3,1,0.298135,2,4,5,1400,0.298135,40,1,4,,-1,-1,-1,-1,,-1,-1,-1,0.447203,0.488676,,,1,3,549.0655,,549.0655,0.488676,,0.488676,0.39219,,0.39219,163.6957,,163.6957,4.47192,,4.47192,36.6053,,0.488676,,0.488676
4,1,0.0625885,3,6,7,1400,0.062589,40,1,4,,-1,-1,-1,-1,,-1,-1,-1,0.0938835,0.108195,,,1,4,723.6655,,723.6655,0.108195,,0.108195,0.516904,,0.516904,45.2935,,45.2935,1.30495,,1.30495,34.7089,,0.108195,,0.108195
5,1,0.138751,4,7,8,1400,0.138751,40,1,4,,-1,-1,-1,-1,,-1,-1,-1,0.208127,0.239854,,,1,5,723.6655,,723.6655,0.239854,,0.239854,0.516904,,0.516904,100.4093,,100.4093,2.8929,,2.8929,34.7089,,0.239854,,0.239854
6,0,0.080581,5,8,9,1400,0.080581,40,1,5,7,6,9,8,1400,0.080581,40,1,5,0.120872,0.120981,0.120872,0.120871,0,6,42,0,42,0.120981,0.120871,0.120981,0.03,0,0.03,3.3844,0,3.3844,0.0846868,0,0.0846868,39.9637,40,0.120981,0.120871,0.120981
8,1,0.20126,7,8,10,1400,0.20126,40,1,4,,-1,-1,-1,-1,,-1,-1,-1,0.30189,0.343215,,,1,8,681.6655,,681.6655,0.343215,,0.343215,0.486904,,0.486904,137.192,,137.192,3.8993,,3.8993,35.1837,,0.343215,,0.343215
9,1,0.0765034,8,11,12,1400,0.076503,40,1,4,,-1,-1,-1,-1,,-1,-1,-1,0.114755,0.130463,,,1,9,681.6655,,681.6655,0.130463,,0.130463,0.486904,,0.486904,52.1495,,52.1495,1.4822,,1.4822,35.1837,,0.130463,,0.130463
10,1,0.0793861,9,12,13,1400,0.079386,40,1,4,,-1,-1,-1,-1,,-1,-1,-1,0.119079,0.13538,,,1,10,681.6655,,681.6655,0.13538,,0.13538,0.486904,,0.486904,54.1147,,54.1147,1.53806,,1.53806,35.1837,,0.13538,,0.13538
11,0,0.00873299,10,13,14,1400,0.008733,40,1,5,12,11,14,13,1400,0.008733,40,1,5,0.0130995,0.0150314,0.0130995,0.0130995,0,11,710.4741,0,710.4741,0.0150314,0.0130995,0.0150314,0.507482,0,0.507482,6.20457,0,6.20457,0.17799,0,0.17799,34.8591,40,0.0150314,0.0130995,0.0150314
13,0,0.12842,12,13,15,1400,0.12842,40,1,5,14,13,15,13,1400,0.12842,40,1,5,0.19263,0.207395,0.19263,0.221039,0,13,493.9077,710.4741,1204.3818,0.207395,0.221039,0.221039,0.352791,0.507482,0.507482,63.4276,91.2391,154.6667,1.70723,2.61737,4.3246,37.1523,34.8591,0.207395,0.221039,0.221039
15,1,0.0820496,14,13,16,1400,0.08205,40,1,4,,-1,-1,-1,-1,,-1,-1,-1,0.123075,0.123558,,,1,15,94.7578,,94.7578,0.123558,,0.123558,0.0676842,,0.0676842,7.77488,,7.77488,0.195135,,0.195135,39.8436,,0.123558,,0.123558
16,1,0.0139352,15,17,18,1400,0.013935,40,1,4,,-1,-1,-1,-1,,-1,-1,-1,0.0209025,0.0209941,,,1,16,100.7578,,100.7578,0.0209941,,0.0209941,0.0719699,,0.0719699,1.40406,,1.40406,0.0352554,,0.0352554,39.8254,,0.0209941,,0.0209941
17,1,0.0204922,16,17,19,1400,0.020492,40,1,4,,-1,-1,-1,-1,,-1,-1,-1,0.030738,0.030738,,,1,17,0,,0,0.030738,,0.030738,0,,0,0,,0,0,,0,40,,0.030738,,0.030738
18,1,0.0476023,17,20,21,1400,0.047602,40,1,4,,-1,-1,-1,-1,,-1,-1,-1,0.071403,0.0845254,,,1,18,802.8655,,802.8655,0.0845254,,0.0845254,0.573475,,0.573475,38.218,,38.218,1.13104,,1.13104,33.7901,,0.0845254,,0.0845254
19,1,0.146959,18,22,23,1400,0.146959,40,1,4,,-1,-1,-1,-1,,-1,-1,-1,0.220439,0.221405,,,1,19,100.7578,,100.7578,0.221405,,0.221405,0.0719699,,0.0719699,14.8073,,14.8073,0.371805,,0.371805,39.8254,,0.221405,,0.221405
20,1,0.285727,19,24,25,1400,0.285727,40,1,4,,-1,-1,-1,-1,,-1,-1,-1,0.42859,0.430469,,,1,20,100.7578,,100.7578,0.430469,,0.430469,0.0719699,,0.0719699,28.7892,,28.7892,0.722886,,0.722886,39.8254,,0.430469,,0.430469
21,1,0.111737,20,26,27,1400,0.111737,40,1,4,,-1,-1,-1,-1,,-1,-1,-1,0.167605,0.168263,,,1,21,94.7578,,94.7578,0.168263,,0.168263,0.0676842,,0.0676842,10.588,,10.588,0.265738,,0.265738,39.8436,,0.168263,,0.168263
