O_ID,D_ID,OD_Number
10000000,10000000,73
10000000,10000004,4
10000000,10000005,9
10000000,10000010,2
10000000,10000013,2
10000000,10000017,1
10000000,10000018,1
10000000,10000020,1
10000000,10000022,2
10000000,10000026,1
10000000,10000028,8
10000000,10000029,15
10000000,10000030,1
10000000,10000032,1
10000000,10000040,2
10000000,10000041,2
10000000,10000042,1
10000000,10000044,4
10000000,10000047,3
10000000,10000048,3
10000000,10000050,7
10000000,10000051,1
10000000,10000053,1
10000000,10000054,5
10000000,10000055,7
10000000,10000056,2
10000000,10000057,3
10000000,10000058,1
10000000,10000059,1
10000000,10000060,1
10000000,10000065,29
10000000,10000066,14
10000000,10000068,7
10000000,10000070,2
10000000,10000071,2
10000000,10000072,1
10000000,10000073,1
10000000,10000075,6
10000000,10000076,1
10000000,10000079,1
10000000,10000080,4
10000000,10000084,2
10000000,10000087,3
10000000,10000088,3
10000000,10000092,1
10000000,10000093,11
10000000,10000094,4
10000000,10000095,6
10000000,10000098,6
10000000,10000100,2
10000000,10000101,4
10000000,10000102,1
10000000,10000103,2
10000000,10000108,2
10000000,10000114,1
10000000,10000118,1
10000000,10000119,1
10000000,10000129,2
10000000,10000130,1
10000000,10000131,1
10000000,10000132,4
10000000,10000134,2
10000000,10000136,1
10000000,10000140,2
10000000,10000143,1
10000000,10000149,1
10000000,10000150,2
10000000,10000153,1
10000000,10000156,1
10000000,10000160,1
10000000,10000166,1
10000000,10000167,1
10000000,10000168,1
10000000,10000169,1
10000000,10000174,1
10000001,10000000,12
10000001,10000001,20
10000001,10000002,6
10000001,10000003,8
10000001,10000004,10
10000001,10000005,81
10000001,10000006,5
10000001,10000007,2
10000001,10000009,2
10000001,10000010,1
10000001,10000012,1
10000001,10000013,18
10000001,10000014,2
10000001,10000017,1
10000001,10000018,5
10000001,10000020,4
10000001,10000022,1
10000001,10000025,1
10000001,10000026,2
10000001,10000027,5
10000001,10000028,9
10000001,10000029,10
10000001,10000030,8
10000001,10000031,8
10000001,10000032,6
10000001,10000033,4
10000001,10000035,4
10000001,10000038,1
10000001,10000040,17
10000001,10000041,16
10000001,10000042,6
10000001,10000044,9
10000001,10000045,2
10000001,10000046,2
10000001,10000047,2
10000001,10000048,4
10000001,10000050,13
10000001,10000051,11
10000001,10000053,2
10000001,10000054,6
10000001,10000055,6
10000001,10000056,22
10000001,10000057,3
10000001,10000058,1
10000001,10000065,50
10000001,10000066,115
10000001,10000067,4
10000001,10000068,13
10000001,10000069,10
10000001,10000070,11
10000001,10000071,4
10000001,10000072,3
10000001,10000073,5
10000001,10000075,27
10000001,10000076,1
10000001,10000078,3
10000001,10000079,2
10000001,10000080,3
10000001,10000081,8
10000001,10000082,1
10000001,10000084,4
10000001,10000085,6
10000001,10000088,3
10000001,10000091,6
10000001,10000092,3
10000001,10000093,9
10000001,10000094,8
10000001,10000095,12
10000001,10000096,7
10000001,10000098,2
10000001,10000100,4
10000001,10000102,1
10000001,10000105,1
10000001,10000106,4
10000001,10000107,2
10000001,10000108,3
10000001,10000109,6
10000001,10000112,4
10000001,10000113,2
10000001,10000114,1
10000001,10000115,1
10000001,10000117,1
10000001,10000118,14
10000001,10000119,2
10000001,10000120,1
10000001,10000122,1
10000001,10000123,3
10000001,10000125,2
10000001,10000126,10
10000001,10000127,5
10000001,10000128,2
10000001,10000129,4
10000001,10000131,6
10000001,10000132,3
10000001,10000135,6
10000001,10000136,5
10000001,10000137,1
10000001,10000138,7
10000001,10000139,9
10000001,10000140,12
10000001,10000141,1
10000001,10000143,2
10000001,10000150,2
10000001,10000153,4
10000001,10000156,18
10000001,10000158,2
10000001,10000159,2
10000001,10000163,1
10000001,10000165,1
10000001,10000166,3
10000001,10000167,4
10000001,10000169,1
10000001,10000170,1
10000001,10000171,3
