"ID1","AB_Flow_PCE","BA_Flow_PCE","Tot_Flow_PCE","AB_Time","BA_Time","Max_Time","AB_VOC","BA_VOC","Max_VOC","AB_VKmT","BA_VKmT","Tot_VKmT","AB_VHT","BA_VHT","Tot_VHT","AB_Speed","BA_Speed","AB_VDF","BA_VDF","Max_VDF","AB_Flow_OD_Number","BA_Flow_OD_Number","AB_Flow","BA_Flow","Tot_Flow"
1,177.6000,,177.6000,0.41404,,0.41404,0.0444,,0.0444,72.8977,,72.8977,1.22556,,1.22556,59.4813,,0.41404,,0.41404,177.6000,,177.6000,,177.6000
2,59.4000,81.6000,141.0000,0.200717,0.201553,0.201553,0.0424286,0.0582857,0.0582857,7.88357,10.8300,18.7135,0.198709,0.274112,0.472822,39.6738,39.5092,0.200717,0.201553,0.201553,59.4000,81.6000,59.4000,81.6000,141.0000
4,81.6000,59.4000,141.0000,0.0763371,0.0760204,0.0763371,0.0582857,0.0424286,0.0582857,4.10179,2.98586,7.08765,0.103819,0.0752602,0.179079,39.5092,39.6738,0.0763371,0.0760204,0.0763371,81.6000,59.4000,81.6000,59.4000,141.0000
6,19.2000,2.4,21.6000,0.186172,0.185844,0.186172,0.0137143,0.00171429,0.0137143,2.3785,0.297312,2.67581,0.059575,0.00743374,0.0670087,39.9244,39.9949,0.186172,0.185844,0.186172,19.2000,2.4,19.2000,2.4,21.6000
8,2.4,19.2000,21.6000,0.444647,0.445433,0.445433,0.00171429,0.0137143,0.0137143,0.711346,5.69076,6.40211,0.0177859,0.142539,0.160324,39.9949,39.9244,0.444647,0.445433,0.445433,2.4,19.2000,2.4,19.2000,21.6000
10,272.8653,599.4000,872.2653,0.326307,0.359042,0.359042,0.194904,0.428143,0.428143,56.0162,123.0502,179.0665,1.48396,3.58683,5.07079,37.7477,34.3061,0.326307,0.359042,0.359042,272.8653,599.4000,272.8653,599.4000,872.2653
12,599.4000,272.8653,872.2653,0.341648,0.310499,0.341648,0.428143,0.194904,0.428143,117.0892,53.3026,170.3918,3.41307,1.41208,4.82514,34.3061,37.7477,0.341648,0.310499,0.341648,599.4000,272.8653,599.4000,272.8653,872.2653
14,38.4000,213.2715,251.6715,0.209174,0.217221,0.217221,0.0274286,0.152337,0.152337,5.33,29.6025,34.9325,0.133871,0.772117,0.905988,39.8144,38.3394,0.209174,0.217221,0.217221,38.4000,213.2715,38.4000,213.2715,251.6715
16,0.0000,0.0000,0.0000,0.303207,0.303207,0.303207,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,40.0000,40.0000,0.303207,0.303207,0.303207,0.0000,0.0000,0.0000,0.0000,0.0000
18,190.7399,156.0000,346.7399,0.0149923,0.0148678,0.0149923,0.136243,0.111429,0.136243,1.83759,1.5029,3.34049,0.0476606,0.0386564,0.086317,38.5557,38.8786,0.0149923,0.0148678,0.0149923,190.7399,156.0000,190.7399,156.0000,346.7399
20,156.0000,190.7399,346.7399,0.161258,0.162608,0.162608,0.111429,0.136243,0.136243,16.3006,19.9306,36.2312,0.41927,0.516931,0.9362,38.8786,38.5557,0.161258,0.162608,0.162608,156.0000,190.7399,156.0000,190.7399,346.7399
22,0.0000,,0.0000,0.0823575,,0.0823575,0.0000,,0.0000,0.0000,,0.0000,0.0000,,0.0000,40.0000,,0.0823575,,0.0823575,0.0000,,0.0000,,0.0000
23,0.0000,0.0000,0.0000,0.218233,0.218233,0.218233,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,40.0000,40.0000,0.218233,0.218233,0.218233,0.0000,0.0000,0.0000,0.0000,0.0000
