Link_ID,From_Node_ID,To_Node_ID,Capacity,Length,Free_Speed,Lanes,Link_Type
0,0,1,9900,313.92,60.0,3,1
1,0,2,9900,501.07,60.0,3,1
2,3,4,9900,1338.66,60.0,3,1
3,5,6,9900,413.87,60.0,3,1
4,7,8,950,100.0,20.0,1,4
5,8,7,950,100.0,20.0,1,4
6,9,10,950,101.83,20.0,1,5
7,10,9,950,101.83,20.0,1,5
8,9,11,950,102.61,20.0,1,5
9,11,9,950,102.61,20.0,1,5
10,7,12,950,202.69,20.0,1,4
11,12,7,950,202.69,20.0,1,4
12,7,13,950,100.84,20.0,1,4
13,13,7,950,100.84,20.0,1,4
14,14,15,950,100.92,20.0,1,4
15,15,14,950,100.92,20.0,1,4
16,16,17,950,101.39,20.0,1,5
17,17,16,950,101.39,20.0,1,5
18,16,18,950,100.4,20.0,1,5
19,18,16,950,100.4,20.0,1,5
20,14,19,950,101.4,20.0,1,4
21,19,14,950,101.4,20.0,1,4
22,14,20,950,101.9,20.0,1,4
23,20,14,950,101.9,20.0,1,4
24,21,22,950,95.72,20.0,1,5
25,22,21,950,95.72,20.0,1,5
26,21,23,950,100.74,20.0,1,5
27,23,21,950,100.74,20.0,1,5
28,14,24,950,203.88,20.0,1,4
29,24,14,950,203.88,20.0,1,4
30,25,26,9900,147.77,60.0,3,1
31,25,27,9900,389.75,60.0,3,1
32,28,29,950,202.09,20.0,1,5
33,29,28,950,202.09,20.0,1,5
34,28,30,950,202.84,20.0,1,5
35,30,28,950,202.84,20.0,1,5
36,26,31,9900,338.65,60.0,3,1
37,5,32,9900,1211.75,60.0,3,1
38,26,33,9900,582.89,60.0,3,1
39,33,34,9900,292.55,60.0,3,1
40,35,36,9900,912.63,60.0,3,1
41,37,38,950,219.71,20.0,1,4
42,38,37,950,219.71,20.0,1,4
43,37,39,950,388.7,20.0,1,4
44,39,37,950,388.7,20.0,1,4
45,36,40,9900,139.52,60.0,3,1
46,41,42,950,81.5,20.0,1,4
47,42,41,950,81.5,20.0,1,4
48,41,43,950,298.96,20.0,1,4
49,43,41,950,298.96,20.0,1,4
50,36,44,9900,247.43,60.0,3,1
51,45,46,950,116.57,20.0,1,4
52,46,45,950,116.57,20.0,1,4
53,45,47,950,114.26,20.0,1,4
54,47,45,950,114.26,20.0,1,4
55,48,49,950,210.56,20.0,1,4
56,49,48,950,210.56,20.0,1,4
57,48,50,950,223.72,20.0,1,4
58,50,48,950,223.72,20.0,1,4
59,51,52,5400,161.22,40.0,2,3
60,52,51,5400,161.22,40.0,2,3
61,51,53,5400,130.98,40.0,2,3
62,53,51,5400,130.98,40.0,2,3
63,54,55,5400,102.05,40.0,2,3
64,55,54,5400,102.05,40.0,2,3
65,54,56,5400,99.28,40.0,2,3
66,56,54,5400,99.28,40.0,2,3
67,57,58,9900,167.65,60.0,3,1
68,59,60,5400,128.39,40.0,2,3
69,61,62,5400,55.22,40.0,2,3
70,62,61,5400,55.22,40.0,2,3
71,63,64,950,203.1,20.0,1,4
72,64,63,950,203.1,20.0,1,4
73,63,65,950,94.43,20.0,1,4
74,65,63,950,94.43,20.0,1,4
75,61,66,5400,76.32,40.0,2,3
76,67,68,950,19.48,20.0,1,4
77,67,69,5400,118.54,40.0,2,3
78,70,71,950,180.1,20.0,1,4
79,71,70,950,180.1,20.0,1,4
80,70,72,950,101.4,20.0,1,4
81,72,70,950,101.4,20.0,1,4
82,73,74,9900,369.58,60.0,3,1
83,75,76,950,101.09,20.0,1,5
84,76,75,950,101.09,20.0,1,5
85,75,77,950,101.54,20.0,1,5
86,77,75,950,101.54,20.0,1,5
87,78,79,9900,836.49,60.0,3,1
88,79,80,9900,302.4,60.0,3,1
89,57,81,9900,301.96,60.0,3,1
90,82,83,5400,100.56,40.0,2,3
91,83,82,5400,100.56,40.0,2,3
92,84,85,5400,202.04,40.0,2,3
93,82,86,5400,102.22,40.0,2,3
94,86,82,5400,102.22,40.0,2,3
95,87,88,950,22.73,20.0,1,5
96,88,87,950,22.73,20.0,1,5
97,87,89,950,314.74,20.0,1,5
98,89,87,950,314.74,20.0,1,5
99,82,90,950,105.77,20.0,1,4
100,90,82,950,105.77,20.0,1,4
101,91,92,950,143.32,20.0,1,5
102,92,91,950,143.32,20.0,1,5
103,91,93,950,142.55,20.0,1,5
104,93,91,950,142.55,20.0,1,5
105,82,94,950,203.58,20.0,1,4
106,94,82,950,203.58,20.0,1,4
107,95,96,950,87.66,20.0,1,4
108,96,95,950,87.66,20.0,1,4
109,95,97,950,211.21,20.0,1,4
110,97,95,950,211.21,20.0,1,4
111,98,99,5400,204.14,40.0,2,3
112,99,98,5400,204.14,40.0,2,3
113,100,101,950,18.94,20.0,1,5
114,101,100,950,18.94,20.0,1,5
115,102,103,950,92.42,20.0,1,5
116,103,102,950,92.42,20.0,1,5
117,98,104,5400,105.79,40.0,2,3
118,104,98,5400,105.79,40.0,2,3
119,102,105,950,121.15,20.0,1,5
120,105,102,950,121.15,20.0,1,5
121,106,107,950,123.76,20.0,1,5
122,107,106,950,123.76,20.0,1,5
123,108,109,950,150.42,20.0,1,4
124,109,108,950,150.42,20.0,1,4
125,98,110,5400,142.99,40.0,2,3
126,110,98,5400,142.99,40.0,2,3
127,108,111,950,202.31,20.0,1,5
128,111,108,950,202.31,20.0,1,5
129,109,112,950,56.96,20.0,1,4
130,112,109,950,56.96,20.0,1,4
133,112,113,950,50.65,20.0,1,4
134,113,112,950,50.65,20.0,1,4
139,113,114,950,146.21,20.0,1,4
140,114,113,950,146.21,20.0,1,4
141,114,115,950,99.33,20.0,1,4
142,115,114,950,99.33,20.0,1,4
145,98,116,5400,210.38,40.0,2,3
146,116,98,5400,210.38,40.0,2,3
147,115,117,950,104.23,20.0,1,4
148,117,115,950,104.23,20.0,1,4
151,117,118,950,202.67,20.0,1,4
152,118,117,950,202.67,20.0,1,4
155,118,119,950,100.36,20.0,1,4
156,119,118,950,100.36,20.0,1,4
157,118,64,950,202.78,20.0,1,4
158,64,118,950,202.78,20.0,1,4
161,118,120,950,102.77,20.0,1,4
162,120,118,950,102.77,20.0,1,4
163,98,121,950,296.03,20.0,1,4
164,121,98,950,296.03,20.0,1,4
169,65,122,950,108.75,20.0,1,4
170,122,65,950,108.75,20.0,1,4
173,122,123,950,202.95,20.0,1,4
174,123,122,950,202.95,20.0,1,4
177,98,124,950,206.1,20.0,1,4
178,124,98,950,206.1,20.0,1,4
181,123,125,950,196.56,20.0,1,4
182,125,123,950,196.56,20.0,1,4
183,126,127,950,101.41,20.0,1,4
184,127,126,950,101.41,20.0,1,4
185,126,125,950,107.97,20.0,1,4
186,125,126,950,107.97,20.0,1,4
187,128,129,950,203.73,20.0,1,4
188,129,128,950,203.73,20.0,1,4
