O_ID,D_ID,OD_Number
10000000,10000000,143
10000000,10000001,1
10000000,10000002,1
10000000,10000005,1
10000000,10000010,2
10000000,10000011,1
10000000,10000012,8
10000000,10000014,1
10000000,10000015,6
10000000,10000017,7
10000000,10000027,1
10000000,10000031,80
10000000,10000035,1
10000000,10000041,4
10000000,10000042,2
10000000,10000043,1
10000000,10000044,6
10000000,10000048,3
10000000,10000049,41
10000000,10000050,33
10000000,10000051,12
10000000,10000052,13
10000000,10000053,5
10000000,10000054,24
10000000,10000055,4
10000000,10000057,72
10000000,10000059,10
10000000,10000060,1
10000000,10000061,1
10000000,10000066,2
10000000,10000067,1230
10000000,10000069,2
10000000,10000070,3
10000000,10000071,6
10000000,10000072,1
10000000,10000078,1
10000000,10000083,2
10000000,10000087,7
10000000,10000091,3
10000000,10000093,1
10000000,10000094,1
10000000,10000095,3
10000000,10000097,1
10000000,10000099,1
10000000,10000101,8
10000000,10000108,1
10000000,10000111,1
10000000,10000112,4
10000000,10000115,3
10000000,10000116,2
10000000,10000117,5
10000000,10000120,1
10000000,10000121,1
10000000,10000124,2
10000000,10000125,3
10000000,10000128,3
10000000,10000130,3
10000000,10000137,2
10000000,10000141,1
10000000,10000153,2
10000000,10000159,5
10000000,10000167,2
10000000,10000168,1
10000000,10000170,1
10000000,10000176,1
10000000,10000180,1
10000000,10000199,1
10000000,10000213,1
10000000,10000222,1
10000000,10000227,1
10000000,10000233,1
10000000,10000240,3
10000000,10000241,1
10000000,10000245,2
10000000,10000267,2
10000000,10000277,1
10000000,10000279,3
10000000,10000283,1
10000000,10000286,2
10000000,10000291,1
10000000,10000294,1
10000000,10000298,1
10000000,10000299,1
10000000,10000313,1
10000000,10000319,1
10000000,10000321,3
10000000,10000328,1
10000000,10000337,1
10000000,10000341,1
10000000,10000342,1
10000000,10000350,1
10000000,10000355,1
10000000,10000357,1
10000000,10000361,2
10000000,10000362,2
10000000,10000363,18
10000000,10000364,28
10000000,10000367,1
10000000,10000380,2
10000000,10000381,2
10000000,10000390,1
10000000,10000397,1
10000000,10000398,3
10000000,10000399,1
10000000,10000418,1
10000000,10000419,1
10000000,10000424,1
10000000,10000436,4
10000000,10000451,2
10000000,10000453,1
10000000,10000454,1
10000000,10000467,1
10000000,10000478,2
10000000,10000481,1
10000000,10000499,1
10000000,10000504,1
10000000,10000509,1
10000000,10000513,2
10000000,10000517,23
10000000,10000522,8
10000000,10000523,4
10000000,10000524,360
10000000,10000525,106
10000000,10000527,6
10000000,10000528,105
10000000,10000529,106
10000000,10000530,1
10000000,10000531,1
10000000,10000533,2
10000000,10000534,1
10000000,10000540,1
10000000,10000554,1
10000000,10000560,1
10000000,10000561,3
10000000,10000563,1
10000000,10000571,4
10000000,10000572,3
10000000,10000593,1
10000000,10000601,1
10000000,10000602,7
10000000,10000603,1
10000000,10000607,1
10000000,10000608,1
10000000,10000616,3
10000000,10000632,3
10000000,10000637,1
10000000,10000642,1
10000000,10000644,2
10000000,10000647,6
10000000,10000653,2
10000000,10000657,1
10000000,10000661,1
10000000,10000665,1
10000000,10000670,1
10000000,10000678,84
10000000,10000679,2
10000000,10000680,118
10000000,10000681,341
10000000,10000682,14
10000000,10000683,24
10000000,10000684,103
10000000,10000685,1
10000000,10000686,2
10000000,10000689,1
10000000,10000690,3
10000000,10000691,1
10000000,10000692,13
10000000,10000693,36
10000000,10000694,4
10000000,10000695,49
10000000,10000696,11
10000000,10000697,2
10000000,10000700,1
10000000,10000702,4
10000000,10000704,1
10000000,10000713,6
10000000,10000715,1
10000000,10000716,1
10000000,10000718,5
10000000,10000719,1
10000000,10000720,9
10000000,10000721,2
10000000,10000726,1
10000000,10000729,1
10000000,10000731,1
10000000,10000732,1
10000000,10000736,3
10000000,10000737,2
10000000,10000738,1
10000000,10000739,4
10000000,10000740,3
