O_ID,D_ID,OD_Number
10000000,10000000,11
10000000,10000012,13
10000000,10000015,1
10000000,10000016,7
10000000,10000019,2
10000000,10000025,2
10000000,10000038,6
10000000,10000039,14
10000000,10000040,43
10000000,10000045,2
10000000,10000056,1
10000000,10000058,11
10000000,10000065,3
10000000,10000066,2
10000000,10000068,1
10000000,10000084,2
10000000,10000085,4
10000000,10000088,3
10000000,10000090,1
10000000,10000092,6
10000000,10000097,1
10000000,10000102,2
10000000,10000104,1
10000000,10000108,2
10000000,10000116,1
10000000,10000117,3
10000000,10000124,1
10000000,10000139,4
10000000,10000140,1
10000000,10000150,2
10000000,10000153,1
10000000,10000159,13
10000000,10000167,2
10000000,10000168,1
10000000,10000170,3
10000000,10000174,1
10000000,10000177,1
10000000,10000181,6
10000000,10000182,4
10000001,10000001,10
10000001,10000005,1
10000001,10000007,1
10000001,10000008,2
10000001,10000009,1
10000001,10000010,1
10000001,10000011,1
10000001,10000012,6
10000001,10000016,5
10000001,10000019,5
10000001,10000020,2
10000001,10000022,3
10000001,10000025,5
10000001,10000027,7
10000001,10000029,4
10000001,10000031,3
10000001,10000038,8
10000001,10000039,5
10000001,10000040,123
10000001,10000044,1
10000001,10000046,1
10000001,10000047,1
10000001,10000056,3
10000001,10000058,32
10000001,10000059,3
10000001,10000068,1
10000001,10000072,5
10000001,10000073,1
10000001,10000075,6
10000001,10000077,1
10000001,10000078,2
10000001,10000079,2
10000001,10000080,11
10000001,10000081,4
10000001,10000082,3
10000001,10000083,1
10000001,10000084,3
10000001,10000085,1
10000001,10000089,2
10000001,10000092,7
10000001,10000097,6
10000001,10000098,2
10000001,10000102,4
10000001,10000104,1
10000001,10000107,3
10000001,10000108,2
10000001,10000110,2
10000001,10000112,2
10000001,10000113,3
10000001,10000116,4
10000001,10000117,4
10000001,10000118,1
10000001,10000130,1
10000001,10000132,3
10000001,10000133,4
10000001,10000136,1
10000001,10000139,4
10000001,10000140,1
10000001,10000146,1
10000001,10000147,1
10000001,10000148,4
10000001,10000150,3
10000001,10000151,4
10000001,10000152,1
10000001,10000153,3
10000001,10000157,14
10000001,10000158,9
10000001,10000159,4
10000001,10000161,1
10000001,10000165,1
10000001,10000170,2
10000001,10000173,2
10000001,10000174,3
10000001,10000176,1
10000001,10000177,3
10000001,10000180,1
10000001,10000181,5
10000001,10000182,9
10000001,10000183,1
10000001,10000184,1
10000002,10000002,5
10000002,10000004,5
10000002,10000009,2
10000002,10000011,4
10000002,10000012,6
10000002,10000013,2
10000002,10000015,2
10000002,10000016,7
10000002,10000017,1
10000002,10000018,1
10000002,10000019,5
10000002,10000020,2
10000002,10000021,1
10000002,10000022,4
10000002,10000025,1
10000002,10000027,4
