"ID1","AB_Flow_PCE","BA_Flow_PCE","Tot_Flow_PCE","AB_Time","BA_Time","Max_Time","AB_VOC","BA_VOC","Max_VOC","AB_VKmT","BA_VKmT","Tot_VKmT","AB_VHT","BA_VHT","Tot_VHT","AB_Speed","BA_Speed","AB_VDF","BA_VDF","Max_VDF","AB_Flow_OD_Number","BA_Flow_OD_Number","AB_Flow","BA_Flow","Tot_Flow"
1,0.0000,,0.0000,0.076734,,0.076734,0.0000,,0.0000,0.0000,,0.0000,0.0000,,0.0000,90.0000,,0.076734,,0.076734,0.0000,,0.0000,,0.0000
2,16.8000,,16.8000,0.0793621,,0.0793621,0.012,,0.012,0.88867,,0.88867,0.0222214,,0.0222214,39.9916,,0.0793621,,0.0793621,16.8000,,16.8000,,16.8000
3,16.8000,,16.8000,0.16795,,0.16795,0.012,,0.012,1.88064,,1.88064,0.0470259,,0.0470259,39.9916,,0.16795,,0.16795,16.8000,,16.8000,,16.8000
4,16.8000,,16.8000,0.123045,,0.123045,0.012,,0.012,1.37782,,1.37782,0.0344527,,0.0344527,39.9916,,0.123045,,0.123045,16.8000,,16.8000,,16.8000
5,23.4000,,23.4000,0.170033,,0.170033,0.0167143,,0.0167143,2.6515,,2.6515,0.0663127,,0.0663127,39.9848,,0.170033,,0.170033,23.4000,,23.4000,,23.4000
6,23.4000,,23.4000,0.443944,,0.443944,0.0167143,,0.0167143,6.92289,,6.92289,0.173138,,0.173138,39.9848,,0.443944,,0.443944,23.4000,,23.4000,,23.4000
7,12.6000,,12.6000,0.0327686,,0.0327686,0.009,,0.009,0.275222,,0.275222,0.0068814,,0.0068814,39.9950,,0.0327686,,0.0327686,12.6000,,12.6000,,12.6000
8,10.8000,,10.8000,0.0363199,,0.0363199,0.00771429,,0.00771429,0.261479,,0.261479,0.00653759,,0.00653759,39.9962,,0.0363199,,0.0363199,10.8000,,10.8000,,10.8000
9,0.0000,0.0000,0.0000,0.150403,0.150403,0.150403,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,40.0000,40.0000,0.150403,0.150403,0.150403,0.0000,0.0000,0.0000,0.0000,0.0000
11,0.0000,0.0000,0.0000,0.03867,0.03867,0.03867,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,40.0000,40.0000,0.03867,0.03867,0.03867,0.0000,0.0000,0.0000,0.0000,0.0000
13,0.0000,0.0000,0.0000,0.189186,0.189186,0.189186,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,40.0000,40.0000,0.189186,0.189186,0.189186,0.0000,0.0000,0.0000,0.0000,0.0000
15,10.2000,14.4000,24.6000,0.182009,0.182022,0.182022,0.00728571,0.0102857,0.0102857,1.23756,1.74714,2.98469,0.0309415,0.0436854,0.0746269,39.9966,39.9937,0.182009,0.182022,0.182022,10.2000,14.4000,10.2000,14.4000,24.6000
17,14.4000,6,20.4000,0.182468,0.182445,0.182468,0.0102857,0.00428571,0.0102857,1.75141,0.729756,2.48117,0.0437923,0.0182445,0.0620368,39.9937,39.9987,0.182468,0.182445,0.182468,14.4000,6,14.4000,6,20.4000
19,6,14.4000,20.4000,0.174925,0.174947,0.174947,0.00428571,0.0102857,0.0102857,0.699678,1.67923,2.37891,0.0174925,0.0419873,0.0594799,39.9987,39.9937,0.174925,0.174947,0.174947,6,14.4000,6,14.4000,20.4000
21,6,14.4000,20.4000,0.00970682,0.00970804,0.00970804,0.00428571,0.0102857,0.0102857,0.038826,0.0931824,0.132008,0.000970682,0.00232993,0.00330061,39.9987,39.9937,0.00970682,0.00970804,0.00970804,6,14.4000,6,14.4000,20.4000
23,6,14.4000,20.4000,0.185621,0.185644,0.185644,0.00428571,0.0102857,0.0102857,0.742458,1.7819,2.52436,0.0185621,0.0445545,0.0631166,39.9987,39.9937,0.185621,0.185644,0.185644,6,14.4000,6,14.4000,20.4000
25,0.0000,1.8,1.8,0.084771,0.0847713,0.0847713,0.0000,0.00128571,0.00128571,0.0000,0.101725,0.101725,0.0000,0.00254314,0.00254314,40.0000,39.9998,0.084771,0.0847713,0.0847713,0.0000,1.8,0.0000,1.8,1.8
27,3,6,9,0.403651,0.40366,0.40366,0.00214286,0.00428571,0.00428571,0.807294,1.61459,2.42188,0.0201825,0.040366,0.0605486,39.9996,39.9987,0.403651,0.40366,0.40366,3,6,3,6,9
29,1.8,,1.8,0.0954289,,0.0954289,0.00128571,,0.00128571,0.114514,,0.114514,0.00286287,,0.00286287,39.9999,,0.0954289,,0.0954289,1.8,,1.8,,1.8
30,3,6,9,0.146373,0.146376,0.146376,0.00214286,0.00428571,0.00428571,0.292743,0.585486,0.878229,0.00731864,0.0146376,0.0219563,39.9996,39.9987,0.146373,0.146376,0.146376,3,6,3,6,9
32,4.2,3,7.2,0.162639,0.162638,0.162639,0.003,0.00214286,0.003,0.455381,0.325272,0.780653,0.0113847,0.00813188,0.0195166,39.9993,39.9996,0.162639,0.162638,0.162639,4.2,3,4.2,3,7.2
34,0.0000,,0.0000,0.0702673,,0.0702673,0.0000,,0.0000,0.0000,,0.0000,0.0000,,0.0000,90.0000,,0.0702673,,0.0702673,0.0000,,0.0000,,0.0000
35,3,4.2,7.2,0.164561,0.164562,0.164562,0.00214286,0.003,0.003,0.329118,0.460765,0.789883,0.00822803,0.0115193,0.0197474,39.9996,39.9993,0.164561,0.164562,0.164562,3,4.2,3,4.2,7.2
37,3,4.2,7.2,0.140932,0.140933,0.140933,0.00214286,0.003,0.003,0.281862,0.394607,0.676469,0.00704662,0.00986534,0.016912,39.9996,39.9993,0.140932,0.140933,0.140933,3,4.2,3,4.2,7.2
39,3,3.6,6.6,0.162348,0.162349,0.162349,0.00214286,0.00257143,0.00257143,0.324693,0.389632,0.714325,0.0081174,0.00974092,0.0178583,39.9996,39.9995,0.162348,0.162349,0.162349,3,3.6,3,3.6,6.6
41,3.6,3,6.6,0.146552,0.146551,0.146552,0.00257143,0.00214286,0.00257143,0.35172,0.2931,0.64482,0.00879312,0.00732757,0.0161207,39.9995,39.9996,0.146552,0.146551,0.146552,3.6,3,3.6,3,6.6
43,3,3.6,6.6,0.107323,0.107323,0.107323,0.00214286,0.00257143,0.00257143,0.214644,0.257573,0.472217,0.00536615,0.0064394,0.0118056,39.9996,39.9995,0.107323,0.107323,0.107323,3,3.6,3,3.6,6.6
45,0.0000,0.0000,0.0000,0.0326115,0.0326115,0.0326115,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,40.0000,40.0000,0.0326115,0.0326115,0.0326115,0.0000,0.0000,0.0000,0.0000,0.0000
47,3.6,3,6.6,0.0313654,0.0313653,0.0313654,0.00257143,0.00214286,0.00257143,0.075276,0.06273,0.138006,0.00188192,0.00156826,0.00345019,39.9995,39.9996,0.0313654,0.0313653,0.0313654,3.6,3,3.6,3,6.6
