Link_ID,From_Node_ID,To_Node_ID,Capacity,Length,Free_Speed,Lanes,Link_Type
0,0,1,950,33.82,20.0,1,4
1,0,2,950,100.92,20.0,1,4
2,3,4,950,154.69,20.0,1,4
3,4,3,950,154.69,20.0,1,4
4,5,6,9900,260.01,60.0,3,2
5,7,8,950,102.49,20.0,1,5
6,8,7,950,102.49,20.0,1,5
7,7,9,950,397.87,20.0,1,5
8,9,7,950,397.87,20.0,1,5
9,10,11,9900,15.87,60.0,3,1
10,12,13,950,168.03,20.0,1,4
11,14,15,950,74.41,20.0,1,5
12,15,14,950,74.41,20.0,1,5
13,14,16,950,86.14,20.0,1,5
14,16,14,950,86.14,20.0,1,5
15,10,17,5400,261.04,40.0,2,3
16,18,19,950,46.55,20.0,1,5
17,19,18,950,46.55,20.0,1,5
18,18,20,950,73.93,20.0,1,5
19,20,18,950,73.93,20.0,1,5
20,21,22,9900,510.83,60.0,3,1
21,23,24,950,43.14,20.0,1,5
22,24,23,950,43.14,20.0,1,5
23,23,25,950,183.88,20.0,1,5
24,25,23,950,183.88,20.0,1,5
25,21,26,950,249.67,20.0,1,4
26,27,28,950,13.24,20.0,1,5
27,28,27,950,13.24,20.0,1,5
28,27,29,950,156.04,20.0,1,4
29,30,31,950,286.0,20.0,1,5
30,31,30,950,286.0,20.0,1,5
31,30,28,950,179.4,20.0,1,5
32,28,30,950,179.4,20.0,1,5
33,32,33,950,170.01,20.0,1,5
34,33,32,950,170.01,20.0,1,5
35,34,35,9900,395.04,60.0,3,1
36,32,36,950,44.62,20.0,1,5
37,36,32,950,44.62,20.0,1,5
38,32,31,950,154.41,20.0,1,5
39,31,32,950,154.41,20.0,1,5
40,37,38,950,195.53,20.0,1,5
41,38,37,950,195.53,20.0,1,5
42,37,39,950,202.01,20.0,1,5
43,39,37,950,202.01,20.0,1,5
44,40,41,950,78.61,20.0,1,5
45,41,40,950,78.61,20.0,1,5
46,40,42,950,419.79,20.0,1,5
47,42,40,950,419.79,20.0,1,5
48,40,38,950,153.17,20.0,1,5
49,38,40,950,153.17,20.0,1,5
50,34,43,9900,1958.6,60.0,3,1
51,44,45,950,196.05,20.0,1,5
52,45,44,950,196.05,20.0,1,5
53,44,46,950,132.76,20.0,1,5
54,46,44,950,132.76,20.0,1,5
55,47,48,9900,26.89,60.0,3,2
56,48,47,9900,26.89,60.0,3,2
57,49,50,950,150.64,20.0,1,4
58,50,49,950,150.64,20.0,1,4
59,47,51,9900,421.61,60.0,3,2
60,49,52,950,152.16,20.0,1,4
61,52,49,950,152.16,20.0,1,4
62,53,54,9900,270.57,60.0,3,1
63,53,55,9900,1460.51,60.0,3,1
64,56,57,950,252.33,20.0,1,4
65,58,59,950,161.35,20.0,1,4
66,56,60,950,725.14,20.0,1,4
67,61,62,950,73.97,20.0,1,5
68,62,61,950,73.97,20.0,1,5
69,63,64,5400,182.22,40.0,2,3
70,61,65,950,33.46,20.0,1,5
71,65,61,950,33.46,20.0,1,5
72,63,66,950,60.03,20.0,1,4
73,67,68,950,86.54,20.0,1,4
74,69,70,950,93.39,20.0,1,5
75,70,69,950,93.39,20.0,1,5
76,69,71,950,118.74,20.0,1,5
77,71,69,950,118.74,20.0,1,5
78,72,73,9900,728.07,60.0,3,1
79,74,75,950,116.15,20.0,1,5
80,75,74,950,116.15,20.0,1,5
81,74,76,950,441.32,20.0,1,5
82,76,74,950,441.32,20.0,1,5
83,51,77,9900,128.53,60.0,3,2
84,51,78,9900,797.13,60.0,3,2
85,79,80,950,556.71,20.0,1,4
86,81,82,950,185.58,20.0,1,5
87,82,81,950,185.58,20.0,1,5
88,81,83,950,90.57,20.0,1,5
89,83,81,950,90.57,20.0,1,5
90,79,84,9900,333.58,60.0,3,1
91,85,86,950,52.14,20.0,1,5
92,86,85,950,52.14,20.0,1,5
93,85,87,950,47.4,20.0,1,5
94,87,85,950,47.4,20.0,1,5
95,88,89,9900,375.16,60.0,3,1
96,90,91,950,64.15,20.0,1,5
97,91,90,950,64.15,20.0,1,5
98,88,92,950,408.2,20.0,1,4
99,90,93,950,106.03,20.0,1,5
100,93,90,950,106.03,20.0,1,5
101,89,94,9900,154.14,60.0,3,1
102,95,96,950,171.02,20.0,1,4
103,97,98,5400,234.52,40.0,2,3
104,99,100,950,265.62,20.0,1,4
105,101,102,950,139.87,20.0,1,5
106,102,101,950,139.87,20.0,1,5
107,101,103,950,226.74,20.0,1,5
108,103,101,950,226.74,20.0,1,5
109,104,105,950,12.18,20.0,1,5
110,105,104,950,12.18,20.0,1,5
111,104,106,950,132.97,20.0,1,5
112,106,104,950,132.97,20.0,1,5
113,107,108,950,220.21,20.0,1,4
114,109,110,950,102.74,20.0,1,4
115,110,109,950,102.74,20.0,1,4
116,109,111,950,171.33,20.0,1,4
117,112,113,950,119.12,20.0,1,5
118,113,112,950,119.12,20.0,1,5
119,109,114,950,283.63,20.0,1,4
120,114,109,950,283.63,20.0,1,4
121,112,115,950,209.24,20.0,1,5
122,115,112,950,209.24,20.0,1,5
123,116,117,950,194.77,20.0,1,4
124,118,119,950,406.61,20.0,1,4
125,120,121,950,132.1,20.0,1,4
126,122,123,950,91.95,20.0,1,5
127,123,122,950,91.95,20.0,1,5
128,122,124,950,276.54,20.0,1,5
129,124,122,950,276.54,20.0,1,5
130,125,120,9900,346.81,60.0,3,1
131,125,89,9900,1297.06,60.0,3,1
132,126,127,9900,292.6,60.0,3,1
133,126,128,9900,586.24,60.0,3,1
134,129,130,950,251.99,20.0,1,4
135,60,131,950,235.95,20.0,1,4
136,132,133,950,45.78,20.0,1,5
137,133,132,950,45.78,20.0,1,5
138,132,134,950,68.72,20.0,1,5
139,134,132,950,68.72,20.0,1,5
140,135,136,9900,568.42,60.0,3,1
141,137,138,950,195.49,20.0,1,5
142,138,137,950,195.49,20.0,1,5
143,137,139,950,108.98,20.0,1,5
144,139,137,950,108.98,20.0,1,5
145,140,141,9900,136.41,60.0,3,1
146,142,143,950,61.51,20.0,1,5
147,140,144,9900,63.69,60.0,3,1
148,145,146,950,206.88,20.0,1,4
149,147,148,5400,206.67,40.0,2,3
150,148,147,5400,206.67,40.0,2,3
151,147,149,5400,136.06,40.0,2,3
152,149,147,5400,136.06,40.0,2,3
153,150,151,950,82.52,20.0,1,4
154,150,152,950,129.01,20.0,1,4
155,150,153,950,164.74,20.0,1,4
156,154,155,9900,304.44,60.0,3,1
157,156,65,950,102.26,20.0,1,5
158,65,156,950,102.26,20.0,1,5
159,156,157,950,107.35,20.0,1,5
160,157,156,950,107.35,20.0,1,5
161,154,158,9900,628.76,60.0,3,1
162,159,160,950,83.57,20.0,1,5
163,160,159,950,83.57,20.0,1,5
164,159,161,950,88.15,20.0,1,5
165,161,159,950,88.15,20.0,1,5
166,155,162,950,112.68,20.0,1,4
167,163,164,9900,344.04,60.0,3,1
168,165,166,9900,294.53,60.0,3,1
169,165,167,9900,523.91,60.0,3,1
170,168,169,950,125.55,20.0,1,4
171,169,168,950,125.55,20.0,1,4
172,168,170,950,204.94,20.0,1,4
173,170,168,950,204.94,20.0,1,4
174,163,171,950,389.71,20.0,1,4
175,168,172,950,217.75,20.0,1,5
176,172,168,950,217.75,20.0,1,5
177,173,174,950,161.7,20.0,1,5
178,174,173,950,161.7,20.0,1,5
179,173,175,950,174.25,20.0,1,5
180,175,173,950,174.25,20.0,1,5
181,173,172,950,187.44,20.0,1,5
182,172,173,950,187.44,20.0,1,5
183,164,176,9900,272.93,60.0,3,1
184,177,178,950,140.43,20.0,1,5
185,178,177,950,140.43,20.0,1,5
186,177,179,950,132.23,20.0,1,5
187,179,177,950,132.23,20.0,1,5
188,180,181,950,86.84,20.0,1,4
189,181,180,950,86.84,20.0,1,4
190,180,182,950,61.99,20.0,1,5
191,182,180,950,61.99,20.0,1,5
192,183,184,950,61.85,20.0,1,4
193,185,186,950,97.23,20.0,1,4
194,180,187,950,108.05,20.0,1,4
195,188,189,950,11.62,20.0,1,4
196,189,188,950,11.62,20.0,1,4
197,188,190,950,38.44,20.0,1,4
198,191,192,5400,140.03,40.0,2,3
199,192,191,5400,140.03,40.0,2,3
200,191,193,5400,262.85,40.0,2,3
201,193,191,5400,262.85,40.0,2,3
202,194,195,9900,17.03,60.0,3,1
203,196,197,950,116.91,20.0,1,5
204,194,198,950,138.11,20.0,1,4
205,199,194,950,80.23,20.0,1,4
206,200,201,950,95.55,20.0,1,4
207,202,203,950,610.31,20.0,1,5
208,203,202,950,610.31,20.0,1,5
209,204,199,950,42.01,20.0,1,4
210,202,205,950,266.45,20.0,1,5
211,205,202,950,266.45,20.0,1,5
212,204,206,950,21.58,20.0,1,4
213,207,208,950,86.92,20.0,1,5
214,208,207,950,86.92,20.0,1,5
215,207,209,950,305.0,20.0,1,5
216,209,207,950,305.0,20.0,1,5
217,210,211,950,187.57,20.0,1,4
218,211,210,950,187.57,20.0,1,4
219,210,204,950,7.77,20.0,1,4
220,212,213,9900,336.14,60.0,3,1
221,214,215,950,140.46,20.0,1,5
222,215,214,950,140.46,20.0,1,5
223,214,216,950,559.85,20.0,1,5
224,216,214,950,559.85,20.0,1,5
225,214,217,950,299.64,20.0,1,5
226,217,214,950,299.64,20.0,1,5
227,212,218,950,140.31,20.0,1,4
228,216,219,950,273.7,20.0,1,5
229,219,216,950,273.7,20.0,1,5
230,216,220,950,121.33,20.0,1,5
231,220,216,950,121.33,20.0,1,5
234,221,222,950,419.97,20.0,1,5
235,222,221,950,419.97,20.0,1,5
236,221,220,950,301.95,20.0,1,5
237,220,221,950,301.95,20.0,1,5
238,222,223,950,57.49,20.0,1,4
239,223,222,950,57.49,20.0,1,4
240,222,224,950,50.78,20.0,1,4
241,224,222,950,50.78,20.0,1,4
244,225,226,9900,325.45,60.0,3,1
245,227,228,950,94.71,20.0,1,4
246,225,229,9900,1303.74,60.0,3,1
247,226,230,950,82.35,20.0,1,4
248,231,232,9900,1197.08,60.0,3,1
249,233,234,950,227.08,20.0,1,5
250,234,233,950,227.08,20.0,1,5
251,233,235,950,136.35,20.0,1,5
252,235,233,950,136.35,20.0,1,5
253,233,236,950,739.75,20.0,1,5
254,236,233,950,739.75,20.0,1,5
255,234,237,950,139.85,20.0,1,5
256,237,234,950,139.85,20.0,1,5
259,238,239,9900,193.62,60.0,3,1
260,240,241,950,253.64,20.0,1,5
261,241,240,950,253.64,20.0,1,5
262,240,237,950,105.86,20.0,1,5
263,237,240,950,105.86,20.0,1,5
264,241,242,950,82.4,20.0,1,5
265,242,241,950,82.4,20.0,1,5
268,242,243,950,199.87,20.0,1,5
269,243,242,950,199.87,20.0,1,5
272,238,244,9900,1322.55,60.0,3,1
273,245,246,950,42.95,20.0,1,5
274,246,245,950,42.95,20.0,1,5
275,245,247,950,115.07,20.0,1,5
276,247,245,950,115.07,20.0,1,5
277,239,248,950,641.83,20.0,1,4
278,249,250,950,39.59,20.0,1,4
279,251,252,950,101.84,20.0,1,5
280,252,251,950,101.84,20.0,1,5
281,251,253,950,100.65,20.0,1,5
282,253,251,950,100.65,20.0,1,5
283,254,255,950,25.39,20.0,1,5
284,255,254,950,25.39,20.0,1,5
285,254,256,950,96.71,20.0,1,5
286,256,254,950,96.71,20.0,1,5
287,254,257,950,91.0,20.0,1,5
288,257,254,950,91.0,20.0,1,5
289,258,259,950,74.23,20.0,1,4
290,260,261,950,38.12,20.0,1,4
291,261,260,950,38.12,20.0,1,4
292,260,262,950,57.95,20.0,1,4
293,262,260,950,57.95,20.0,1,4
294,258,263,950,49.82,20.0,1,4
295,264,265,950,79.55,20.0,1,4
296,265,264,950,79.55,20.0,1,4
297,264,266,950,236.93,20.0,1,4
298,266,264,950,236.93,20.0,1,4
299,267,268,950,224.32,20.0,1,5
300,268,267,950,224.32,20.0,1,5
301,267,269,950,195.17,20.0,1,5
302,269,267,950,195.17,20.0,1,5
303,270,271,950,121.71,20.0,1,5
304,271,270,950,121.71,20.0,1,5
305,270,272,950,140.06,20.0,1,5
306,272,270,950,140.06,20.0,1,5
307,273,274,950,122.69,20.0,1,5
308,274,273,950,122.69,20.0,1,5
309,273,275,950,44.43,20.0,1,5
310,275,273,950,44.43,20.0,1,5
311,276,277,950,128.36,20.0,1,4
312,277,276,950,128.36,20.0,1,4
313,276,278,950,391.07,20.0,1,4
314,278,276,950,391.07,20.0,1,4
315,277,279,950,55.21,20.0,1,5
316,279,277,950,55.21,20.0,1,5
317,277,280,950,67.09,20.0,1,4
318,280,277,950,67.09,20.0,1,4
319,281,282,9900,189.59,60.0,3,1
320,277,283,950,74.48,20.0,1,5
321,283,277,950,74.48,20.0,1,5
324,284,285,950,173.23,20.0,1,4
325,285,284,950,173.23,20.0,1,4
326,284,286,950,390.87,20.0,1,4
327,286,284,950,390.87,20.0,1,4
328,287,288,950,14.62,20.0,1,4
329,287,289,950,20.01,20.0,1,5
330,290,291,950,33.05,20.0,1,4
331,291,290,950,33.05,20.0,1,4
332,290,292,950,43.82,20.0,1,4
333,290,293,950,114.03,20.0,1,4
334,293,290,950,114.03,20.0,1,4
335,294,295,950,5.47,20.0,1,4
336,295,294,950,5.47,20.0,1,4
337,281,296,950,378.58,20.0,1,4
338,294,291,950,228.51,20.0,1,4
339,291,294,950,228.51,20.0,1,4
340,297,298,950,9.85,20.0,1,5
341,298,297,950,9.85,20.0,1,5
342,297,295,950,105.18,20.0,1,4
343,297,299,950,211.05,20.0,1,5
344,299,297,950,211.05,20.0,1,5
345,300,301,950,491.19,20.0,1,5
346,301,300,950,491.19,20.0,1,5
347,300,302,950,226.52,20.0,1,4
348,302,300,950,226.52,20.0,1,4
349,300,303,950,205.91,20.0,1,4
350,303,300,950,205.91,20.0,1,4
353,304,305,950,152.19,20.0,1,4
354,302,306,950,67.4,20.0,1,4
355,306,302,950,67.4,20.0,1,4
356,306,307,950,210.59,20.0,1,5
357,307,306,950,210.59,20.0,1,5
360,306,308,950,390.52,20.0,1,4
361,308,306,950,390.52,20.0,1,4
362,309,310,950,187.4,20.0,1,4
363,310,309,950,187.4,20.0,1,4
364,309,311,950,193.21,20.0,1,4
365,311,309,950,193.21,20.0,1,4
