O_ID,D_ID,OD_Number
10000000,10000000,33
10000000,10000001,2
10000000,10000002,2
10000000,10000003,3
10000000,10000004,72
10000000,10000005,1
10000000,10000006,1
10000000,10000007,2
10000000,10000010,4
10000000,10000011,2
10000000,10000012,4
10000000,10000014,16
10000000,10000015,7
10000000,10000017,3
10000000,10000018,2
10000000,10000020,25
10000000,10000022,1
10000000,10000024,2
10000000,10000025,1
10000000,10000027,9
10000000,10000028,1
10000000,10000030,2
10000000,10000031,9
10000000,10000032,14
10000000,10000033,1
10000000,10000035,1
10000000,10000036,1
10000000,10000038,1
10000000,10000039,2
10000000,10000041,8
10000000,10000042,5
10000000,10000045,12
10000000,10000046,1
10000000,10000048,1
10000000,10000049,1
10000000,10000052,2
10000000,10000053,3
10000000,10000054,12
10000000,10000055,28
10000000,10000056,2
10000000,10000057,1
10000000,10000058,6
10000000,10000061,10
10000000,10000062,27
10000000,10000063,3
10000000,10000064,3
10000000,10000065,7
10000000,10000066,90
10000000,10000067,6
10000000,10000069,5
10000000,10000070,3
10000000,10000071,9
10000000,10000072,10
10000000,10000073,3
10000000,10000074,2
10000000,10000075,7
10000000,10000077,5
10000000,10000078,3
10000000,10000080,6
10000000,10000081,1
10000000,10000083,3
10000000,10000084,2
10000000,10000089,1
10000000,10000090,1
10000000,10000093,1
10000000,10000097,5
10000000,10000098,44
10000000,10000099,2
10000000,10000100,1
10000000,10000101,6
10000000,10000102,4
10000000,10000103,4
10000000,10000104,1
10000000,10000105,6
10000000,10000106,1
10000000,10000107,1
10000000,10000109,15
10000000,10000111,8
10000000,10000112,1
10000000,10000117,5
10000000,10000121,2
10000000,10000122,8
10000000,10000124,2
10000000,10000125,2
10000000,10000128,6
10000000,10000132,4
10000000,10000135,2
10000000,10000138,1
10000000,10000139,12
10000000,10000140,3
10000000,10000153,2
10000000,10000154,2
10000000,10000156,6
10000000,10000157,3
10000000,10000159,1
10000000,10000161,4
10000000,10000162,2
10000000,10000163,2
10000000,10000164,7
10000000,10000165,1
10000000,10000166,3
10000000,10000170,1
10000000,10000174,1
10000000,10000179,4
10000000,10000182,1
10000000,10000186,1
10000000,10000188,1
10000000,10000191,1
10000000,10000192,2
10000000,10000193,1
10000000,10000194,1
10000000,10000195,3
10000000,10000196,1
10000000,10000197,3
10000001,10000000,8
10000001,10000001,41
10000001,10000002,13
10000001,10000003,8
10000001,10000004,224
10000001,10000005,7
10000001,10000006,5
10000001,10000007,4
10000001,10000008,1
10000001,10000009,5
10000001,10000010,13
10000001,10000011,7
