,a_node,b_node,capacity,free_flow_time,a,b,direction,link_id
0,233,234,1400,0.34074,0.5,1.5,1,1
1,234,233,1400,0.34074,0.5,1.5,1,2
2,233,236,1400,1.110087,0.5,1.5,1,3
3,236,233,1400,1.110087,0.5,1.5,1,4
4,176,360,6600,1.6130133333333332,0.5,1.5,1,5
5,1130,1129,1400,0.19806749999999998,0.5,1.5,1,6
6,1129,1130,1400,0.19806749999999998,0.5,1.5,1,7
7,1644,1646,1400,0.22240200000000002,0.5,1.5,1,8
8,1646,1644,1400,0.22240200000000002,0.5,1.5,1,9
9,2116,947,1400,0.1491645,0.5,1.5,1,10
10,947,2116,1400,0.1491645,0.5,1.5,1,11
11,2744,2745,1400,0.3711255,0.5,1.5,1,12
12,2745,2744,1400,0.3711255,0.5,1.5,1,13
13,2939,2941,1400,0.8373105000000001,0.5,1.5,1,14
14,4657,4659,4000,1.6060227692307691,0.5,1.5,1,15
15,4659,4657,4000,1.6060227692307691,0.5,1.5,1,16
16,4716,4717,1400,0.3298965,0.5,1.5,1,17
17,5142,5143,1400,0.1431,0.5,1.5,1,18
18,5143,5142,1400,0.1431,0.5,1.5,1,19
19,5987,5988,4000,0.1967436923076923,0.5,1.5,1,20
20,5254,6222,1400,0.5064225,0.5,1.5,1,21
21,5254,6223,6600,0.2432026666666667,0.5,1.5,1,22
22,6635,6637,1400,0.213402,0.5,1.5,1,23
23,6637,6635,1400,0.213402,0.5,1.5,1,24
24,6653,6652,6600,0.6622619999999999,0.5,1.5,1,25
25,6653,6654,6600,5.384346666666667,0.5,1.5,1,26
26,7231,7232,4000,0.19836923076923077,0.5,1.5,1,27
27,7293,7297,1400,0.2744745,0.5,1.5,1,28
28,7320,7321,1400,0.45171300000000003,0.5,1.5,1,29
29,5503,8160,4000,0.11651815384615385,0.5,1.5,1,30
30,8160,5503,4000,0.11651815384615385,0.5,1.5,1,31
31,8599,6432,6600,1.5613093333333332,0.5,1.5,1,32
32,5669,6223,6600,0.4623646666666667,0.5,1.5,1,33
33,8873,6652,6600,0.24464066666666665,0.5,1.5,1,34
34,8568,750,1400,1.105437,0.5,1.5,1,35
35,9104,9106,1400,1.077165,0.5,1.5,1,36
36,9104,9107,4000,0.3863889230769231,0.5,1.5,1,37
37,9286,5966,1400,0.7726635000000001,0.5,1.5,1,38
38,9664,9285,1400,0.9244875,0.5,1.5,1,39
39,6924,9752,4000,0.24424615384615386,0.5,1.5,1,40
40,9901,613,6600,1.1186446666666667,0.5,1.5,1,41
41,7296,2940,1400,0.820776,0.5,1.5,1,42
42,364,9752,1400,0.9885269999999999,0.5,1.5,1,43
43,4742,4748,1400,0.332958,0.5,1.5,1,44
44,9498,8568,1400,0.213051,0.5,1.5,1,45
