O_ID,D_ID,OD_Number
10000000,10000000,37
10000000,10000013,1
10000000,10000014,8
10000000,10000016,2
10000000,10000017,1
10000000,10000018,2
10000000,10000021,3
10000000,10000022,17
10000000,10000023,9
10000000,10000024,2
10000000,10000026,4
10000000,10000031,7
10000000,10000032,5
10000000,10000033,15
10000000,10000034,6
10000000,10000035,3
10000000,10000037,1
10000000,10000040,2
10000000,10000041,51
10000000,10000042,2
10000000,10000043,8
10000000,10000044,1
10000000,10000045,1
10000000,10000047,1
10000000,10000049,132
10000000,10000050,1
10000000,10000052,12
10000000,10000053,2
10000000,10000055,1
10000000,10000056,303
10000000,10000057,5
10000000,10000060,1
10000000,10000061,31
10000000,10000065,2
10000000,10000066,20
10000000,10000068,1
10000000,10000069,2
10000000,10000070,1
10000000,10000071,1
10000000,10000072,3
10000000,10000073,2
10000000,10000074,35
10000000,10000075,9
10000000,10000076,3
10000000,10000080,5
10000000,10000081,4
10000000,10000082,22
10000000,10000083,5
10000000,10000085,2
10000000,10000088,120
10000000,10000089,1
10000000,10000091,1
10000000,10000092,6
10000000,10000093,4
10000000,10000094,7
10000000,10000095,2
10000000,10000097,8
10000000,10000098,15
10000000,10000099,2
10000000,10000101,3
10000000,10000102,3
10000000,10000103,20
10000000,10000105,3
10000000,10000115,22
10000000,10000117,2
10000000,10000118,2
10000000,10000120,1
10000000,10000121,2
10000000,10000123,1
10000000,10000127,1
10000001,10000000,9
10000001,10000001,11
10000001,10000002,3
10000001,10000005,3
10000001,10000007,3
10000001,10000008,3
10000001,10000011,5
10000001,10000012,8
10000001,10000013,9
10000001,10000014,2
10000001,10000016,7
10000001,10000021,1
10000001,10000024,5
10000001,10000025,1
10000001,10000026,7
10000001,10000027,1
10000001,10000029,2
10000001,10000030,1
10000001,10000031,7
10000001,10000032,1
10000001,10000034,3
10000001,10000035,2
10000001,10000036,4
10000001,10000038,9
10000001,10000040,5
10000001,10000041,17
10000001,10000042,4
10000001,10000043,5
10000001,10000044,3
10000001,10000045,4
10000001,10000047,3
10000001,10000048,1
10000001,10000049,76
10000001,10000050,4
10000001,10000052,6
10000001,10000053,10
10000001,10000054,10
10000001,10000055,5
10000001,10000056,141
10000001,10000057,4
10000001,10000058,1
10000001,10000061,22
10000001,10000065,2
10000001,10000066,23
10000001,10000069,2
10000001,10000070,2
10000001,10000071,3
10000001,10000072,3
10000001,10000074,21
10000001,10000075,1
10000001,10000079,2
10000001,10000080,4
10000001,10000081,14
10000001,10000082,8
10000001,10000083,1
10000001,10000084,4
10000001,10000085,7
10000001,10000086,1
10000001,10000088,43
10000001,10000089,2
10000001,10000090,1
10000001,10000091,5
10000001,10000092,8
10000001,10000093,1
10000001,10000095,5
10000001,10000096,9
10000001,10000097,6
10000001,10000098,3
10000001,10000099,1
10000001,10000102,5
10000001,10000103,15
10000001,10000104,1
10000001,10000105,7
10000001,10000106,4
10000001,10000108,4
10000001,10000113,1
10000001,10000115,1
10000001,10000116,5
10000001,10000117,4
10000001,10000118,1
10000001,10000119,6
10000001,10000121,6
10000001,10000122,15
10000001,10000123,11
10000002,10000000,6
10000002,10000001,2
10000002,10000002,12
10000002,10000003,6
10000002,10000004,15
10000002,10000006,2
10000002,10000007,1
10000002,10000009,3
10000002,10000010,1
10000002,10000011,4
10000002,10000013,4
10000002,10000014,2
10000002,10000016,6
10000002,10000017,2
10000002,10000019,1
10000002,10000020,4
10000002,10000021,2
10000002,10000022,2
10000002,10000023,5
10000002,10000024,1
10000002,10000025,1
10000002,10000027,7
10000002,10000028,6
10000002,10000029,3
10000002,10000030,16
10000002,10000031,12
10000002,10000033,5
10000002,10000034,4
10000002,10000035,5
10000002,10000036,4
10000002,10000037,4
10000002,10000038,1
10000002,10000041,35
10000002,10000042,2
10000002,10000043,9
10000002,10000044,2
10000002,10000045,4
10000002,10000046,7
10000002,10000047,16
10000002,10000048,12
10000002,10000049,64
10000002,10000050,1
10000002,10000053,6
10000002,10000056,140
10000002,10000057,13
10000002,10000058,1
10000002,10000060,1
10000002,10000061,19
10000002,10000064,1
10000002,10000066,23
10000002,10000067,7
10000002,10000068,2
10000002,10000069,8
10000002,10000070,7
10000002,10000071,4
10000002,10000074,14
10000002,10000075,3
10000002,10000076,8
10000002,10000079,2
10000002,10000080,1
10000002,10000081,8
10000002,10000082,9
10000002,10000083,10
10000002,10000085,1
10000002,10000086,2
10000002,10000088,58
10000002,10000089,4
10000002,10000090,1
10000002,10000091,12
10000002,10000092,7
10000002,10000094,1
10000002,10000096,1
10000002,10000097,15
10000002,10000098,1
10000002,10000100,1
10000002,10000102,4
10000002,10000103,30
10000002,10000104,1
10000002,10000105,3
10000002,10000107,1
10000002,10000108,1
10000002,10000111,1
10000002,10000114,1
10000002,10000115,2
10000002,10000116,1
10000002,10000118,5
10000002,10000119,1
10000002,10000121,8
10000002,10000122,1
10000002,10000123,1
10000002,10000124,2
10000002,10000125,1
10000002,10000126,2
10000002,10000128,1
10000002,10000129,1
10000003,10000001,2
10000003,10000002,1
10000003,10000003,8
10000003,10000004,14
10000003,10000006,1
10000003,10000007,1
10000003,10000009,1
10000003,10000011,2
10000003,10000013,3
10000003,10000014,2
10000003,10000015,1
10000003,10000016,6
10000003,10000019,5
10000003,10000020,10
10000003,10000022,4
10000003,10000025,1
10000003,10000026,3
10000003,10000027,5
10000003,10000028,2
10000003,10000029,1
10000003,10000030,9
10000003,10000031,14
10000003,10000032,2
10000003,10000033,6
10000003,10000035,4
10000003,10000036,2
10000003,10000037,7
10000003,10000038,2
10000003,10000041,21
10000003,10000042,4
10000003,10000043,1
10000003,10000044,5
10000003,10000045,1
10000003,10000047,2
10000003,10000048,6
10000003,10000049,19
10000003,10000050,1
10000003,10000052,9
10000003,10000053,1
10000003,10000054,2
10000003,10000055,1
10000003,10000056,78
10000003,10000057,7
10000003,10000058,1
10000003,10000059,1
10000003,10000061,19
10000003,10000066,15
10000003,10000067,1
10000003,10000069,4
10000003,10000070,4
10000003,10000071,6
10000003,10000074,14
10000003,10000075,6
10000003,10000076,1
10000003,10000077,4
10000003,10000079,1
10000003,10000080,3
10000003,10000081,1
10000003,10000082,3
10000003,10000083,12
10000003,10000085,4
10000003,10000086,1
10000003,10000088,28
10000003,10000089,4
10000003,10000091,8
10000003,10000092,10
10000003,10000094,7
10000003,10000097,13
10000003,10000098,3
10000003,10000099,2
10000003,10000100,5
10000003,10000103,25
10000003,10000104,2
10000003,10000105,6
10000003,10000108,3
10000003,10000112,2
10000003,10000113,4
10000003,10000114,4
10000003,10000116,1
10000003,10000121,3
10000003,10000125,6
10000003,10000126,2
10000003,10000129,1
10000004,10000004,17
10000004,10000007,1
10000004,10000011,1
10000004,10000012,2
10000004,10000013,1
10000004,10000016,2
10000004,10000020,1
10000004,10000022,3
10000004,10000023,1
10000004,10000027,2
10000004,10000029,3
10000004,10000030,3
10000004,10000031,7
10000004,10000033,2
10000004,10000034,1
10000004,10000035,2
10000004,10000036,1
10000004,10000038,2
10000004,10000040,1
10000004,10000041,13
10000004,10000042,3
10000004,10000043,1
10000004,10000047,1
10000004,10000048,1
10000004,10000049,16
10000004,10000050,1
10000004,10000051,4
10000004,10000052,8
10000004,10000053,4
10000004,10000054,4
10000004,10000055,1
10000004,10000056,59
10000004,10000057,4
10000004,10000061,5
10000004,10000065,1
10000004,10000066,7
10000004,10000067,1
10000004,10000069,2
10000004,10000070,1
10000004,10000074,7
10000004,10000077,1
10000004,10000081,5
10000004,10000082,4
10000004,10000083,1
10000004,10000085,1
10000004,10000086,1
10000004,10000087,1
10000004,10000088,11
10000004,10000089,3
10000004,10000092,4
10000004,10000097,4
10000004,10000102,1
10000004,10000103,7
10000004,10000105,4
10000004,10000111,1
10000004,10000115,1
10000004,10000116,5
10000004,10000117,2
10000005,10000001,1
10000005,10000002,2
10000005,10000003,1
10000005,10000004,2
10000005,10000005,29
10000005,10000006,1
10000005,10000007,7
10000005,10000011,5
10000005,10000012,2
10000005,10000013,1
10000005,10000014,8
10000005,10000015,1
10000005,10000016,4
10000005,10000021,2
10000005,10000023,3
10000005,10000024,1
10000005,10000026,1
10000005,10000029,4
10000005,10000030,6
10000005,10000031,3
10000005,10000033,5
10000005,10000034,3
10000005,10000035,1
10000005,10000036,2
10000005,10000041,26
10000005,10000042,1
10000005,10000043,1
10000005,10000044,1
10000005,10000045,1
10000005,10000048,3
10000005,10000049,38
10000005,10000050,4
10000005,10000051,1
10000005,10000053,3
10000005,10000054,1
10000005,10000055,1
10000005,10000056,122
10000005,10000057,4
10000005,10000061,23
10000005,10000064,2
10000005,10000066,11
10000005,10000069,2
10000005,10000071,2
10000005,10000072,1
10000005,10000073,2
10000005,10000074,36
10000005,10000075,8
10000005,10000080,4
10000005,10000081,3
10000005,10000082,17
10000005,10000083,2
10000005,10000085,1
10000005,10000086,1
10000005,10000088,90
10000005,10000092,5
10000005,10000093,3
10000005,10000094,3
10000005,10000095,2
10000005,10000096,1
10000005,10000097,2
10000005,10000098,1
10000005,10000102,9
10000005,10000103,15
10000005,10000105,4
10000005,10000106,1
10000005,10000108,1
10000005,10000115,1
10000005,10000117,1
10000005,10000118,1
10000005,10000119,1
10000005,10000120,2
10000005,10000121,2
10000005,10000122,5
10000006,10000000,1
10000006,10000001,1
10000006,10000003,1
10000006,10000006,10
10000006,10000007,1
10000006,10000008,1
10000006,10000009,1
10000006,10000011,5
10000006,10000013,6
10000006,10000014,2
10000006,10000016,3
10000006,10000022,1
10000006,10000023,1
10000006,10000030,2
10000006,10000033,2
10000006,10000034,6
10000006,10000035,1
10000006,10000037,2
10000006,10000040,3
10000006,10000041,12
10000006,10000042,1
10000006,10000043,2
10000006,10000045,1
10000006,10000047,5
10000006,10000049,27
10000006,10000050,3
10000006,10000053,1
10000006,10000054,1
10000006,10000056,68
10000006,10000057,1
10000006,10000061,3
10000006,10000066,4
10000006,10000068,1
10000006,10000069,4
10000006,10000071,1
10000006,10000074,14
10000006,10000075,1
10000006,10000076,3
10000006,10000077,2
10000006,10000078,1
10000006,10000080,5
10000006,10000081,4
10000006,10000082,15
10000006,10000083,2
10000006,10000085,1
10000006,10000088,107
10000006,10000089,6
10000006,10000091,2
10000006,10000092,2
10000006,10000093,4
10000006,10000094,3
10000006,10000097,3
10000006,10000098,3
10000006,10000101,1
10000006,10000103,35
10000006,10000106,2
10000006,10000108,1
10000006,10000111,1
10000006,10000115,5
10000006,10000116,2
10000006,10000118,1
10000006,10000124,3
10000007,10000000,1
10000007,10000001,1
10000007,10000003,1
10000007,10000004,3
10000007,10000006,1
10000007,10000007,7
10000007,10000011,3
10000007,10000012,2
10000007,10000013,1
10000007,10000014,1
10000007,10000016,3
10000007,10000017,2
10000007,10000018,1
10000007,10000021,4
10000007,10000022,4
10000007,10000023,1
10000007,10000026,13
10000007,10000029,2
10000007,10000031,4
10000007,10000032,2
10000007,10000033,4
10000007,10000036,5
10000007,10000040,1
10000007,10000041,14
10000007,10000042,2
10000007,10000043,3
10000007,10000044,3
10000007,10000045,5
10000007,10000046,6
10000007,10000047,5
10000007,10000049,32
10000007,10000050,5
10000007,10000051,1
10000007,10000052,1
10000007,10000053,1
10000007,10000054,2
10000007,10000055,3
10000007,10000056,98
10000007,10000057,2
10000007,10000058,1
10000007,10000059,6
10000007,10000061,14
10000007,10000062,3
10000007,10000064,1
10000007,10000066,15
10000007,10000067,2
10000007,10000069,2
10000007,10000070,2
10000007,10000071,3
10000007,10000072,3
10000007,10000073,1
10000007,10000074,9
10000007,10000075,3
10000007,10000076,1
10000007,10000078,3
10000007,10000080,3
10000007,10000082,18
10000007,10000083,11
10000007,10000084,1
10000007,10000085,1
10000007,10000086,2
10000007,10000088,26
10000007,10000089,7
10000007,10000091,7
10000007,10000092,24
10000007,10000094,5
10000007,10000095,6
10000007,10000096,2
10000007,10000097,12
10000007,10000098,8
10000007,10000100,2
10000007,10000101,4
10000007,10000102,1
10000007,10000103,20
10000007,10000105,6
10000007,10000106,1
10000007,10000107,1
10000007,10000111,2
10000007,10000117,2
10000007,10000119,1
10000007,10000121,5
10000007,10000122,9
10000007,10000123,4
10000008,10000000,2
10000008,10000003,3
10000008,10000006,1
10000008,10000007,3
10000008,10000008,12
10000008,10000011,12
10000008,10000012,6
10000008,10000013,2
10000008,10000015,2
10000008,10000016,7
10000008,10000018,2
10000008,10000020,1
10000008,10000021,3
10000008,10000022,8
10000008,10000023,3
10000008,10000024,1
10000008,10000025,4
10000008,10000026,18
10000008,10000029,1
10000008,10000030,3
10000008,10000031,2
10000008,10000033,9
10000008,10000035,3
10000008,10000036,2
10000008,10000038,2
10000008,10000039,3
10000008,10000040,2
10000008,10000041,20
10000008,10000043,3
10000008,10000048,4
10000008,10000049,89
10000008,10000050,4
10000008,10000051,1
10000008,10000052,3
10000008,10000054,8
10000008,10000055,4
10000008,10000056,158
10000008,10000057,3
10000008,10000058,1
10000008,10000059,1
10000008,10000060,3
10000008,10000061,12
10000008,10000062,1
10000008,10000064,4
10000008,10000066,13
10000008,10000067,2
10000008,10000069,4
10000008,10000071,1
10000008,10000072,3
10000008,10000073,9
10000008,10000074,49
10000008,10000075,1
10000008,10000078,1
10000008,10000080,3
10000008,10000081,2
10000008,10000082,18
10000008,10000083,2
10000008,10000084,3
10000008,10000085,6
10000008,10000086,3
10000008,10000087,2
10000008,10000088,63
10000008,10000090,2
10000008,10000091,5
10000008,10000092,4
10000008,10000095,5
10000008,10000096,9
10000008,10000097,11
10000008,10000098,1
10000008,10000099,2
10000008,10000100,1
10000008,10000101,4
10000008,10000103,12
10000008,10000105,3
10000008,10000108,2
10000008,10000114,1
10000008,10000115,6
10000008,10000116,8
10000008,10000117,7
10000008,10000119,2
10000008,10000120,2
10000008,10000121,4
10000008,10000123,1
10000008,10000128,2
10000008,10000129,2
10000009,10000000,1
10000009,10000004,1
10000009,10000009,19
10000009,10000011,1
10000009,10000012,2
10000009,10000014,4
10000009,10000021,3
10000009,10000024,2
10000009,10000025,1
10000009,10000026,2
10000009,10000028,1
10000009,10000029,1
10000009,10000031,1
10000009,10000032,5
10000009,10000033,2
10000009,10000036,1
10000009,10000037,1
10000009,10000041,12
10000009,10000042,2
