"ID","Dir","Length","AB_Link_ID","AB_From_Node_","AB_To_Node_ID","AB_Capacity","AB_Length","AB_Free_Speed","AB_Lanes","AB_Link_Type","BA_DB_ID","BA_Link_ID","BA_From_Node_","BA_To_Node_ID","BA_Capacity","BA_Length","BA_Free_Speed","BA_Lanes","BA_Link_Type","AB_Free_Time","AB_UE_Time","BA_Free_Time","BA_UE_Time","direction","ID1","AB_Flow_PCE","BA_Flow_PCE","Tot_Flow_PCE","AB_Time","BA_Time","Max_Time","AB_VOC","BA_VOC","Max_VOC","AB_VKmT","BA_VKmT","Tot_VKmT","AB_VHT","BA_VHT","Tot_VHT","AB_Speed","BA_Speed","AB_VDF","BA_VDF","Max_VDF","AB_Flow_OD_Number","BA_Flow_OD_Number","AB_Flow","BA_Flow","Tot_Flow"
1,0,0.108913,0,0,1,1300,0.108913,40,1,5,2,1,1,0,1300,0.108913,40,1,5,0.16337,0.16337,0.16337,0.16337,0,1,0.0000,0.0000,0.0000,0.16337,0.16337,0.16337,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,40.0000,40.0000,0.16337,0.16337,0.16337,0.0000,0.0000,0.0000,0.0000,0.0000
3,0,0.0933532,2,0,2,1300,0.093353,40,1,5,4,3,2,0,1300,0.093353,40,1,5,0.14003,0.14003,0.14003,0.14003,0,3,0.0000,0.0000,0.0000,0.14003,0.14003,0.14003,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,40.0000,40.0000,0.14003,0.14003,0.14003,0.0000,0.0000,0.0000,0.0000,0.0000
5,0,0.0453423,4,3,4,1300,0.045342,40,1,5,6,5,4,3,1300,0.045342,40,1,5,0.068013,0.0686263,0.068013,0.06803,0,5,272.6419,37.2000,309.8419,0.0686263,0.06803,0.0686263,0.209725,0.0286154,0.209725,12.3621,1.68672,14.0489,0.31184,0.0421786,0.354019,39.6425,39.9900,0.0686263,0.06803,0.0686263,272.6419,37.2000,272.6419,37.2000,309.8419
7,0,0.127693,6,3,5,1300,0.127693,40,1,5,8,7,5,3,1300,0.127693,40,1,5,0.19154,0.191587,0.19154,0.193267,0,7,37.2000,272.6419,309.8419,0.191587,0.193267,0.193267,0.0286154,0.209725,0.209725,4.75018,34.8145,39.5646,0.118784,0.87821,0.996994,39.9900,39.6425,0.191587,0.193267,0.193267,37.2000,272.6419,37.2000,272.6419,309.8419
9,0,0.215237,8,6,7,1300,0.215237,40,1,4,10,9,7,6,1300,0.215237,40,1,4,0.322856,0.322856,0.322856,0.322856,0,9,0.0000,0.0000,0.0000,0.322856,0.322856,0.322856,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,40.0000,40.0000,0.322856,0.322856,0.322856,0.0000,0.0000,0.0000,0.0000,0.0000
11,0,0.147693,10,8,9,1300,0.147693,40,1,5,12,11,9,8,1300,0.147693,40,1,5,0.22154,0.222919,0.22154,0.221614,0,11,222.0000,43.8605,265.8605,0.222919,0.221614,0.222919,0.170769,0.0337388,0.170769,32.7878,6.47788,39.2657,0.824802,0.162002,0.986804,39.7524,39.9866,0.222919,0.221614,0.222919,222.0000,43.8605,222.0000,43.8605,265.8605
13,0,0.213953,12,6,10,1300,0.213953,40,1,4,14,13,10,6,1300,0.213953,40,1,4,0.320929,0.320929,0.320929,0.320929,0,13,0.0000,0.0000,0.0000,0.320929,0.320929,0.320929,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,40.0000,40.0000,0.320929,0.320929,0.320929,0.0000,0.0000,0.0000,0.0000,0.0000
15,1,0.101318,14,11,12,1300,0.101318,40,1,5,,-1,-1,-1,-1,,-1,-1,-1,0.151977,0.157283,,,1,15,578.4000,,578.4000,0.157283,,0.157283,0.444923,,0.444923,58.6023,,58.6023,1.51621,,1.51621,38.6505,,0.157283,,0.157283,578.4000,,578.4000,,578.4000
16,0,0.166811,15,8,13,1300,0.166811,40,1,5,17,16,13,8,1300,0.166811,40,1,5,0.250216,0.250229,0.250216,0.25022,0,16,15.0000,7.2,22.2000,0.250229,0.25022,0.250229,0.0115385,0.00553846,0.0115385,2.50217,1.20104,3.7032,0.0625572,0.0300264,0.0925835,39.9981,39.9995,0.250229,0.25022,0.250229,15.0000,7.2,15.0000,7.2,22.2000
18,0,0.103126,17,14,15,1300,0.103126,40,1,4,19,18,15,14,1300,0.103126,40,1,4,0.154689,0.179257,0.154689,0.156132,0,18,1341.9371,277.8378,1619.7749,0.179257,0.156132,0.179257,1.03226,0.213721,1.03226,138.3886,28.6523,167.0409,4.00919,0.72299,4.73218,34.5178,39.6303,0.179257,0.156132,0.179257,1341.9371,277.8378,1341.9371,277.8378,1619.7749
