link_id,matrix_ab,matrix_ba,matrix_tot,Congested_Time_AB,Congested_Time_BA,Congested_Time_Max,Delay_factor_AB,Delay_factor_BA,Delay_factor_Max,VOC_AB,VOC_BA,VOC_max,PCE_AB,PCE_BA,PCE_tot
1,0.0,,0.0,0.152028,,0.152028,1.0,,1.0,0.0,,0.0,0.0,,0.0
2,0.0,,0.0,0.152028,,0.152028,1.0,,1.0,0.0,,0.0,0.0,,0.0
3,0.0,,0.0,0.40628850000000005,,0.40628850000000005,1.0,,1.0,0.0,,0.0,0.0,,0.0
4,0.0,,0.0,0.40628850000000005,,0.40628850000000005,1.0,,1.0,0.0,,0.0,0.0,,0.0
5,0.0,,0.0,1.10022,,1.10022,1.0,,1.0,0.0,,0.0,0.0,,0.0
6,0.0,,0.0,1.10022,,1.10022,1.0,,1.0,0.0,,0.0,0.0,,0.0
7,0.0,,0.0,0.151158,,0.151158,1.0,,1.0,0.0,,0.0,0.0,,0.0
8,0.0,,0.0,0.151158,,0.151158,1.0,,1.0,0.0,,0.0,0.0,,0.0
9,0.0,,0.0,0.7927020000000001,,0.7927020000000001,1.0,,1.0,0.0,,0.0,0.0,,0.0
10,0.0,,0.0,0.7927020000000001,,0.7927020000000001,1.0,,1.0,0.0,,0.0,0.0,,0.0
11,0.0,,0.0,0.3179824615384615,,0.3179824615384615,1.0,,1.0,0.0,,0.0,0.0,,0.0
12,0.0,,0.0,0.4108975384615385,,0.4108975384615385,1.0,,1.0,0.0,,0.0,0.0,,0.0
13,0.0,,0.0,0.11174699999999999,,0.11174699999999999,1.0,,1.0,0.0,,0.0,0.0,,0.0
14,0.0,,0.0,0.11174699999999999,,0.11174699999999999,1.0,,1.0,0.0,,0.0,0.0,,0.0
15,0.0,,0.0,0.266859,,0.266859,1.0,,1.0,0.0,,0.0,0.0,,0.0
16,0.0,,0.0,0.355704,,0.355704,1.0,,1.0,0.0,,0.0,0.0,,0.0
17,0.0,,0.0,0.355704,,0.355704,1.0,,1.0,0.0,,0.0,0.0,,0.0
18,0.0,,0.0,0.27674099999999996,,0.27674099999999996,1.0,,1.0,0.0,,0.0,0.0,,0.0
19,0.0,,0.0,2.0469180000000002,,2.0469180000000002,1.0,,1.0,0.0,,0.0,0.0,,0.0
20,0.0,,0.0,2.0469180000000002,,2.0469180000000002,1.0,,1.0,0.0,,0.0,0.0,,0.0
21,0.0,,0.0,2.3392500000000003,,2.3392500000000003,1.0,,1.0,0.0,,0.0,0.0,,0.0
22,0.0,,0.0,2.3392500000000003,,2.3392500000000003,1.0,,1.0,0.0,,0.0,0.0,,0.0
23,0.0,,0.0,2.727072,,2.727072,1.0,,1.0,0.0,,0.0,0.0,,0.0
24,0.0,,0.0,2.727072,,2.727072,1.0,,1.0,0.0,,0.0,0.0,,0.0
25,0.0,,0.0,4.750985999999999,,4.750985999999999,1.0,,1.0,0.0,,0.0,0.0,,0.0
26,0.0,,0.0,4.750985999999999,,4.750985999999999,1.0,,1.0,0.0,,0.0,0.0,,0.0
27,0.0,,0.0,4.205406,,4.205406,1.0,,1.0,0.0,,0.0,0.0,,0.0
28,0.0,,0.0,4.205406,,4.205406,1.0,,1.0,0.0,,0.0,0.0,,0.0
29,0.0,,0.0,4.725798,,4.725798,1.0,,1.0,0.0,,0.0,0.0,,0.0
30,0.0,,0.0,4.725798,,4.725798,1.0,,1.0,0.0,,0.0,0.0,,0.0
31,0.0,,0.0,4.02429,,4.02429,1.0,,1.0,0.0,,0.0,0.0,,0.0
32,0.0,,0.0,4.02429,,4.02429,1.0,,1.0,0.0,,0.0,0.0,,0.0
33,0.0,,0.0,3.066132,,3.066132,1.0,,1.0,0.0,,0.0,0.0,,0.0
34,0.0,,0.0,3.066132,,3.066132,1.0,,1.0,0.0,,0.0,0.0,,0.0
35,0.0,,0.0,2.604888,,2.604888,1.0,,1.0,0.0,,0.0,0.0,,0.0
