O_ID,D_ID,OD_Number
10000000,10000000,6
10000000,10000001,12
10000000,10000002,3
10000000,10000003,5
10000000,10000004,1
10000000,10000005,1
10000000,10000006,11
10000000,10000007,1
10000000,10000008,6
10000000,10000009,3
10000000,10000011,1
10000000,10000012,3
10000000,10000013,2
10000000,10000014,3
10000000,10000015,15
10000000,10000016,1
10000000,10000017,2
10000000,10000018,1
10000000,10000019,2
10000000,10000021,3
10000000,10000023,3
10000000,10000025,1
10000000,10000029,2
10000000,10000031,8
10000000,10000035,1
10000000,10000039,13
10000000,10000040,21
10000000,10000043,3
10000000,10000045,2
10000000,10000046,13
10000000,10000047,35
10000000,10000048,68
10000000,10000049,7
10000000,10000050,7
10000000,10000051,1
10000000,10000054,1
10000000,10000056,12
10000000,10000057,1
10000000,10000059,3
10000000,10000062,1
10000000,10000063,14
10000000,10000064,1
10000000,10000066,62
10000000,10000067,2
10000000,10000068,2
10000000,10000069,2
10000000,10000071,1
10000000,10000076,1
10000000,10000078,1
10000000,10000079,10
10000000,10000080,1
10000000,10000082,2
10000000,10000085,1
10000000,10000087,1
10000000,10000090,1
10000000,10000100,1
10000000,10000101,6
10000000,10000102,1
10000000,10000104,2
10000000,10000105,1
10000000,10000106,2
10000000,10000107,2
10000000,10000108,2
10000000,10000111,1
10000000,10000112,1
10000000,10000118,16
10000000,10000119,1
10000000,10000120,5
10000000,10000121,1
10000000,10000122,1
10000000,10000126,2
10000000,10000127,1
10000000,10000128,2
10000000,10000132,3
10000000,10000134,3
10000000,10000136,1
10000000,10000138,1
10000000,10000139,4
10000000,10000140,1
10000000,10000142,5
10000000,10000144,3
10000000,10000148,1
10000000,10000153,2
10000000,10000154,1
10000000,10000155,4
10000000,10000163,15
10000000,10000164,1
10000000,10000166,1
10000000,10000168,1
10000000,10000170,1
10000000,10000174,3
10000000,10000178,4
10000000,10000181,2
10000000,10000183,4
10000000,10000185,1
10000000,10000191,5
10000000,10000192,1
10000000,10000193,1
10000000,10000194,2
10000000,10000195,8
10000000,10000197,1
10000000,10000199,3
10000000,10000202,2
10000000,10000209,3
10000000,10000210,1
10000000,10000212,1
10000000,10000217,1
10000000,10000218,1
10000000,10000219,4
10000000,10000220,2
10000000,10000223,1
10000000,10000226,1
10000000,10000227,3
10000000,10000232,2
10000000,10000233,2
10000001,10000000,7
10000001,10000001,58
10000001,10000002,7
10000001,10000003,20
10000001,10000004,3
10000001,10000005,1
10000001,10000006,30
10000001,10000008,7
10000001,10000009,8
10000001,10000010,1
10000001,10000011,2
10000001,10000012,4
10000001,10000015,13
10000001,10000016,2
10000001,10000017,2
10000001,10000018,4
10000001,10000020,3
10000001,10000021,4
10000001,10000022,1
10000001,10000023,2
10000001,10000025,2
10000001,10000027,1
10000001,10000028,1
10000001,10000029,2
10000001,10000031,24
10000001,10000032,1
10000001,10000033,4
10000001,10000035,5
10000001,10000036,1
10000001,10000038,1
10000001,10000039,7
10000001,10000040,41
10000001,10000041,7
10000001,10000042,2
10000001,10000043,6
10000001,10000044,1
10000001,10000045,3
10000001,10000046,30
10000001,10000047,72
10000001,10000048,123
10000001,10000049,14
10000001,10000050,14
10000001,10000055,6
10000001,10000056,25
10000001,10000057,4
10000001,10000058,1
10000001,10000059,10
10000001,10000060,1
10000001,10000062,1
10000001,10000063,17
10000001,10000064,2
10000001,10000066,97
10000001,10000067,1
10000001,10000068,2
10000001,10000069,6
10000001,10000070,1
10000001,10000071,1
10000001,10000073,1
10000001,10000074,1
10000001,10000075,1
10000001,10000076,2
10000001,10000077,1
10000001,10000078,3
10000001,10000079,11
10000001,10000080,4
10000001,10000081,2
10000001,10000082,2
10000001,10000083,2
10000001,10000084,1
10000001,10000085,1
10000001,10000095,1
10000001,10000096,1
10000001,10000097,1
10000001,10000098,1
10000001,10000099,1
10000001,10000100,1
10000001,10000101,12
10000001,10000103,1
10000001,10000104,1
10000001,10000105,2
10000001,10000106,2
10000001,10000107,1
10000001,10000108,4
10000001,10000109,1
10000001,10000110,1
10000001,10000112,4
10000001,10000115,2
10000001,10000118,15
10000001,10000120,4
10000001,10000123,2
10000001,10000125,1
10000001,10000127,6
10000001,10000130,1
10000001,10000131,2
10000001,10000132,16
10000001,10000133,1
10000001,10000134,8
10000001,10000136,6
10000001,10000137,4
10000001,10000138,1
10000001,10000139,3
10000001,10000140,1
10000001,10000142,8
10000001,10000144,18
10000001,10000146,3
10000001,10000147,3
10000001,10000148,2
10000001,10000153,1
10000001,10000159,4
10000001,10000163,12
10000001,10000164,3
10000001,10000166,2
10000001,10000172,2
10000001,10000174,3
10000001,10000177,1
10000001,10000178,2
10000001,10000181,7
10000001,10000183,5
10000001,10000184,1
10000001,10000187,1
10000001,10000188,1
10000001,10000189,1
10000001,10000191,1
10000001,10000193,5
10000001,10000194,2
10000001,10000199,3
10000001,10000200,1
10000001,10000202,3
10000001,10000204,1
10000001,10000205,1
10000001,10000209,5
10000001,10000213,2
10000001,10000218,1
10000001,10000219,9
10000001,10000223,3
10000001,10000224,2
10000001,10000230,3
10000001,10000232,6
10000001,10000233,1
10000002,10000000,1
10000002,10000001,9
10000002,10000002,28
10000002,10000003,2
10000002,10000004,3
10000002,10000005,3
10000002,10000006,18
10000002,10000008,6
10000002,10000009,2
10000002,10000011,1
10000002,10000012,6
10000002,10000013,1
10000002,10000014,1
10000002,10000015,16
10000002,10000017,4
10000002,10000018,1
10000002,10000021,11
10000002,10000022,1
10000002,10000023,1
10000002,10000024,1
10000002,10000025,5
10000002,10000026,1
10000002,10000027,4
10000002,10000029,2
10000002,10000031,45
10000002,10000032,7
10000002,10000033,4
10000002,10000035,1
10000002,10000038,1
10000002,10000039,16
10000002,10000040,51
10000002,10000042,1
10000002,10000044,2
10000002,10000045,6
10000002,10000046,11
10000002,10000047,43
10000002,10000048,19
10000002,10000049,5
10000002,10000050,4
10000002,10000051,8
10000002,10000054,1
10000002,10000056,17
10000002,10000057,7
10000002,10000058,2
10000002,10000059,4
10000002,10000063,13
10000002,10000064,1
10000002,10000066,69
10000002,10000067,4
10000002,10000068,4
10000002,10000069,24
10000002,10000071,2
10000002,10000072,4
10000002,10000076,3
10000002,10000077,1
10000002,10000078,10
10000002,10000079,29
10000002,10000080,15
10000002,10000081,14
10000002,10000082,1
10000002,10000083,1
10000002,10000085,6
10000002,10000086,2
10000002,10000089,1
10000002,10000091,1
10000002,10000098,1
10000002,10000100,2
10000002,10000103,2
10000002,10000104,6
10000002,10000107,4
10000002,10000108,3
10000002,10000109,3
10000002,10000110,3
10000002,10000111,3
10000002,10000112,4
10000002,10000116,1
10000002,10000118,1
10000002,10000120,2
10000002,10000121,1
10000002,10000123,6
10000002,10000125,1
10000002,10000126,1
10000002,10000127,1
10000002,10000128,1
10000002,10000130,3
10000002,10000132,4
10000002,10000133,4
10000002,10000134,14
10000002,10000136,10
10000002,10000137,1
10000002,10000138,2
10000002,10000139,3
10000002,10000142,10
10000002,10000143,1
10000002,10000144,3
10000002,10000145,1
10000002,10000146,2
10000002,10000148,7
10000002,10000149,2
10000002,10000150,1
10000002,10000151,2
10000002,10000152,1
10000002,10000153,4
10000002,10000155,2
10000002,10000158,11
10000002,10000159,2
10000002,10000162,1
10000002,10000163,14
10000002,10000164,2
10000002,10000166,1
10000002,10000171,3
10000002,10000172,2
10000002,10000173,1
10000002,10000174,3
10000002,10000175,1
10000002,10000177,1
10000002,10000178,5
10000002,10000181,6
10000002,10000182,4
10000002,10000183,8
10000002,10000184,1
10000002,10000186,1
10000002,10000187,2
10000002,10000190,3
10000002,10000191,7
10000002,10000194,1
10000002,10000195,4
10000002,10000196,3
10000002,10000197,5
10000002,10000199,1
10000002,10000202,2
10000002,10000204,3
10000002,10000205,5
10000002,10000206,1
10000002,10000208,3
10000002,10000209,1
10000002,10000212,1
10000002,10000219,7
10000002,10000220,4
10000002,10000222,2
10000002,10000226,6
10000002,10000227,1
10000002,10000230,4
10000002,10000233,11
10000003,10000000,4
10000003,10000001,28
10000003,10000002,8
10000003,10000003,31
10000003,10000004,1
10000003,10000005,1
10000003,10000006,23
10000003,10000008,7
10000003,10000009,1
10000003,10000010,1
10000003,10000011,7
10000003,10000012,6
10000003,10000013,7
10000003,10000014,2
10000003,10000015,13
10000003,10000017,2
10000003,10000018,6
10000003,10000019,1
10000003,10000021,10
10000003,10000022,6
10000003,10000023,1
10000003,10000028,7
10000003,10000031,26
10000003,10000032,2
10000003,10000033,3
10000003,10000035,1
10000003,10000038,2
10000003,10000039,13
10000003,10000040,53
10000003,10000041,16
10000003,10000042,1
10000003,10000043,3
10000003,10000044,2
10000003,10000045,3
10000003,10000046,7
10000003,10000047,64
10000003,10000048,91
10000003,10000049,11
10000003,10000050,6
10000003,10000051,1
10000003,10000052,2
10000003,10000055,5
10000003,10000056,33
10000003,10000057,7
10000003,10000058,5
10000003,10000059,9
10000003,10000063,17
10000003,10000064,2
10000003,10000066,62
10000003,10000067,3
10000003,10000068,7
10000003,10000069,3
10000003,10000070,3
10000003,10000071,3
10000003,10000072,3
10000003,10000073,2
10000003,10000074,2
10000003,10000075,1
10000003,10000077,1
10000003,10000078,10
10000003,10000079,14
10000003,10000080,3
10000003,10000081,8
10000003,10000082,2
10000003,10000083,1
10000003,10000084,1
10000003,10000085,1
10000003,10000086,5
10000003,10000087,1
10000003,10000090,1
10000003,10000097,1
10000003,10000099,1
10000003,10000100,1
10000003,10000101,1
10000003,10000102,3
10000003,10000103,1
10000003,10000104,7
10000003,10000107,1
10000003,10000108,13
10000003,10000109,2
10000003,10000111,2
10000003,10000112,12
10000003,10000118,5
10000003,10000119,1
10000003,10000120,3
10000003,10000121,3
10000003,10000123,4
10000003,10000128,1
10000003,10000132,3
10000003,10000134,12
10000003,10000136,6
10000003,10000138,1
10000003,10000139,5
10000003,10000140,1
10000003,10000142,11
10000003,10000144,11
10000003,10000146,1
10000003,10000147,4
10000003,10000148,3
10000003,10000151,1
10000003,10000153,3
10000003,10000154,1
10000003,10000155,1
10000003,10000156,1
10000003,10000158,2
10000003,10000159,1
10000003,10000163,16
10000003,10000164,3
10000003,10000166,4
10000003,10000171,1
10000003,10000172,1
10000003,10000173,1
10000003,10000174,2
10000003,10000177,2
10000003,10000178,1
10000003,10000181,6
10000003,10000183,6
10000003,10000186,2
10000003,10000189,1
10000003,10000190,1
10000003,10000191,1
10000003,10000194,2
10000003,10000195,9
10000003,10000196,3
10000003,10000197,1
10000003,10000199,2
10000003,10000202,4
10000003,10000205,2
10000003,10000206,1
10000003,10000208,7
10000003,10000209,2
10000003,10000210,1
10000003,10000212,1
10000003,10000213,3
10000003,10000216,1
10000003,10000217,1
10000003,10000219,4
10000003,10000222,3
10000003,10000223,4
10000003,10000226,1
10000003,10000230,3
10000003,10000232,1
10000003,10000233,5
10000004,10000000,4
10000004,10000001,11
10000004,10000002,3
10000004,10000003,7
10000004,10000004,5
10000004,10000005,4
10000004,10000006,5
10000004,10000008,11
10000004,10000009,1
10000004,10000011,5
10000004,10000012,2
10000004,10000015,15
10000004,10000016,2
10000004,10000018,5
10000004,10000019,1
10000004,10000022,3
10000004,10000024,1
10000004,10000027,1
10000004,10000028,1
