"ID1","AB_Flow_PCE","BA_Flow_PCE","Tot_Flow_PCE","AB_Time","BA_Time","Max_Time","AB_VOC","BA_VOC","Max_VOC","AB_VKmT","BA_VKmT","Tot_VKmT","AB_VHT","BA_VHT","Tot_VHT","AB_Speed","BA_Speed","AB_VDF","BA_VDF","Max_VDF","AB_Flow_OD_Number","BA_Flow_OD_Number","AB_Flow","BA_Flow","Tot_Flow"
1,325.1601,,325.1601,0.313589,,0.313589,0.0492667,,0.0492667,152.1180,,152.1180,1.69944,,1.69944,89.5106,,0.313589,,0.313589,325.1601,,325.1601,,325.1601
2,2190.6563,,2190.6563,0.779721,,0.779721,0.331918,,0.331918,2338.5540,,2338.5540,28.4683,,28.4683,82.1458,,0.779721,,0.779721,2190.6563,,2190.6563,,2190.6563
3,1228.8693,,1228.8693,0.18656,,0.18656,0.186192,,0.186192,330.6064,,330.6064,3.82097,,3.82097,86.5242,,0.18656,,0.18656,1228.8693,,1228.8693,,1228.8693
4,473.8651,,473.8651,0.156825,,0.156825,0.338475,,0.338475,50.7396,,50.7396,1.23856,,1.23856,40.9664,,0.156825,,0.156825,473.8651,,473.8651,,473.8651
5,101.7193,73.3240,175.0433,0.0990741,0.0987013,0.0990741,0.0726566,0.0523743,0.0726566,7.48502,5.39555,12.8806,0.167962,0.12062,0.288582,44.5636,44.7319,0.0990741,0.0987013,0.0990741,101.7193,73.3240,101.7193,73.3240,175.0433
7,73.3240,101.7193,175.0433,0.0905032,0.090845,0.090845,0.0523743,0.0726566,0.0726566,4.94739,6.86331,11.8107,0.110601,0.154011,0.264612,44.7319,44.5636,0.0905032,0.090845,0.090845,73.3240,101.7193,73.3240,101.7193,175.0433
9,96.6738,114.7345,211.4083,0.134847,0.135202,0.135202,0.0690527,0.0819532,0.0819532,9.68923,11.4994,21.1886,0.21727,0.258539,0.475809,44.5954,44.4782,0.134847,0.135202,0.135202,96.6738,114.7345,96.6738,114.7345,211.4083
11,114.7345,96.6738,211.4083,0.251719,0.251057,0.251719,0.0819532,0.0690527,0.0819532,21.4095,18.0393,39.4488,0.481347,0.404511,0.885858,44.4782,44.5954,0.251719,0.251057,0.251719,114.7345,96.6738,114.7345,96.6738,211.4083
13,1119.5602,,1119.5602,0.188554,,0.188554,0.27989,,0.27989,212.9247,,212.9247,3.51829,,3.51829,60.5193,,0.188554,,0.188554,1119.5602,,1119.5602,,1119.5602
14,416.9140,,416.9140,0.226808,,0.226808,0.297796,,0.297796,65.5902,,65.5902,1.57599,,1.57599,41.6183,,0.226808,,0.226808,416.9140,,416.9140,,416.9140
15,0.0000,49.4434,49.4434,0.0215853,0.021657,0.021657,0.0000,0.0353167,0.0353167,0.0000,0.80044,0.80044,0.0000,0.0178466,0.0178466,45.0000,44.8512,0.0215853,0.021657,0.021657,0.0000,49.4434,0.0000,49.4434,49.4434
