O_ID,D_ID,OD_Number
10000000,10000000,73
10000000,10000002,1
10000000,10000006,2
10000000,10000014,1
10000000,10000016,2
10000000,10000024,2
10000000,10000031,13
10000000,10000032,4
10000000,10000039,1
10000000,10000042,1
10000000,10000050,1
10000000,10000051,3
10000000,10000055,6
10000000,10000057,2
10000000,10000064,5
10000000,10000066,3
10000000,10000067,7
10000000,10000068,16
10000000,10000069,33
10000000,10000070,68
10000000,10000071,7
10000000,10000075,39
10000000,10000076,3
10000000,10000078,2
10000000,10000081,15
10000000,10000082,1
10000000,10000083,4
10000000,10000084,4
10000000,10000085,1
10000000,10000087,3
10000000,10000093,5
10000000,10000095,2
10000000,10000096,3
10000000,10000098,1
10000000,10000100,2
10000000,10000104,1
10000000,10000121,1
10000000,10000142,1
10000000,10000150,2
10000000,10000153,1
10000000,10000154,1
10000000,10000155,2
10000000,10000157,1
10000000,10000160,1
10000000,10000161,1
10000000,10000166,1
10000000,10000167,4
10000000,10000168,8
10000000,10000169,2
10000000,10000170,11
10000000,10000171,1
10000000,10000172,2
10000000,10000173,5
10000000,10000174,1
10000000,10000176,3
10000000,10000178,20
10000001,10000000,8
10000001,10000001,18
10000001,10000002,60
10000001,10000004,1
10000001,10000005,2
10000001,10000006,4
10000001,10000008,2
10000001,10000012,5
10000001,10000013,1
10000001,10000014,3
10000001,10000015,4
10000001,10000016,17
10000001,10000017,2
10000001,10000019,1
10000001,10000021,1
10000001,10000022,4
10000001,10000025,1
10000001,10000026,5
10000001,10000029,1
10000001,10000031,12
10000001,10000032,4
10000001,10000033,1
10000001,10000035,1
10000001,10000036,6
10000001,10000038,5
10000001,10000041,3
10000001,10000042,1
10000001,10000043,3
10000001,10000048,1
10000001,10000051,2
10000001,10000052,3
10000001,10000055,4
10000001,10000056,1
10000001,10000057,3
10000001,10000059,7
10000001,10000060,4
10000001,10000061,3
10000001,10000064,56
10000001,10000065,4
10000001,10000066,13
10000001,10000067,9
10000001,10000068,47
10000001,10000069,52
10000001,10000070,72
10000001,10000071,27
10000001,10000072,2
10000001,10000073,1
10000001,10000074,6
10000001,10000075,104
10000001,10000076,42
10000001,10000080,2
10000001,10000081,53
10000001,10000082,4
10000001,10000083,3
10000001,10000084,7
10000001,10000085,8
10000001,10000086,1
10000001,10000092,3
10000001,10000093,12
10000001,10000094,2
10000001,10000095,1
10000001,10000097,1
10000001,10000098,3
10000001,10000100,9
10000001,10000101,1
10000001,10000102,4
10000001,10000103,2
10000001,10000105,1
10000001,10000106,2
10000001,10000108,2
10000001,10000109,4
10000001,10000110,2
10000001,10000112,1
10000001,10000113,2
10000001,10000116,1
10000001,10000123,10
10000001,10000126,4
10000001,10000130,1
10000001,10000132,1
10000001,10000134,2
10000001,10000135,1
10000001,10000138,2
10000001,10000142,3
10000001,10000143,3
10000001,10000150,5
10000001,10000151,1
10000001,10000152,1
10000001,10000153,15
10000001,10000154,4
10000001,10000155,2
10000001,10000158,1
10000001,10000160,8
10000001,10000161,1
10000001,10000162,2
10000001,10000165,2
10000001,10000166,2
10000001,10000167,4
10000001,10000168,1
10000001,10000169,4
10000001,10000170,7
10000001,10000173,2
10000001,10000174,1
