Link_ID,From_Node_ID,To_Node_ID,Capacity,Length,Free_Speed,Lanes,Link_Type
0,0,1,950,53.16,20.0,1,4
1,1,0,950,53.16,20.0,1,4
2,2,3,950,50.76,20.0,1,4
3,3,2,950,50.76,20.0,1,4
4,4,5,950,49.06,20.0,1,5
5,6,7,950,72.51,20.0,1,5
6,7,6,950,72.51,20.0,1,5
7,6,8,950,48.1,20.0,1,5
8,8,6,950,48.1,20.0,1,5
9,5,9,950,61.02,20.0,1,5
10,7,10,950,25.28,20.0,1,5
11,10,7,950,25.28,20.0,1,5
14,11,12,950,69.12,20.0,1,4
15,12,11,950,69.12,20.0,1,4
16,11,13,950,179.01,20.0,1,4
17,13,11,950,179.01,20.0,1,4
20,12,14,950,57.4,20.0,1,4
21,14,12,950,57.4,20.0,1,4
22,15,16,950,51.59,20.0,1,4
23,16,15,950,51.59,20.0,1,4
24,15,17,950,33.31,20.0,1,4
25,17,15,950,33.31,20.0,1,4
26,18,19,950,33.65,20.0,1,5
27,19,18,950,33.65,20.0,1,5
28,18,20,950,75.78,20.0,1,5
29,20,18,950,75.78,20.0,1,5
30,21,22,5400,174.05,40.0,2,3
33,19,23,950,51.1,20.0,1,5
34,23,19,950,51.1,20.0,1,5
35,24,25,950,72.66,20.0,1,5
36,25,24,950,72.66,20.0,1,5
37,24,26,950,67.99,20.0,1,5
38,26,24,950,67.99,20.0,1,5
41,26,27,950,66.51,20.0,1,5
42,27,26,950,66.51,20.0,1,5
43,28,29,950,69.57,20.0,1,5
44,29,28,950,69.57,20.0,1,5
45,30,31,5400,64.67,40.0,2,3
46,32,33,950,109.12,20.0,1,5
47,33,32,950,109.12,20.0,1,5
48,32,34,950,69.47,20.0,1,5
49,34,32,950,69.47,20.0,1,5
50,28,35,950,66.0,20.0,1,5
51,35,28,950,66.0,20.0,1,5
52,36,37,950,191.34,20.0,1,5
53,37,36,950,191.34,20.0,1,5
54,36,33,950,80.61,20.0,1,5
55,33,36,950,80.61,20.0,1,5
56,38,23,950,18.87,20.0,1,5
57,23,38,950,18.87,20.0,1,5
58,38,33,950,93.61,20.0,1,5
59,33,38,950,93.61,20.0,1,5
62,31,39,5400,123.51,40.0,2,3
63,29,40,9900,1287.08,60.0,3,2
64,41,28,950,212.43,20.0,1,5
65,42,43,950,43.54,20.0,1,5
66,43,42,950,43.54,20.0,1,5
67,42,44,950,17.3,20.0,1,5
68,44,42,950,17.3,20.0,1,5
69,45,46,5400,152.64,40.0,2,3
70,47,48,950,158.67,20.0,1,5
71,48,47,950,158.67,20.0,1,5
72,47,49,950,160.47,20.0,1,4
73,49,47,950,160.47,20.0,1,4
74,47,50,950,81.6,20.0,1,4
75,50,47,950,81.6,20.0,1,4
76,51,52,950,10.94,20.0,1,5
77,52,51,950,10.94,20.0,1,5
80,52,53,950,26.34,20.0,1,5
81,53,52,950,26.34,20.0,1,5
82,52,54,950,94.98,20.0,1,5
83,54,52,950,94.98,20.0,1,5
84,55,56,950,86.68,20.0,1,5
85,57,58,950,37.89,20.0,1,4
86,58,57,950,37.89,20.0,1,4
87,57,59,950,51.41,20.0,1,4
88,59,57,950,51.41,20.0,1,4
89,60,61,5400,53.73,40.0,2,3
90,61,60,5400,53.73,40.0,2,3
91,60,62,5400,52.75,40.0,2,3
92,62,60,5400,52.75,40.0,2,3
93,63,64,950,51.11,20.0,1,5
94,64,63,950,51.11,20.0,1,5
95,63,65,950,32.58,20.0,1,5
96,65,63,950,32.58,20.0,1,5
97,66,67,5400,222.54,40.0,2,3
98,68,69,950,20.08,20.0,1,4
99,70,71,950,69.22,20.0,1,4
100,72,73,950,60.23,20.0,1,4
101,72,68,950,70.08,20.0,1,4
102,74,75,9900,58.26,60.0,3,2
103,75,76,9900,12.83,60.0,3,2
104,77,78,950,107.01,20.0,1,5
