O_ID,D_ID,OD_Number
10000000,10000000,25
10000000,10000006,3
10000000,10000007,1
10000000,10000008,1
10000000,10000009,8
10000000,10000011,4
10000000,10000012,1
10000000,10000013,13
10000000,10000014,2
10000000,10000015,8
10000000,10000021,6
10000000,10000023,1
10000000,10000024,1
10000000,10000025,2
10000000,10000030,1
10000000,10000033,12
10000000,10000034,1
10000000,10000035,11
10000000,10000036,42
10000000,10000038,2
10000000,10000039,1
10000000,10000040,39
10000000,10000041,3
10000000,10000042,5
10000000,10000043,20
10000000,10000044,32
10000000,10000045,2
10000000,10000046,10
10000000,10000047,208
10000000,10000048,233
10000000,10000050,4
10000000,10000055,4
10000000,10000056,22
10000000,10000057,39
10000000,10000059,3
10000000,10000060,3
10000000,10000061,6
10000000,10000065,5
10000000,10000066,1
10000000,10000074,3
10000000,10000078,1
10000000,10000082,6
10000000,10000083,1
10000000,10000089,2
10000000,10000092,1
10000000,10000097,71
10000000,10000101,19
10000000,10000102,12
10000000,10000106,2
10000000,10000107,1
10000000,10000112,2
10000000,10000113,2
10000000,10000114,1
10000000,10000116,6
10000000,10000117,1
10000000,10000120,1
10000000,10000121,21
10000000,10000123,1
10000000,10000124,2
10000000,10000125,10
10000000,10000126,1
10000000,10000127,81
10000000,10000128,1
10000000,10000130,1
10000000,10000137,1
10000000,10000144,1
10000000,10000145,4
10000000,10000157,1
10000000,10000162,1
10000000,10000164,1
10000000,10000165,21
10000000,10000167,4
10000000,10000169,14
10000000,10000174,1
10000000,10000180,1
10000001,10000003,2
10000001,10000006,2
10000001,10000008,1
10000001,10000009,1
10000001,10000014,2
10000001,10000015,2
10000001,10000017,1
10000001,10000018,1
10000001,10000020,1
10000001,10000021,1
10000001,10000023,1
10000001,10000030,1
10000001,10000033,4
10000001,10000034,1
10000001,10000035,3
10000001,10000036,5
10000001,10000040,6
10000001,10000041,3
10000001,10000042,4
10000001,10000043,2
10000001,10000044,5
10000001,10000046,2
10000001,10000047,10
10000001,10000048,11
10000001,10000052,1
10000001,10000054,2
10000001,10000055,1
10000001,10000056,6
10000001,10000057,7
10000001,10000059,1
10000001,10000062,2
10000001,10000065,1
10000001,10000072,1
10000001,10000075,1
10000001,10000080,1
10000001,10000082,3
10000001,10000088,1
10000001,10000091,1
10000001,10000093,1
10000001,10000094,1
10000001,10000096,2
10000001,10000097,5
10000001,10000101,1
10000001,10000108,1
10000001,10000110,2
10000001,10000113,1
10000001,10000115,2
10000001,10000116,1
10000001,10000121,1
10000001,10000127,7
10000001,10000134,1
10000001,10000140,1
10000001,10000156,3
