"ID","Dir","Length","AB_Link_ID","AB_From_Node_","AB_To_Node_ID","AB_Capacity","AB_Length","AB_Free_Speed","AB_Lanes","AB_Link_Type","BA_DB_ID","BA_Link_ID","BA_From_Node_","BA_To_Node_ID","BA_Capacity","BA_Length","BA_Free_Speed","BA_Lanes","BA_Link_Type","AB_Free_Time","AB_UE_Time","BA_Free_Time","BA_UE_Time","direction","ID1","AB_Flow","BA_Flow","Tot_Flow","AB_Time","BA_Time","Max_Time","AB_VOC","BA_VOC","Max_VOC","AB_VKmT","BA_VKmT","Tot_VKmT","AB_VHT","BA_VHT","Tot_VHT","AB_Speed","BA_Speed","AB_VDF","BA_VDF","Max_VDF"
1,0,0.053115,0,0,1,1300,0.053115,30,1,4,2,1,1,0,1300,0.053115,30,1,4,0.10623,0.170973,0.10623,0.106828,0,1,2029.7716,195.0000,2224.7716,0.170973,0.106828,0.170973,1.56136,0.15,1.56136,107.8113,10.3574,118.1687,5.78395,0.34719,6.13114,18.6398,29.8322,0.170973,0.106828,0.170973
3,0,0.0507841,2,2,3,1300,0.050784,30,1,4,4,3,3,2,1300,0.050784,30,1,4,0.101568,0.101692,0.101568,0.12137,0,3,90.9055,1148.0109,1238.9164,0.101692,0.12137,0.12137,0.0699273,0.883085,0.883085,4.61654,58.3006,62.9171,0.154073,2.32223,2.4763,29.9634,25.1054,0.101692,0.12137,0.12137
5,1,0.0490785,4,4,5,1300,0.049079,30,1,5,,-1,-1,-1,-1,,-1,-1,-1,0.098158,0.0982369,,,1,5,73.7370,,73.7370,0.0982369,,0.0982369,0.0567207,,0.0567207,3.61894,,3.61894,0.120728,,0.120728,29.9759,,0.0982369,,0.0982369
6,0,0.0725424,5,6,7,1300,0.072542,30,1,5,7,6,7,6,1300,0.072542,30,1,5,0.145084,0.150866,0.145084,0.146173,0,6,519.0454,225.2803,744.3257,0.150866,0.146173,0.150866,0.399266,0.173293,0.399266,37.6526,16.3423,53.9949,1.30511,0.548832,1.85394,28.8502,29.7765,0.150866,0.146173,0.150866
8,0,0.0481198,7,6,8,1300,0.04812,30,1,5,9,8,8,6,1300,0.04812,30,1,5,0.09624,0.0969625,0.09624,0.100075,0,8,225.2803,519.0454,744.3257,0.0969625,0.100075,0.100075,0.173293,0.399266,0.399266,10.8405,24.9765,35.8170,0.364062,0.865729,1.22979,29.7765,28.8502,0.0969625,0.100075,0.100075
10,1,0.0610451,9,5,9,1300,0.061045,30,1,5,,-1,-1,-1,-1,,-1,-1,-1,0.12209,0.122188,,,1,10,73.7370,,73.7370,0.122188,,0.122188,0.0567207,,0.0567207,4.50127,,4.50127,0.150163,,0.150163,29.9759,,0.122188,,0.122188
11,0,0.0253123,10,7,10,1300,0.025312,30,1,5,12,11,10,7,1300,0.025312,30,1,5,0.050624,0.0526415,0.050624,0.050796,0,11,519.0454,151.5433,670.5888,0.0526415,0.050796,0.0526415,0.399266,0.116572,0.399266,13.1381,3.83586,16.9739,0.455389,0.128297,0.583686,28.8502,29.8984,0.0526415,0.050796,0.0526415
13,0,0.0691495,14,11,12,1300,0.06915,30,1,4,14,15,12,11,1300,0.06915,30,1,4,0.1383,0.147069,0.1383,0.138366,0,13,654.6770,57.0000,711.6770,0.147069,0.138366,0.147069,0.503598,0.0438462,0.503598,45.2709,3.94155,49.2125,1.60471,0.131448,1.73616,28.2113,29.9856,0.147069,0.138366,0.147069
15,0,0.17908,16,11,13,1300,0.17908,30,1,4,16,17,13,11,1300,0.17908,30,1,4,0.35816,0.358332,0.35816,0.380868,0,15,57.0000,654.6770,711.6770,0.358332,0.380868,0.380868,0.0438462,0.503598,0.503598,10.2076,117.2396,127.4471,0.340416,4.15576,4.49618,29.9856,28.2113,0.358332,0.380868,0.380868
17,0,0.057422,20,12,14,1300,0.057422,30,1,4,18,21,14,12,1300,0.057422,30,1,4,0.114844,0.122125,0.114844,0.114899,0,17,654.6770,57.0000,711.6770,0.122125,0.114899,0.122125,0.503598,0.0438462,0.503598,37.5929,3.27305,40.8659,1.33255,0.109154,1.4417,28.2113,29.9856,0.122125,0.114899,0.122125
