,a_node,b_node,capacity,free_flow_time,a,b,direction,link_id
0,955,956,1300,0.199524,0.25,2,1,1
1,960,962,1300,0.21857,0.25,2,1,2
2,1423,1424,1300,0.06376,0.25,2,1,3
3,1424,1423,1300,0.06376,0.25,2,1,4
4,2231,2233,1300,0.304734,0.25,2,1,5
5,2233,2231,1300,0.304734,0.25,2,1,6
6,2878,2879,6600,1.779071,0.25,2,1,7
7,1960,2880,6600,0.431429,0.25,2,1,8
8,1960,2849,6600,0.878078,0.25,2,1,9
9,2869,2886,1300,0.5099,0.25,2,1,10
10,2886,2869,1300,0.5099,0.25,2,1,11
11,2911,2912,1300,0.373638,0.25,2,1,12
12,2921,1962,6600,0.405815,0.25,2,1,13
13,3243,3244,1300,0.392304,0.25,2,1,14
14,3244,3243,1300,0.392304,0.25,2,1,15
15,2946,3296,6600,1.854852,0.25,2,1,16
16,2885,3322,1300,0.26441,0.25,2,1,17
17,3964,957,1300,0.16892,0.25,2,1,18
18,4068,4069,6600,1.812807,0.25,2,1,19
19,2919,961,1300,0.22203,0.25,2,1,20
20,4244,4241,1300,0.679152,0.25,2,1,21
21,4241,4244,1300,0.679152,0.25,2,1,22
22,2935,3323,1300,0.380826,0.25,2,1,23
23,2230,4291,1300,0.381328,0.25,2,1,24
24,4304,4303,1300,0.128676,0.25,2,1,25
25,2908,1962,6600,0.36929,0.25,2,1,26
26,4565,4567,1300,0.232134,0.25,2,1,27
27,4567,4565,1300,0.232134,0.25,2,1,28
28,4841,4733,1300,0.26608,0.25,2,1,29
29,4733,4841,1300,0.26608,0.25,2,1,30
30,4890,3130,1300,0.589316,0.25,2,1,31
31,3130,4890,1300,0.589316,0.25,2,1,32
32,4245,4059,1300,0.7278,0.25,2,1,33
33,4059,4245,1300,0.7278,0.25,2,1,34
34,1423,10000149,99999,3.0519719999999997,0.25,2,1,35
35,10000149,1423,99999,3.0519719999999997,0.25,2,1,36
36,956,10000097,99999,3.565332,0.25,2,1,37
37,10000097,956,99999,3.565332,0.25,2,1,38
38,960,10000097,99999,4.073543999999999,0.25,2,1,39
39,10000097,960,99999,4.073543999999999,0.25,2,1,40
40,961,10000097,99999,3.9655560000000003,0.25,2,1,41
41,10000097,961,99999,3.9655560000000003,0.25,2,1,42
42,1948,10000097,99999,6.403379999999999,0.25,2,1,43
43,10000097,1948,99999,6.403379999999999,0.25,2,1,44
44,1949,10000097,99999,6.353759999999999,0.25,2,1,45
45,10000097,1949,99999,6.353759999999999,0.25,2,1,46
46,1960,10000097,99999,6.2207159999999995,0.25,2,1,47
47,10000097,1960,99999,6.2207159999999995,0.25,2,1,48
48,1962,10000097,99999,3.3032519999999996,0.25,2,1,49
49,10000097,1962,99999,3.3032519999999996,0.25,2,1,50
50,2228,10000097,99999,5.367516,0.25,2,1,51
51,10000097,2228,99999,5.367516,0.25,2,1,52
52,2229,10000097,99999,5.75268,0.25,2,1,53
53,10000097,2229,99999,5.75268,0.25,2,1,54
54,2230,10000097,99999,4.953996,0.25,2,1,55
55,10000097,2230,99999,4.953996,0.25,2,1,56
56,2231,10000097,99999,5.529912,0.25,2,1,57
57,10000097,2231,99999,5.529912,0.25,2,1,58
58,2232,10000097,99999,5.5514280000000005,0.25,2,1,59
59,10000097,2232,99999,5.5514280000000005,0.25,2,1,60
60,2859,10000097,99999,4.253340000000001,0.25,2,1,61
61,10000097,2859,99999,4.253340000000001,0.25,2,1,62
62,2860,10000097,99999,4.871952,0.25,2,1,63
63,10000097,2860,99999,4.871952,0.25,2,1,64
64,2861,10000097,99999,5.137392,0.25,2,1,65
65,10000097,2861,99999,5.137392,0.25,2,1,66
66,2864,10000097,99999,5.321772,0.25,2,1,67
67,10000097,2864,99999,5.321772,0.25,2,1,68
68,2865,10000097,99999,6.122196000000001,0.25,2,1,69
69,10000097,2865,99999,6.122196000000001,0.25,2,1,70
70,2866,10000097,99999,6.380484,0.25,2,1,71
71,10000097,2866,99999,6.380484,0.25,2,1,72
72,2869,10000097,99999,4.670868,0.25,2,1,73
73,10000097,2869,99999,4.670868,0.25,2,1,74
74,2870,10000097,99999,6.824592,0.25,2,1,75
75,10000097,2870,99999,6.824592,0.25,2,1,76
76,2871,10000097,99999,7.31346,0.25,2,1,77
77,10000097,2871,99999,7.31346,0.25,2,1,78
78,2872,10000097,99999,6.279516,0.25,2,1,79
79,10000097,2872,99999,6.279516,0.25,2,1,80
80,2885,10000097,99999,4.453068,0.25,2,1,81
81,10000097,2885,99999,4.453068,0.25,2,1,82
82,2912,10000097,99999,4.43514,0.25,2,1,83
83,10000097,2912,99999,4.43514,0.25,2,1,84
84,3323,10000097,99999,4.844772,0.25,2,1,85
85,10000097,3323,99999,4.844772,0.25,2,1,86
86,3964,10000097,99999,3.443448,0.25,2,1,87
87,10000097,3964,99999,3.443448,0.25,2,1,88
88,3965,10000097,99999,4.12212,0.25,2,1,89
89,10000097,3965,99999,4.12212,0.25,2,1,90
90,4247,10000097,99999,6.2925960000000005,0.25,2,1,91
91,10000097,4247,99999,6.2925960000000005,0.25,2,1,92
92,4304,10000027,99999,1.590696,0.25,2,1,93
93,10000027,4304,99999,1.590696,0.25,2,1,94
94,4782,10000027,99999,2.3388479999999996,0.25,2,1,95
95,10000027,4782,99999,2.3388479999999996,0.25,2,1,96
96,4244,10000116,99999,3.0795,0.25,2,1,97
97,10000116,4244,99999,3.0795,0.25,2,1,98
98,4245,10000116,99999,2.64954,0.25,2,1,99
99,10000116,4245,99999,2.64954,0.25,2,1,100
100,2676,10000096,99999,4.546104,0.25,2,1,101
101,10000096,2676,99999,4.546104,0.25,2,1,102
102,2677,10000096,99999,4.832508,0.25,2,1,103
103,10000096,2677,99999,4.832508,0.25,2,1,104
104,2678,10000096,99999,4.086755999999999,0.25,2,1,105
105,10000096,2678,99999,4.086755999999999,0.25,2,1,106
106,2723,10000096,99999,3.481608,0.25,2,1,107
107,10000096,2723,99999,3.481608,0.25,2,1,108
108,2724,10000096,99999,3.5088600000000003,0.25,2,1,109
109,10000096,2724,99999,3.5088600000000003,0.25,2,1,110
110,2725,10000096,99999,3.0729599999999997,0.25,2,1,111
111,10000096,2725,99999,3.0729599999999997,0.25,2,1,112
112,2726,10000096,99999,4.67778,0.25,2,1,113
113,10000096,2726,99999,4.67778,0.25,2,1,114
114,3397,10000096,99999,6.1610879999999995,0.25,2,1,115
115,10000096,3397,99999,6.1610879999999995,0.25,2,1,116
116,3398,10000096,99999,4.294788,0.25,2,1,117
117,10000096,3398,99999,4.294788,0.25,2,1,118
118,4567,10000096,99999,2.4747719999999997,0.25,2,1,119
119,10000096,4567,99999,2.4747719999999997,0.25,2,1,120
120,4841,10000096,99999,2.346924,0.25,2,1,121
121,10000096,4841,99999,2.346924,0.25,2,1,122
122,377,378,1300,0.129518,0.25,2,1,123
123,378,377,1300,0.129518,0.25,2,1,124
124,496,499,1300,0.416806,0.25,2,1,125
125,499,496,1300,0.416806,0.25,2,1,126
126,606,607,4000,0.19767733333333332,0.25,2,1,127
127,613,615,1300,0.244604,0.25,2,1,128
128,615,613,1300,0.244604,0.25,2,1,129
129,788,789,1300,0.170076,0.25,2,1,130
130,789,788,1300,0.170076,0.25,2,1,131
131,831,832,1300,0.099676,0.25,2,1,132
132,832,831,1300,0.099676,0.25,2,1,133
133,990,991,1300,0.164156,0.25,2,1,134
134,991,990,1300,0.164156,0.25,2,1,135
135,1120,218,1300,0.11986599999999999,0.25,2,1,136
136,1120,1122,1300,0.139844,0.25,2,1,137
137,1122,1120,1300,0.139844,0.25,2,1,138
138,615,1194,1300,0.248202,0.25,2,1,139
139,1213,1217,4000,1.8638919999999999,0.25,2,1,140
140,1217,1213,4000,1.8638919999999999,0.25,2,1,141
141,1434,1435,4000,0.248896,0.25,2,1,142
142,1639,1640,1300,0.450878,0.25,2,1,143
143,1640,1639,1300,0.450878,0.25,2,1,144
144,1601,1605,4000,0.5722079999999999,0.25,2,1,145
145,1653,1432,4000,0.24350666666666665,0.25,2,1,146
146,2003,2004,1300,0.310504,0.25,2,1,147
147,2004,2003,1300,0.310504,0.25,2,1,148
148,2082,2092,6600,0.524058,0.25,2,1,149
149,2082,1602,4000,0.6739026666666666,0.25,2,1,150
150,2283,2286,1300,0.384982,0.25,2,1,151
151,2286,2283,1300,0.384982,0.25,2,1,152
152,671,2471,4000,0.26209466666666664,0.25,2,1,153
153,2578,2580,1300,0.79295,0.25,2,1,154
154,2580,2578,1300,0.79295,0.25,2,1,155
155,2630,2632,4000,0.304608,0.25,2,1,156
156,2676,2677,1300,0.059034,0.25,2,1,157
157,2677,2676,1300,0.059034,0.25,2,1,158
158,2573,2975,6600,0.619478,0.25,2,1,159
159,3029,2045,4000,0.130576,0.25,2,1,160
160,3094,1765,1300,0.442518,0.25,2,1,161
161,1765,3094,1300,0.442518,0.25,2,1,162
162,3386,3387,1300,0.151772,0.25,2,1,163
163,3387,3386,1300,0.151772,0.25,2,1,164
164,374,1447,4000,0.10662933333333334,0.25,2,1,165
165,249,1917,4000,0.271208,0.25,2,1,166
166,2190,3760,4000,0.067308,0.25,2,1,167
167,3742,3823,4000,0.14021999999999998,0.25,2,1,168
168,3823,3742,4000,0.14021999999999998,0.25,2,1,169
169,3305,1605,6600,0.414304,0.25,2,1,170
170,3305,3956,6600,1.353761,0.25,2,1,171
171,1122,4044,4000,0.08244133333333332,0.25,2,1,172
172,4379,2190,4000,0.051956,0.25,2,1,173
173,3992,836,4000,0.12329066666666667,0.25,2,1,174
174,239,3753,4000,0.07284933333333334,0.25,2,1,175
175,2977,3295,6600,0.902673,0.25,2,1,176
176,2977,2092,6600,0.648154,0.25,2,1,177
177,4751,4753,1300,0.187354,0.25,2,1,178
178,4753,4751,1300,0.187354,0.25,2,1,179
179,4836,4755,1300,0.182292,0.25,2,1,180
180,4837,2676,1300,0.197194,0.25,2,1,181
181,4844,654,1300,0.12966,0.25,2,1,182
182,836,4484,4000,0.12312000000000001,0.25,2,1,183
