O_ID,D_ID,OD_Number
10000000,10000000,48
10000000,10000001,21
10000000,10000002,5
10000000,10000006,1
10000000,10000008,1
10000000,10000009,1
10000000,10000010,1
10000000,10000011,3
10000000,10000012,2
10000000,10000013,4
10000000,10000016,1
10000000,10000019,2
10000000,10000020,2
10000000,10000021,1
10000000,10000023,1
10000000,10000027,3
10000000,10000029,2
10000000,10000030,3
10000000,10000032,6
10000000,10000035,1
10000000,10000038,8
10000000,10000039,104
10000000,10000040,1
10000000,10000045,2
10000000,10000046,6
10000000,10000047,1
10000000,10000050,2
10000000,10000053,1
10000000,10000056,1
10000000,10000059,2
10000000,10000060,2
10000000,10000065,1
10000000,10000069,1
10000000,10000070,1
10000000,10000072,1
10000000,10000080,73
10000000,10000081,2
10000000,10000082,41
10000000,10000086,1
10000000,10000087,1
10000000,10000093,2
10000000,10000099,2
10000000,10000103,28
10000000,10000104,2
10000000,10000105,5
10000000,10000106,9
10000000,10000107,7
10000000,10000110,2
10000000,10000115,1
10000000,10000118,1
10000000,10000125,1
10000000,10000128,1
10000000,10000129,19
10000000,10000130,9
10000000,10000131,6
10000000,10000132,35
10000000,10000136,1
10000000,10000137,7
10000000,10000138,51
10000000,10000139,18
10000000,10000140,1
10000000,10000141,1
10000000,10000142,2
10000000,10000143,1
10000000,10000144,1
10000000,10000150,1
10000000,10000151,1
10000000,10000153,3
10000000,10000154,2
10000000,10000161,5
10000000,10000162,3
10000000,10000166,1
10000000,10000169,3
10000000,10000171,1
10000000,10000174,1
10000000,10000178,5
10000000,10000181,1
10000000,10000183,1
10000000,10000184,1
10000000,10000186,3
10000000,10000205,1
10000000,10000209,1
10000000,10000210,1
10000000,10000213,1
10000000,10000216,1
10000000,10000217,2
10000000,10000220,2
10000000,10000221,1
10000000,10000225,2
10000000,10000226,1
10000000,10000227,1
10000000,10000228,2
10000000,10000229,1
10000000,10000245,1
10000000,10000251,4
10000000,10000253,1
10000000,10000254,1
10000000,10000257,1
10000000,10000258,6
10000000,10000265,3
10000000,10000267,2
10000000,10000268,4
10000000,10000269,2
10000000,10000270,1
10000000,10000271,1
10000000,10000274,6
10000000,10000283,13
10000000,10000284,6
10000000,10000285,30
10000000,10000286,68
10000000,10000287,70
10000000,10000288,5
10000000,10000290,2
10000000,10000292,1
10000000,10000293,40
10000000,10000294,11
10000000,10000296,4
10000000,10000297,6
10000000,10000298,129
10000000,10000299,65
10000000,10000300,37
10000000,10000301,45
10000000,10000302,1
10000000,10000303,11
10000000,10000304,4
10000000,10000305,2
10000000,10000306,9
10000000,10000307,1
10000000,10000308,4
10000000,10000309,28
10000000,10000310,5
10000000,10000312,3
10000000,10000313,2
10000000,10000314,2
10000000,10000317,1
10000000,10000319,3
10000000,10000321,18
10000000,10000323,11
10000000,10000324,1
10000000,10000332,1
10000000,10000335,1
10000000,10000336,1
10000000,10000337,1
10000000,10000340,1
10000000,10000341,8
10000000,10000344,1
10000000,10000345,1
10000000,10000346,4
10000000,10000349,2
10000000,10000351,1
10000000,10000352,1
10000000,10000354,9
10000000,10000355,6
10000000,10000356,9
10000000,10000357,5
10000000,10000358,3
10000000,10000359,3
10000000,10000360,1
10000000,10000361,2
10000000,10000362,2
10000000,10000363,16
10000000,10000364,15
10000000,10000365,17
10000000,10000366,17
10000000,10000367,13
10000000,10000368,8
10000000,10000369,2
10000000,10000371,14
10000000,10000372,10
10000000,10000373,17
10000000,10000374,11
10000000,10000375,1
10000000,10000376,1
10000000,10000377,11
10000000,10000381,2
10000000,10000382,11
10000000,10000384,4
10000000,10000387,1
10000001,10000033,1
10000001,10000082,1
10000001,10000104,2
10000001,10000107,1
10000001,10000129,1
10000001,10000132,2
10000001,10000139,1
10000001,10000196,1
10000001,10000201,1
10000001,10000242,1
10000001,10000267,1
10000001,10000271,1
10000001,10000283,2
10000001,10000287,1
10000001,10000288,2
10000001,10000290,1
10000001,10000293,1
10000001,10000299,4
10000001,10000302,1
10000001,10000303,2
10000001,10000306,1
10000001,10000321,1
10000001,10000340,2
10000001,10000352,1
10000001,10000355,2
10000001,10000356,1
10000001,10000360,1
10000001,10000362,2
10000001,10000374,1
10000001,10000377,1
10000001,10000384,1
10000002,10000000,7
10000002,10000001,8
10000002,10000002,41
10000002,10000003,1
10000002,10000004,1
10000002,10000005,1
10000002,10000006,1
10000002,10000007,4
10000002,10000008,4
10000002,10000009,1
10000002,10000010,21
10000002,10000011,1
10000002,10000012,17
10000002,10000013,17
10000002,10000014,2
10000002,10000015,1
10000002,10000016,10
10000002,10000018,6
10000002,10000019,12
10000002,10000020,13
10000002,10000021,4
10000002,10000022,1
10000002,10000023,6
10000002,10000025,2
10000002,10000029,4
10000002,10000030,20
10000002,10000031,1
10000002,10000032,49
10000002,10000034,1
10000002,10000035,3
10000002,10000038,6
10000002,10000039,20
10000002,10000040,11
10000002,10000041,6
10000002,10000042,1
10000002,10000043,2
10000002,10000044,4
10000002,10000045,8
10000002,10000046,25
10000002,10000048,2
10000002,10000049,2
10000002,10000050,1
10000002,10000052,1
10000002,10000053,7
10000002,10000054,3
10000002,10000055,2
10000002,10000056,12
10000002,10000057,5
10000002,10000059,8
10000002,10000060,12
10000002,10000061,1
10000002,10000062,1
10000002,10000063,9
10000002,10000065,3
10000002,10000066,1
10000002,10000068,5
10000002,10000073,5
10000002,10000075,2
10000002,10000077,2
10000002,10000078,1
