O_ID,D_ID,OD_Number
10000000,10000000,26
10000000,10000001,3
10000000,10000002,1
10000000,10000003,19
10000000,10000006,1
10000000,10000008,6
10000000,10000009,8
10000000,10000010,7
10000000,10000011,1
10000000,10000014,5
10000000,10000015,6
10000000,10000016,4
10000000,10000021,1
10000000,10000022,18
10000000,10000029,1
10000000,10000032,3
10000000,10000033,16
10000000,10000035,1
10000000,10000038,15
10000000,10000040,3
10000000,10000043,40
10000000,10000044,21
10000000,10000045,20
10000000,10000050,2
10000000,10000052,15
10000000,10000054,7
10000000,10000055,1
10000000,10000056,3
10000000,10000060,1
10000000,10000061,2
10000000,10000063,4
10000000,10000065,5
10000000,10000072,1
10000000,10000074,2
10000000,10000076,1
10000000,10000081,46
10000000,10000082,4
10000000,10000084,16
10000000,10000085,2
10000000,10000086,1
10000000,10000087,4
10000000,10000090,1
10000000,10000091,5
10000000,10000093,3
10000000,10000096,1
10000000,10000099,5
10000000,10000102,237
10000000,10000105,14
10000000,10000106,3
10000000,10000111,3
10000000,10000112,5
10000000,10000114,29
10000000,10000116,3
10000000,10000119,9
10000000,10000120,1
10000000,10000122,3
10000000,10000124,5
10000000,10000125,2
10000000,10000126,2
10000000,10000128,6
10000000,10000134,2
10000000,10000136,1
10000000,10000137,1
10000000,10000138,1
10000000,10000141,1
10000000,10000143,3
10000000,10000146,1
10000000,10000148,1
10000001,10000000,3
10000001,10000001,33
10000001,10000002,18
10000001,10000003,20
10000001,10000006,1
10000001,10000007,1
10000001,10000008,19
10000001,10000009,22
10000001,10000010,4
10000001,10000013,3
10000001,10000014,12
10000001,10000015,22
10000001,10000016,2
10000001,10000017,6
10000001,10000019,2
10000001,10000021,6
10000001,10000022,16
10000001,10000029,10
10000001,10000030,3
10000001,10000032,7
10000001,10000033,28
10000001,10000035,2
10000001,10000038,20
10000001,10000041,2
10000001,10000043,54
10000001,10000044,17
10000001,10000045,35
10000001,10000046,2
10000001,10000048,1
10000001,10000050,11
10000001,10000051,2
10000001,10000052,30
10000001,10000054,4
10000001,10000056,1
10000001,10000057,2
10000001,10000058,2
10000001,10000059,2
10000001,10000060,10
10000001,10000061,1
10000001,10000063,4
10000001,10000065,3
10000001,10000066,2
10000001,10000070,2
10000001,10000072,5
10000001,10000074,4
10000001,10000075,1
10000001,10000081,64
10000001,10000082,2
10000001,10000084,10
10000001,10000085,1
10000001,10000086,5
10000001,10000087,6
10000001,10000089,1
10000001,10000090,3
10000001,10000091,13
10000001,10000093,15
10000001,10000094,2
10000001,10000095,3
10000001,10000096,2
10000001,10000099,5
10000001,10000100,1
10000001,10000102,314
10000001,10000103,2
10000001,10000105,1
10000001,10000106,1
10000001,10000108,1
10000001,10000110,5
10000001,10000111,9
10000001,10000112,16
10000001,10000113,4
10000001,10000114,2
10000001,10000115,1
10000001,10000116,17
10000001,10000119,18
10000001,10000120,1
10000001,10000121,1
10000001,10000122,2
10000001,10000124,8
10000001,10000127,10
10000001,10000128,12
10000001,10000129,4
10000001,10000131,1
10000001,10000132,1
10000001,10000133,4
10000001,10000134,11
10000001,10000135,1
10000001,10000136,1
10000001,10000137,4
10000001,10000138,4
10000001,10000139,1
10000001,10000140,2
10000001,10000141,3
10000001,10000142,1
10000001,10000144,3
10000001,10000148,1
10000002,10000000,2
10000002,10000001,8
10000002,10000002,45
10000002,10000003,9
10000002,10000008,20
10000002,10000009,23
10000002,10000010,4
10000002,10000014,5
10000002,10000015,16
10000002,10000016,1
10000002,10000017,4
10000002,10000018,1
10000002,10000019,4
10000002,10000021,5
10000002,10000022,9
10000002,10000024,1
10000002,10000026,1
10000002,10000028,7
10000002,10000029,7
10000002,10000030,1
10000002,10000032,6
10000002,10000033,20
10000002,10000035,5
10000002,10000038,14
10000002,10000039,1
10000002,10000040,5
10000002,10000042,1
10000002,10000043,41
10000002,10000044,10
10000002,10000045,21
10000002,10000046,1
10000002,10000048,2
10000002,10000050,8
10000002,10000051,2
10000002,10000052,18
10000002,10000053,1
10000002,10000054,3
10000002,10000056,3
10000002,10000057,1
10000002,10000058,5
10000002,10000060,7
10000002,10000061,2
10000002,10000062,2
10000002,10000063,6
10000002,10000065,3
10000002,10000066,2
10000002,10000070,1
10000002,10000072,2
10000002,10000074,4
10000002,10000077,2
10000002,10000081,23
10000002,10000082,1
10000002,10000084,4
10000002,10000085,5
10000002,10000086,1
10000002,10000087,12
10000002,10000090,1
10000002,10000091,11
10000002,10000093,9
10000002,10000095,2
10000002,10000096,3
10000002,10000098,1
10000002,10000099,7
10000002,10000100,2
10000002,10000102,271
10000002,10000105,9
10000002,10000106,8
10000002,10000110,6
10000002,10000111,7
10000002,10000112,6
10000002,10000116,17
10000002,10000119,19
10000002,10000120,1
10000002,10000121,1
10000002,10000122,9
10000002,10000124,3
10000002,10000126,2
10000002,10000127,4
10000002,10000128,3
10000002,10000130,1
10000002,10000132,5
10000002,10000133,1
10000002,10000134,17
10000002,10000135,2
10000002,10000139,1
10000002,10000141,5
10000002,10000143,1
10000002,10000144,2
10000002,10000146,4
10000002,10000148,4
10000003,10000001,1
10000003,10000003,51
10000003,10000004,2
10000003,10000008,31
10000003,10000009,3
10000003,10000010,3
10000003,10000012,4
10000003,10000014,2
10000003,10000015,10
10000003,10000021,2
10000003,10000022,13
10000003,10000028,4
10000003,10000030,1
10000003,10000032,3
10000003,10000033,3
10000003,10000034,1
10000003,10000035,2
10000003,10000036,1
10000003,10000038,6
10000003,10000039,1
10000003,10000040,1
10000003,10000041,1
10000003,10000042,4
10000003,10000043,36
10000003,10000044,9
10000003,10000045,19
10000003,10000046,1
10000003,10000047,1
10000003,10000050,11
10000003,10000052,8
10000003,10000056,1
10000003,10000062,1
10000003,10000065,1
10000003,10000072,3
10000003,10000073,2
10000003,10000074,1
10000003,10000075,1
10000003,10000078,2
10000003,10000081,21
10000003,10000084,5
10000003,10000086,4
10000003,10000087,1
10000003,10000090,1
10000003,10000091,14
10000003,10000092,2
10000003,10000093,3
10000003,10000095,1
10000003,10000096,3
10000003,10000099,2
10000003,10000100,1
10000003,10000102,141
10000003,10000105,1
10000003,10000107,3
10000003,10000111,13
10000003,10000112,4
10000003,10000116,1
10000003,10000117,2
10000003,10000119,6
10000003,10000122,2
10000003,10000124,3
10000003,10000127,5
10000003,10000128,9
10000003,10000137,1
10000003,10000138,5
10000003,10000140,1
10000003,10000141,1
10000003,10000143,1
10000003,10000144,2
10000003,10000146,1
10000003,10000148,3
10000004,10000001,1
10000004,10000002,1
10000004,10000003,24
10000004,10000004,14
10000004,10000006,2
10000004,10000007,1
10000004,10000008,16
10000004,10000009,1
10000004,10000010,2
10000004,10000011,2
10000004,10000014,1
10000004,10000015,10
10000004,10000016,1
10000004,10000019,2
10000004,10000022,4
10000004,10000028,1
10000004,10000032,2
10000004,10000033,9
10000004,10000035,2
10000004,10000036,1
10000004,10000038,3
10000004,10000043,25
10000004,10000044,6
10000004,10000045,12
10000004,10000046,2
10000004,10000050,2
10000004,10000052,8
10000004,10000059,1
10000004,10000063,3
10000004,10000078,2
10000004,10000081,16
10000004,10000084,2
10000004,10000087,7
10000004,10000091,13
10000004,10000093,8
10000004,10000094,4
10000004,10000096,2
10000004,10000099,2
10000004,10000102,138
10000004,10000103,1
10000004,10000105,1
10000004,10000106,4
10000004,10000107,1
10000004,10000108,1
10000004,10000111,9
10000004,10000112,8
10000004,10000119,20
10000004,10000122,3
10000004,10000124,3
10000004,10000128,3
10000004,10000130,1
10000004,10000134,1
10000004,10000138,1
10000004,10000141,1
10000004,10000143,2
10000004,10000144,1
10000005,10000001,1
10000005,10000002,1
10000005,10000003,11
10000005,10000004,1
10000005,10000005,7
10000005,10000006,6
10000005,10000007,6
10000005,10000008,12
10000005,10000009,1
10000005,10000010,4
10000005,10000011,3
10000005,10000012,2
10000005,10000013,2
10000005,10000014,3
10000005,10000015,10
10000005,10000017,2
10000005,10000018,2
10000005,10000019,1
10000005,10000022,1
10000005,10000025,1
10000005,10000026,1
10000005,10000028,1
10000005,10000032,1
10000005,10000033,10
10000005,10000035,1
10000005,10000036,1
10000005,10000038,10
10000005,10000040,2
10000005,10000043,22
10000005,10000044,11
10000005,10000045,28
10000005,10000046,3
10000005,10000049,1
10000005,10000052,8
10000005,10000056,1
10000005,10000060,3
10000005,10000061,2
10000005,10000063,1
10000005,10000065,1
10000005,10000066,1
10000005,10000070,1
10000005,10000071,2
10000005,10000072,1
10000005,10000074,2
10000005,10000078,1
10000005,10000081,16
10000005,10000082,2
10000005,10000084,5
10000005,10000085,3
10000005,10000086,3
10000005,10000087,7
10000005,10000091,5
10000005,10000093,11
10000005,10000096,4
10000005,10000097,1
10000005,10000100,1
10000005,10000102,125
10000005,10000106,4
10000005,10000107,1
10000005,10000111,7
10000005,10000112,8
10000005,10000113,1
10000005,10000115,1
10000005,10000116,2
10000005,10000119,6
10000005,10000124,1
10000005,10000126,1
10000005,10000127,1
10000005,10000128,11
10000005,10000129,1
10000005,10000132,1
10000005,10000133,1
10000005,10000135,1
10000005,10000137,1
10000005,10000143,1
10000005,10000144,1
10000006,10000000,4
10000006,10000001,1
10000006,10000003,26
10000006,10000004,3
10000006,10000005,4
10000006,10000006,18
10000006,10000007,4
10000006,10000008,16
10000006,10000010,2
10000006,10000011,6
10000006,10000012,1
10000006,10000014,2
10000006,10000015,17
10000006,10000016,1
10000006,10000017,2
10000006,10000019,1
10000006,10000021,1
10000006,10000022,5
10000006,10000023,1
10000006,10000024,1
10000006,10000025,5
10000006,10000028,6
10000006,10000029,1
10000006,10000032,3
10000006,10000033,10
10000006,10000034,2
10000006,10000036,1
10000006,10000038,2
10000006,10000039,1
10000006,10000040,1
10000006,10000041,1
10000006,10000042,1
10000006,10000043,27
10000006,10000044,7
10000006,10000045,18
10000006,10000046,2
10000006,10000047,1
10000006,10000050,3
10000006,10000051,1
10000006,10000052,12
10000006,10000055,1
10000006,10000058,1
10000006,10000060,2
10000006,10000061,3
10000006,10000063,1
10000006,10000065,2
10000006,10000066,1
10000006,10000070,1
10000006,10000072,5
10000006,10000077,1
