link_id,matrix_ab,matrix_ba,matrix_tot,Congested_Time_AB,Congested_Time_BA,Congested_Time_Max,Delay_factor_AB,Delay_factor_BA,Delay_factor_Max,VOC_AB,VOC_BA,VOC_max,PCE_AB,PCE_BA,PCE_tot
1,40.199999999999996,,40.199999999999996,0.43548399137532756,,0.43548399137532756,1.00005050125,,1.00005050125,0.010049999999999998,,0.010049999999999998,40.199999999999996,,40.199999999999996
2,181.20000000000005,,181.20000000000005,0.43590880360779,,0.43590880360779,1.001026045,,1.001026045,0.045300000000000014,,0.045300000000000014,181.20000000000005,,181.20000000000005
3,0.0,,0.0,0.105688,,0.105688,1.0,,1.0,0.0,,0.0,0.0,,0.0
4,0.0,,0.0,0.105688,,0.105688,1.0,,1.0,0.0,,0.0,0.0,,0.0
5,0.0,,0.0,8.121732000000002,,8.121732000000002,1.0,,1.0,0.0,,0.0,0.0,,0.0
6,0.0,,0.0,8.121732000000002,,8.121732000000002,1.0,,1.0,0.0,,0.0,0.0,,0.0
7,0.0,,0.0,2.49018,,2.49018,1.0,,1.0,0.0,,0.0,0.0,,0.0
8,0.0,,0.0,2.49018,,2.49018,1.0,,1.0,0.0,,0.0,0.0,,0.0
9,0.0,,0.0,1.37925,,1.37925,1.0,,1.0,0.0,,0.0,0.0,,0.0
10,0.0,,0.0,1.37925,,1.37925,1.0,,1.0,0.0,,0.0,0.0,,0.0
11,0.0,,0.0,0.4023,,0.4023,1.0,,1.0,0.0,,0.0,0.0,,0.0
12,0.0,,0.0,0.4023,,0.4023,1.0,,1.0,0.0,,0.0,0.0,,0.0
13,0.0,,0.0,1.536,,1.536,1.0,,1.0,0.0,,0.0,0.0,,0.0
14,0.0,,0.0,1.536,,1.536,1.0,,1.0,0.0,,0.0,0.0,,0.0
15,0.0,,0.0,0.258552,,0.258552,1.0,,1.0,0.0,,0.0,0.0,,0.0
16,0.0,,0.0,0.258552,,0.258552,1.0,,1.0,0.0,,0.0,0.0,,0.0
17,0.0,,0.0,2.137806,,2.137806,1.0,,1.0,0.0,,0.0,0.0,,0.0
18,0.0,,0.0,2.137806,,2.137806,1.0,,1.0,0.0,,0.0,0.0,,0.0
19,0.0,,0.0,4.046358000000001,,4.046358000000001,1.0,,1.0,0.0,,0.0,0.0,,0.0
20,0.0,,0.0,4.046358000000001,,4.046358000000001,1.0,,1.0,0.0,,0.0,0.0,,0.0
21,0.0,,0.0,3.0044760000000004,,3.0044760000000004,1.0,,1.0,0.0,,0.0,0.0,,0.0
22,0.0,,0.0,3.0044760000000004,,3.0044760000000004,1.0,,1.0,0.0,,0.0,0.0,,0.0
23,0.0,,0.0,0.037582,,0.037582,1.0,,1.0,0.0,,0.0,0.0,,0.0
24,0.0,,0.0,0.037582,,0.037582,1.0,,1.0,0.0,,0.0,0.0,,0.0
25,0.0,,0.0,4.013886,,4.013886,1.0,,1.0,0.0,,0.0,0.0,,0.0
26,0.0,,0.0,4.013886,,4.013886,1.0,,1.0,0.0,,0.0,0.0,,0.0
27,0.0,,0.0,4.263342,,4.263342,1.0,,1.0,0.0,,0.0,0.0,,0.0
28,0.0,,0.0,4.263342,,4.263342,1.0,,1.0,0.0,,0.0,0.0,,0.0
29,0.0,,0.0,3.619548,,3.619548,1.0,,1.0,0.0,,0.0,0.0,,0.0
30,0.0,,0.0,3.619548,,3.619548,1.0,,1.0,0.0,,0.0,0.0,,0.0
