O_ID,D_ID,OD_Number
10000000,10000000,50
10000000,10000001,1
10000000,10000002,4
10000000,10000003,2
10000000,10000005,11
10000000,10000006,12
10000000,10000007,2
10000000,10000011,1
10000000,10000012,1
10000000,10000014,1
10000000,10000015,24
10000000,10000016,1
10000000,10000017,3
10000000,10000018,3
10000000,10000023,1
10000000,10000024,1
10000000,10000026,14
10000000,10000027,17
10000000,10000028,9
10000000,10000030,5
10000000,10000032,1
10000000,10000033,4
10000000,10000034,1
10000000,10000035,1
10000000,10000037,12
10000000,10000038,1
10000000,10000039,1
10000000,10000041,7
10000000,10000042,12
10000000,10000044,6
10000000,10000045,2
10000000,10000046,11
10000000,10000047,1
10000000,10000050,1
10000000,10000051,4
10000000,10000059,2
10000000,10000063,1
10000000,10000065,1
10000000,10000068,1
10000000,10000069,5
10000000,10000072,4
10000000,10000073,7
10000000,10000074,29
10000000,10000075,16
10000000,10000076,35
10000000,10000077,37
10000000,10000078,2
10000000,10000079,5
10000000,10000080,12
10000000,10000082,1
10000000,10000085,7
10000000,10000086,1
10000000,10000089,9
10000000,10000090,1
10000000,10000093,1
10000000,10000094,1
10000000,10000098,10
10000000,10000099,5
10000000,10000100,2
10000000,10000101,5
10000000,10000103,1
10000000,10000105,6
10000000,10000107,1
10000001,10000000,5
10000001,10000001,90
10000001,10000002,6
10000001,10000003,1
10000001,10000005,19
10000001,10000006,15
10000001,10000007,2
10000001,10000008,5
10000001,10000011,3
10000001,10000012,1
10000001,10000014,3
10000001,10000015,29
10000001,10000016,4
10000001,10000017,3
10000001,10000018,1
10000001,10000019,1
10000001,10000020,2
10000001,10000021,1
10000001,10000023,6
10000001,10000024,2
10000001,10000025,8
10000001,10000026,17
10000001,10000027,8
10000001,10000028,7
10000001,10000029,1
10000001,10000031,4
10000001,10000032,1
10000001,10000033,2
10000001,10000034,7
10000001,10000035,2
10000001,10000037,8
10000001,10000038,7
10000001,10000039,1
10000001,10000041,9
10000001,10000042,56
10000001,10000044,4
10000001,10000045,7
10000001,10000046,24
10000001,10000048,5
10000001,10000050,4
10000001,10000051,3
10000001,10000055,4
10000001,10000056,3
10000001,10000057,2
10000001,10000058,2
10000001,10000059,9
10000001,10000061,1
10000001,10000062,7
10000001,10000063,33
10000001,10000064,1
10000001,10000066,1
10000001,10000067,1
10000001,10000069,7
10000001,10000072,3
10000001,10000073,8
10000001,10000074,43
10000001,10000075,26
10000001,10000076,22
10000001,10000077,25
10000001,10000078,2
10000001,10000079,2
10000001,10000080,27
10000001,10000081,1
10000001,10000082,2
10000001,10000083,2
10000001,10000084,1
10000001,10000085,11
10000001,10000086,9
10000001,10000088,14
10000001,10000089,7
10000001,10000090,5
10000001,10000091,9
10000001,10000092,2
10000001,10000093,1
10000001,10000095,1
10000001,10000097,2
10000001,10000098,5
10000001,10000099,2
10000001,10000100,4
10000001,10000101,6
10000001,10000102,1
10000001,10000103,1
10000001,10000104,3
10000001,10000105,4
10000001,10000106,1
10000001,10000107,3
10000002,10000000,2
10000002,10000001,3
10000002,10000002,67
10000002,10000003,3
10000002,10000005,1
10000002,10000006,8
10000002,10000008,2
10000002,10000009,1
10000002,10000014,3
10000002,10000015,32
10000002,10000016,3
10000002,10000017,1
10000002,10000018,2
10000002,10000019,4
10000002,10000021,2
10000002,10000023,8
10000002,10000024,9
10000002,10000025,23
10000002,10000026,42
10000002,10000027,42
10000002,10000028,18
10000002,10000029,1
10000002,10000030,5
10000002,10000031,6
10000002,10000032,9
10000002,10000033,14
10000002,10000034,4
10000002,10000035,4
10000002,10000036,3
10000002,10000037,5
10000002,10000038,3
10000002,10000040,1
10000002,10000041,15
10000002,10000042,60
10000002,10000045,5
10000002,10000046,38
10000002,10000047,1
10000002,10000048,2
10000002,10000049,2
10000002,10000050,7
10000002,10000051,8
10000002,10000054,4
10000002,10000055,6
10000002,10000056,3
10000002,10000057,7
10000002,10000058,4
10000002,10000062,1
10000002,10000063,25
10000002,10000064,1
10000002,10000066,2
10000002,10000068,2
10000002,10000069,7
10000002,10000071,2
10000002,10000073,3
10000002,10000074,81
10000002,10000075,15
10000002,10000076,18
10000002,10000077,28
10000002,10000078,1
10000002,10000079,4
10000002,10000080,17
10000002,10000081,2
10000002,10000082,6
10000002,10000083,5
10000002,10000085,11
10000002,10000086,1
10000002,10000087,6
10000002,10000088,2
10000002,10000089,14
10000002,10000090,3
10000002,10000094,2
10000002,10000098,18
10000002,10000099,5
10000002,10000100,13
10000002,10000101,2
10000002,10000102,4
10000002,10000103,2
10000002,10000104,4
10000002,10000105,5
10000002,10000106,2
10000003,10000002,3
10000003,10000003,71
10000003,10000005,4
10000003,10000006,8
10000003,10000007,3
10000003,10000008,4
10000003,10000013,1
10000003,10000014,1
10000003,10000015,28
10000003,10000017,3
10000003,10000018,11
10000003,10000019,1
10000003,10000023,2
10000003,10000025,1
10000003,10000026,48
10000003,10000027,34
10000003,10000028,29
10000003,10000032,3
10000003,10000033,2
10000003,10000035,9
10000003,10000036,10
10000003,10000037,6
10000003,10000038,1
10000003,10000041,1
10000003,10000042,25
10000003,10000045,2
10000003,10000046,37
10000003,10000047,3
10000003,10000049,1
10000003,10000051,1
10000003,10000053,1
10000003,10000055,1
10000003,10000057,1
10000003,10000058,1
10000003,10000063,1
10000003,10000064,1
10000003,10000069,29
10000003,10000072,1
10000003,10000073,8
10000003,10000074,21
10000003,10000075,17
10000003,10000076,23
10000003,10000077,39
10000003,10000078,2
10000003,10000079,1
10000003,10000080,4
10000003,10000085,22
10000003,10000089,29
10000003,10000090,3
10000003,10000092,1
10000003,10000094,3
10000003,10000096,4
10000003,10000098,20
10000003,10000099,19
10000003,10000100,6
10000003,10000101,8
10000003,10000103,1
10000003,10000104,18
10000003,10000105,4
10000004,10000000,2
10000004,10000001,26
10000004,10000002,2
10000004,10000003,5
10000004,10000004,19
10000004,10000005,13
10000004,10000006,16
10000004,10000007,3
10000004,10000008,2
10000004,10000010,1
10000004,10000011,3
10000004,10000012,1
10000004,10000014,10
10000004,10000015,19
10000004,10000016,5
10000004,10000018,1
10000004,10000019,1
10000004,10000023,7
10000004,10000024,1
10000004,10000025,6
10000004,10000026,5
10000004,10000027,14
10000004,10000028,7
10000004,10000029,1
10000004,10000031,2
10000004,10000032,4
10000004,10000033,5
10000004,10000034,3
10000004,10000035,4
10000004,10000037,2
10000004,10000038,4
10000004,10000041,10
10000004,10000042,122
10000004,10000045,4
10000004,10000046,41
10000004,10000047,1
10000004,10000048,6
10000004,10000049,1
10000004,10000050,5
10000004,10000051,2
10000004,10000054,2
10000004,10000055,2
10000004,10000059,6
10000004,10000061,1
10000004,10000062,5
10000004,10000063,15
10000004,10000064,5
10000004,10000065,2
10000004,10000067,2
10000004,10000068,1
10000004,10000069,4
10000004,10000070,4
10000004,10000071,1
10000004,10000072,4
10000004,10000073,19
10000004,10000074,188
10000004,10000075,41
10000004,10000076,9
10000004,10000077,31
10000004,10000078,3
10000004,10000079,21
10000004,10000080,25
10000004,10000084,2
10000004,10000085,31
10000004,10000086,9
10000004,10000087,1
10000004,10000089,6
10000004,10000090,7
10000004,10000091,1
10000004,10000094,1
10000004,10000096,1
10000004,10000098,4
10000004,10000099,7
10000004,10000101,4
10000004,10000102,2
10000004,10000103,2
10000004,10000104,6
10000004,10000105,6
10000004,10000107,5
10000005,10000000,13
10000005,10000001,10
10000005,10000002,1
10000005,10000004,1
10000005,10000005,97
10000005,10000006,26
