"ID","Dir","Length","AB_Link_ID","AB_From_Node_","AB_To_Node_ID","AB_Capacity","AB_Length","AB_Free_Speed","AB_Lanes","AB_Link_Type","BA_DB_ID","BA_Link_ID","BA_From_Node_","BA_To_Node_ID","BA_Capacity","BA_Length","BA_Free_Speed","BA_Lanes","BA_Link_Type","AB_Free_Time","AB_UE_Time","BA_Free_Time","BA_UE_Time","direction","ID1","AB_Flow","BA_Flow","Tot_Flow","AB_Time","BA_Time","Max_Time","AB_VOC","BA_VOC","Max_VOC","AB_VKmT","BA_VKmT","Tot_VKmT","AB_VHT","BA_VHT","Tot_VHT","AB_Speed","BA_Speed","AB_VDF","BA_VDF","Max_VDF"
1,0,0.0589795,0,0,1,900,0.058979,35,1,4,2,1,1,0,900,0.058979,35,1,4,0.101107,0.101139,0.101107,0.101109,0,1,6.6,1.2,7.8,0.101139,0.101109,0.101139,0.00733333,0.00133333,0.00733333,0.389261,0.0707748,0.460036,0.0111252,0.00202219,0.0131474,34.9890,34.9991,0.101139,0.101109,0.101139
3,1,0.0591086,2,2,3,900,0.059109,35,1,4,,-1,-1,-1,-1,,-1,-1,-1,0.10133,0.10133,,,1,3,0.0000,,0.0000,0.10133,,0.10133,0.0000,,0.0000,0.0000,,0.0000,0.0000,,0.0000,35.0000,,0.10133,,0.10133
4,0,0.0510648,3,4,5,900,0.051065,35,1,4,5,4,5,4,900,0.051065,35,1,4,0.08754,0.0875975,0.08754,0.100689,0,4,10.8000,403.7033,414.5033,0.0875975,0.100689,0.100689,0.012,0.448559,0.448559,0.551502,20.6151,21.1666,0.0157676,0.677477,0.693245,34.9770,30.4292,0.0875975,0.100689,0.100689
6,0,0.0796213,5,6,7,900,0.079621,35,1,5,7,6,7,6,900,0.079621,35,1,5,0.136493,0.13651,0.136493,0.136515,0,6,3.6,4.2,7.8,0.13651,0.136515,0.136515,0.004,0.00466667,0.00466667,0.286636,0.334408,0.621044,0.00819063,0.00955604,0.0177467,34.9956,34.9944,0.13651,0.136515,0.136515
8,0,0.0796213,7,6,8,900,0.079621,35,1,5,9,8,8,6,900,0.079621,35,1,5,0.136493,0.136515,0.136493,0.13651,0,8,4.2,3.6,7.8,0.136515,0.13651,0.136515,0.00466667,0.004,0.00466667,0.334408,0.286636,0.621044,0.00955604,0.00819063,0.0177467,34.9944,34.9956,0.136515,0.13651,0.136515
10,0,0.100552,9,9,10,900,0.100552,35,1,4,11,10,10,9,900,0.100552,35,1,4,0.172375,0.174912,0.172375,0.172479,0,10,85.8000,10.2000,96.0000,0.174912,0.172479,0.174912,0.0953333,0.0113333,0.0953333,8.62736,1.02563,9.65299,0.250124,0.0293214,0.279445,34.4924,34.9789,0.174912,0.172479,0.174912
12,1,0.212765,11,9,11,900,0.212765,35,1,4,,-1,-1,-1,-1,,-1,-1,-1,0.36474,0.365205,,,1,12,16.8000,,16.8000,0.365205,,0.365205,0.0186667,,0.0186667,3.57445,,3.57445,0.102257,,0.102257,34.9554,,0.365205,,0.365205
13,0,0.189983,12,4,12,900,0.189983,35,1,4,14,13,12,4,900,0.189983,35,1,4,0.325685,0.374606,0.325685,0.325899,0,13,403.7033,10.8000,414.5033,0.374606,0.325899,0.374606,0.448559,0.012,0.448559,76.6968,2.05182,78.7486,2.5205,0.0586619,2.57916,30.4292,34.9770,0.374606,0.325899,0.374606
15,0,0.0629257,14,13,14,900,0.062926,35,1,4,16,15,14,13,900,0.062926,35,1,4,0.107873,0.107878,0.107873,0.107887,0,15,1.8,3.6,5.4,0.107878,0.107887,0.107887,0.002,0.004,0.004,0.113267,0.226534,0.3398,0.00323634,0.00647321,0.00970955,34.9984,34.9956,0.107878,0.107887,0.107887
17,0,0.0349269,16,13,15,900,0.034927,35,1,4,18,17,15,13,900,0.034927,35,1,4,0.0598749,0.0598824,0.0598749,0.0598775,0,17,3.6,1.8,5.4,0.0598824,0.0598775,0.0598824,0.004,0.002,0.004,0.125737,0.0628686,0.188606,0.00359295,0.00179633,0.00538927,34.9956,34.9984,0.0598824,0.0598775,0.0598824
