Link_ID,From_Node_ID,To_Node_ID,Capacity,Length,Free_Speed,Lanes,Link_Type
0,0,1,950,74.61,20.0,1,5
1,1,0,950,74.61,20.0,1,5
2,0,2,950,134.64,20.0,1,5
3,2,0,950,134.64,20.0,1,5
4,3,4,9900,393.73,60.0,3,1
5,5,6,5400,28.94,40.0,2,3
6,6,5,5400,28.94,40.0,2,3
7,5,7,5400,108.88,40.0,2,3
8,7,5,5400,108.88,40.0,2,3
11,6,8,5400,295.25,40.0,2,3
12,8,6,5400,295.25,40.0,2,3
13,9,10,950,119.88,20.0,1,5
14,10,9,950,119.88,20.0,1,5
15,9,11,950,123.39,20.0,1,5
16,11,9,950,123.39,20.0,1,5
17,12,13,950,29.94,20.0,1,4
18,13,12,950,29.94,20.0,1,4
19,12,14,950,109.43,20.0,1,4
20,14,12,950,109.43,20.0,1,4
21,15,16,950,145.9,20.0,1,4
22,16,15,950,145.9,20.0,1,4
23,15,17,950,157.58,20.0,1,4
24,17,15,950,157.58,20.0,1,4
25,18,19,950,47.4,20.0,1,5
26,19,18,950,47.4,20.0,1,5
27,20,21,950,49.49,20.0,1,4
28,21,20,950,49.49,20.0,1,4
29,20,22,950,88.44,20.0,1,4
30,22,20,950,88.44,20.0,1,4
31,18,23,950,87.82,20.0,1,5
32,23,18,950,87.82,20.0,1,5
33,24,25,950,103.87,20.0,1,5
34,25,24,950,103.87,20.0,1,5
35,24,26,950,126.51,20.0,1,5
36,26,24,950,126.51,20.0,1,5
37,27,28,950,99.38,20.0,1,5
38,28,27,950,99.38,20.0,1,5
39,27,29,950,95.91,20.0,1,5
40,29,27,950,95.91,20.0,1,5
41,30,31,950,109.37,20.0,1,4
42,31,30,950,109.37,20.0,1,4
43,30,32,950,107.07,20.0,1,4
44,32,30,950,107.07,20.0,1,4
45,33,34,5400,178.13,40.0,2,3
46,34,33,5400,178.13,40.0,2,3
47,33,35,5400,144.53,40.0,2,3
48,35,33,5400,144.53,40.0,2,3
49,36,37,950,42.73,20.0,1,4
50,37,36,950,42.73,20.0,1,4
51,36,34,5400,89.82,40.0,2,3
52,34,36,5400,89.82,40.0,2,3
53,36,38,950,85.78,20.0,1,4
54,38,36,950,85.78,20.0,1,4
55,36,39,5400,683.62,40.0,2,3
56,39,36,5400,683.62,40.0,2,3
57,39,40,950,48.81,20.0,1,5
58,40,39,950,48.81,20.0,1,5
59,39,41,5400,66.91,40.0,2,3
62,42,43,950,141.1,20.0,1,4
63,43,42,950,141.1,20.0,1,4
64,42,44,950,142.33,20.0,1,4
65,44,42,950,142.33,20.0,1,4
66,42,45,950,140.96,20.0,1,5
69,43,46,950,137.58,20.0,1,4
70,43,47,950,107.03,20.0,1,4
71,47,43,950,107.03,20.0,1,4
72,48,49,950,83.99,20.0,1,5
73,49,48,950,83.99,20.0,1,5
74,48,50,950,205.64,20.0,1,5
75,50,48,950,205.64,20.0,1,5
76,51,52,950,27.05,20.0,1,4
77,52,51,950,27.05,20.0,1,4
78,51,53,950,19.29,20.0,1,4
79,53,51,950,19.29,20.0,1,4
80,54,55,950,117.54,20.0,1,4
81,55,54,950,117.54,20.0,1,4
82,54,56,950,63.86,20.0,1,4
83,54,57,950,149.96,20.0,1,4
84,57,54,950,149.96,20.0,1,4
85,58,59,950,69.4,20.0,1,5
86,60,61,950,216.69,20.0,1,5
87,61,60,950,216.69,20.0,1,5
88,60,62,950,161.65,20.0,1,5
89,62,60,950,161.65,20.0,1,5
90,63,64,950,36.46,20.0,1,4
91,64,63,950,36.46,20.0,1,4
92,63,65,9900,62.83,60.0,3,1
93,63,66,950,57.61,20.0,1,4
94,66,63,950,57.61,20.0,1,4
95,67,68,9900,155.03,60.0,3,1
96,67,69,9900,366.72,60.0,3,1
97,70,71,950,92.9,20.0,1,5
98,71,70,950,92.9,20.0,1,5
99,70,72,950,444.28,20.0,1,5
100,72,70,950,444.28,20.0,1,5
101,73,74,950,242.28,20.0,1,5
102,74,73,950,242.28,20.0,1,5
103,73,75,950,106.67,20.0,1,5
104,75,73,950,106.67,20.0,1,5
105,76,77,950,78.25,20.0,1,5
106,77,76,950,78.25,20.0,1,5
107,78,79,950,124.65,20.0,1,4
108,79,78,950,124.65,20.0,1,4
109,78,80,950,125.56,20.0,1,4
110,80,78,950,125.56,20.0,1,4
111,81,82,950,125.88,20.0,1,4
112,83,84,950,97.57,20.0,1,4
113,76,85,950,16.95,20.0,1,5
114,85,76,950,16.95,20.0,1,5
115,86,87,950,93.72,20.0,1,4
116,88,89,5400,66.15,40.0,2,3
117,89,88,5400,66.15,40.0,2,3
118,88,90,5400,67.69,40.0,2,3
119,90,88,5400,67.69,40.0,2,3
120,91,92,950,34.83,20.0,1,4
121,92,91,950,34.83,20.0,1,4
122,93,94,950,99.13,20.0,1,5
123,94,93,950,99.13,20.0,1,5
124,93,95,950,40.73,20.0,1,5
