O_ID,D_ID,OD_Number
10000000,10000000,2
10000000,10000002,11
10000000,10000003,3
10000000,10000005,1
10000000,10000006,4
10000000,10000007,3
10000000,10000008,5
10000000,10000009,9
10000000,10000014,2
10000000,10000016,1
10000000,10000020,1
10000000,10000021,6
10000000,10000022,4
10000000,10000023,2
10000000,10000024,12
10000000,10000025,5
10000000,10000029,4
10000000,10000030,2
10000000,10000031,27
10000000,10000032,3
10000000,10000033,3
10000000,10000034,15
10000000,10000035,6
10000000,10000036,4
10000000,10000037,10
10000000,10000038,11
10000000,10000039,23
10000000,10000041,10
10000000,10000042,11
10000000,10000043,10
10000000,10000045,2
10000000,10000046,3
10000000,10000047,5
10000000,10000048,9
10000000,10000050,2
10000000,10000051,4
10000000,10000052,3
10000000,10000053,3
10000000,10000055,4
10000000,10000056,10
10000000,10000057,10
10000000,10000059,10
10000000,10000060,7
10000000,10000063,6
10000000,10000064,10
10000000,10000065,3
10000000,10000066,34
10000000,10000067,5
10000000,10000070,1
10000000,10000071,6
10000000,10000072,1
10000000,10000073,4
10000000,10000074,12
10000000,10000075,4
10000000,10000076,7
10000000,10000077,15
10000000,10000078,30
10000000,10000079,1
10000000,10000080,2
10000000,10000081,6
10000000,10000082,3
10000000,10000083,3
10000000,10000084,1
10000000,10000085,2
10000000,10000086,52
10000000,10000087,6
10000000,10000088,1
10000000,10000089,6
10000000,10000090,3
10000000,10000091,1
10000000,10000094,1
10000000,10000095,62
10000000,10000096,11
10000000,10000097,2
10000000,10000098,6
10000000,10000101,2
10000000,10000102,2
10000000,10000103,6
10000000,10000104,3
10000000,10000106,3
10000000,10000107,2
10000000,10000110,6
10000000,10000111,8
10000000,10000114,7
10000000,10000115,1
10000000,10000119,3
10000000,10000120,10
10000000,10000121,1
10000000,10000122,30
10000000,10000123,1
10000000,10000124,6
10000000,10000125,1
10000000,10000128,5
10000000,10000129,2
10000000,10000130,2
10000000,10000135,1
10000000,10000138,9
10000000,10000139,1
10000001,10000001,14
10000001,10000002,2
10000001,10000003,1
10000001,10000008,1
10000001,10000009,1
10000001,10000011,1
10000001,10000019,18
10000001,10000020,16
10000001,10000021,9
10000001,10000022,7
10000001,10000023,3
10000001,10000024,22
10000001,10000025,10
10000001,10000027,3
10000001,10000029,9
10000001,10000030,11
10000001,10000031,23
10000001,10000032,6
10000001,10000033,2
10000001,10000034,2
10000001,10000035,7
10000001,10000036,3
10000001,10000037,20
10000001,10000038,14
10000001,10000039,7
10000001,10000041,9
10000001,10000043,11
10000001,10000044,2
10000001,10000047,8
10000001,10000048,2
10000001,10000055,1
10000001,10000056,10
10000001,10000057,16
10000001,10000059,5
10000001,10000060,1
10000001,10000063,1
10000001,10000065,1
10000001,10000066,25
10000001,10000067,11
10000001,10000078,2
10000001,10000079,4
10000001,10000083,3
10000001,10000086,7
10000001,10000090,1
10000001,10000095,14
10000001,10000096,5
10000001,10000103,1
10000001,10000104,1
10000001,10000110,1
10000001,10000115,1
10000001,10000116,1
10000001,10000119,9
10000001,10000120,1
10000001,10000121,1
10000001,10000122,11
10000001,10000128,1
10000001,10000130,1
10000002,10000001,2
10000002,10000002,34
10000002,10000003,7
10000002,10000006,1
10000002,10000007,1
10000002,10000009,3
10000002,10000013,4
10000002,10000019,1
10000002,10000020,5
10000002,10000021,2
10000002,10000022,1
10000002,10000023,1
10000002,10000024,67
10000002,10000025,46
10000002,10000027,10
10000002,10000028,3
10000002,10000029,13
10000002,10000030,4
10000002,10000031,94
10000002,10000032,10
10000002,10000033,8
10000002,10000034,2
10000002,10000035,17
10000002,10000037,42
10000002,10000038,22
10000002,10000039,22
10000002,10000040,1
10000002,10000041,21
10000002,10000042,14
10000002,10000043,2
10000002,10000046,2
10000002,10000047,4
10000002,10000048,2
10000002,10000056,9
10000002,10000057,26
10000002,10000058,1
10000002,10000059,27
10000002,10000060,7
10000002,10000062,1
10000002,10000064,3
10000002,10000065,2
10000002,10000066,88
10000002,10000067,7
10000002,10000072,1
10000002,10000075,1
10000002,10000078,1
10000002,10000079,2
10000002,10000080,2
10000002,10000085,14
10000002,10000086,10
10000002,10000089,6
10000002,10000092,3
10000002,10000094,3
10000002,10000095,49
10000002,10000096,13
