"ID","Dir","Length","AB_Link_ID","AB_From_Node_","AB_To_Node_ID","AB_Capacity","AB_Length","AB_Free_Speed","AB_Lanes","AB_Link_Type","BA_DB_ID","BA_Link_ID","BA_From_Node_","BA_To_Node_ID","BA_Capacity","BA_Length","BA_Free_Speed","BA_Lanes","BA_Link_Type","AB_Free_Time","AB_UE_Time","BA_Free_Time","BA_UE_Time","direction","ID1","AB_Flow","BA_Flow","Tot_Flow","AB_Time","BA_Time","Max_Time","AB_VOC","BA_VOC","Max_VOC","AB_VKmT","BA_VKmT","Tot_VKmT","AB_VHT","BA_VHT","Tot_VHT","AB_Speed","BA_Speed","AB_VDF","BA_VDF","Max_VDF"
1,0,0.0746272,0,0,1,1400,0.074627,35,1,5,2,1,1,0,1400,0.074627,35,1,5,0.127932,0.127932,0.127932,0.127932,0,1,0.0000,0.0000,0.0000,0.127932,0.127932,0.127932,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,35.0000,35.0000,0.127932,0.127932,0.127932
3,0,0.134687,2,0,2,1400,0.134687,35,1,5,4,3,2,0,1400,0.134687,35,1,5,0.230892,0.230892,0.230892,0.230892,0,3,0.0000,0.0000,0.0000,0.230892,0.230892,0.230892,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,35.0000,35.0000,0.230892,0.230892,0.230892
5,1,0.393881,4,3,4,6600,0.393881,70,3,1,,-1,-1,-1,-1,,-1,-1,-1,0.337612,0.338498,,,1,5,367.2000,,367.2000,0.338498,,0.338498,0.0556364,,0.0556364,144.6331,,144.6331,2.07161,,2.07161,69.8168,,0.338498,,0.338498
6,0,0.0289497,5,5,6,4000,0.02895,50,2,3,7,6,6,5,4000,0.02895,50,2,3,0.03474,0.0350096,0.03474,0.0347555,0,6,458.4211,68.4000,526.8211,0.0350096,0.0347555,0.0350096,0.114605,0.0171,0.114605,13.2713,1.98018,15.2515,0.267485,0.0396213,0.307107,49.6150,49.9776,0.0350096,0.0347555,0.0350096
8,0,0.108922,7,5,7,4000,0.108922,50,2,3,9,8,7,5,4000,0.108922,50,2,3,0.130706,0.130765,0.130706,0.131721,0,8,68.4000,458.4211,526.8211,0.130765,0.131721,0.131721,0.0171,0.114605,0.114605,7.45026,49.9321,57.3824,0.149072,1.00639,1.15546,49.9776,49.6150,0.130765,0.131721,0.131721
10,0,0.295373,11,6,8,4000,0.295373,50,2,3,11,12,8,6,4000,0.295373,50,2,3,0.354448,0.357198,0.354448,0.354606,0,10,458.4211,68.4000,526.8211,0.357198,0.354606,0.357198,0.114605,0.0171,0.114605,135.4052,20.2035,155.6087,2.72912,0.404251,3.13337,49.6150,49.9776,0.357198,0.354606,0.357198
12,0,0.119891,13,9,10,1400,0.119891,35,1,5,13,14,10,9,1400,0.119891,35,1,5,0.205527,0.205983,0.205527,0.216065,0,12,69.6000,564.9582,634.5582,0.205983,0.216065,0.216065,0.0497143,0.403542,0.403542,8.34441,67.7334,76.0778,0.23894,2.03446,2.2734,34.9226,33.2931,0.205983,0.216065,0.216065
14,0,0.123413,15,9,11,1400,0.123413,35,1,5,15,16,11,9,1400,0.123413,35,1,5,0.211565,0.229486,0.211565,0.212487,0,14,789.5543,109.2000,898.7543,0.229486,0.212487,0.229486,0.563967,0.078,0.563967,97.4413,13.4767,110.9180,3.01986,0.386726,3.40659,32.2668,34.8482,0.229486,0.212487,0.229486
16,0,0.0299499,17,12,13,1400,0.02995,35,1,4,17,18,13,12,1400,0.02995,35,1,4,0.0513429,0.0513439,0.0513429,0.0513466,0,16,3,7.2,10.2000,0.0513439,0.0513466,0.0513466,0.00214286,0.00514286,0.00514286,0.08985,0.21564,0.30549,0.00256719,0.0061616,0.00872879,34.9993,34.9974,0.0513439,0.0513466,0.0513466
18,0,0.109479,19,12,14,1400,0.109479,35,1,4,19,20,14,12,1400,0.109479,35,1,4,0.187678,0.187692,0.187678,0.187682,0,18,7.2,3,10.2000,0.187692,0.187682,0.187692,0.00514286,0.00214286,0.00514286,0.788249,0.328437,1.11669,0.0225231,0.0093841,0.0319072,34.9974,34.9993,0.187692,0.187682,0.187692
20,0,0.145959,21,15,16,1400,0.145959,35,1,4,21,22,16,15,1400,0.145959,35,1,4,0.250215,0.250215,0.250215,0.250215,0,20,0.0000,0.0000,0.0000,0.250215,0.250215,0.250215,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,35.0000,35.0000,0.250215,0.250215,0.250215
22,0,0.15764,23,15,17,1400,0.15764,35,1,4,23,24,17,15,1400,0.15764,35,1,4,0.27024,0.27024,0.27024,0.27024,0,22,0.0000,0.0000,0.0000,0.27024,0.27024,0.27024,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,35.0000,35.0000,0.27024,0.27024,0.27024
24,0,0.0474761,25,18,19,1400,0.047476,35,1,5,25,26,19,18,1400,0.047476,35,1,5,0.0813874,0.0813874,0.0813874,0.0813874,0,24,0.0000,0.0000,0.0000,0.0813874,0.0813874,0.0813874,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,35.0000,35.0000,0.0813874,0.0813874,0.0813874
26,0,0.0495129,27,20,21,1400,0.049513,35,1,4,27,28,21,20,1400,0.049513,35,1,4,0.0848794,0.0848794,0.0848794,0.0848794,0,26,0.0000,0.0000,0.0000,0.0848794,0.0848794,0.0848794,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,35.0000,35.0000,0.0848794,0.0848794,0.0848794
28,0,0.08848,29,20,22,1400,0.08848,35,1,4,29,30,22,20,1400,0.08848,35,1,4,0.15168,0.15168,0.15168,0.15168,0,28,0.0000,0.0000,0.0000,0.15168,0.15168,0.15168,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,35.0000,35.0000,0.15168,0.15168,0.15168
30,0,0.0878628,31,18,23,1400,0.087863,35,1,5,31,32,23,18,1400,0.087863,35,1,5,0.150622,0.150622,0.150622,0.150622,0,30,0.0000,0.0000,0.0000,0.150622,0.150622,0.150622,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,35.0000,35.0000,0.150622,0.150622,0.150622
32,0,0.103907,33,24,25,1400,0.103907,35,1,5,33,34,25,24,1400,0.103907,35,1,5,0.178126,0.181296,0.178126,0.180646,0,32,279.0000,239.4211,518.4211,0.181296,0.180646,0.181296,0.199286,0.171015,0.199286,28.9901,24.8775,53.8676,0.843025,0.72084,1.56386,34.3881,34.5119,0.181296,0.180646,0.181296
34,0,0.126557,35,24,26,1400,0.126557,35,1,5,35,36,26,24,1400,0.126557,35,1,5,0.216955,0.220024,0.216955,0.221169,0,34,239.4211,295.8000,535.2211,0.220024,0.221169,0.221169,0.171015,0.211286,0.211286,30.3004,37.4356,67.7360,0.877971,1.09036,1.96833,34.5119,34.3331,0.220024,0.221169,0.221169
36,0,0.0994154,37,27,28,1400,0.099415,35,1,5,37,38,28,27,1400,0.099415,35,1,5,0.170426,0.170948,0.170426,0.17915,0,36,86.4000,564.3582,650.7582,0.170948,0.17915,0.17915,0.0617143,0.403113,0.403113,8.58946,56.1057,64.6951,0.246166,1.68507,1.93124,34.8930,33.2957,0.170948,0.17915,0.17915
38,0,0.0959873,39,27,29,1400,0.095987,35,1,5,39,40,29,27,1400,0.095987,35,1,5,0.164549,0.172811,0.164549,0.165054,0,38,557.1582,86.4000,643.5582,0.172811,0.165054,0.172811,0.39797,0.0617143,0.39797,53.4799,8.29328,61.7732,1.60472,0.237677,1.8424,33.3266,34.8930,0.172811,0.165054,0.172811
40,0,0.10941,41,30,31,1400,0.10941,35,1,4,41,42,31,30,1400,0.10941,35,1,4,0.18756,0.192137,0.18756,0.194219,0,40,344.4000,442.2000,786.6000,0.192137,0.194219,0.194219,0.246,0.315857,0.315857,37.6808,48.3811,86.0619,1.10287,1.43139,2.53426,34.1663,33.8000,0.192137,0.194219,0.194219
42,0,0.107117,43,30,32,1400,0.107117,35,1,4,43,44,32,30,1400,0.107117,35,1,4,0.183629,0.190149,0.183629,0.18811,0,42,442.2000,344.4000,786.6000,0.190149,0.18811,0.190149,0.315857,0.246,0.315857,47.3671,36.8911,84.2582,1.40139,1.07975,2.48115,33.8000,34.1663,0.190149,0.18811,0.190149
44,0,0.178206,45,33,34,4000,0.178206,50,2,3,45,46,34,33,4000,0.178206,50,2,3,0.213847,0.214911,0.213847,0.218047,0,44,340.8000,851.4421,1192.2421,0.214911,0.218047,0.218047,0.0852,0.212861,0.212861,60.7326,151.7321,212.4647,1.22069,3.09425,4.31494,49.7525,49.0368,0.214911,0.218047,0.218047
46,0,0.144586,47,33,35,4000,0.144586,50,2,3,47,48,35,33,4000,0.144586,50,2,3,0.173503,0.177052,0.173503,0.173575,0,46,874.8421,64.8000,939.6421,0.177052,0.173575,0.177052,0.218711,0.0162,0.218711,126.4899,9.36917,135.8591,2.58155,0.187461,2.76901,48.9977,49.9794,0.177052,0.173575,0.177052
