,a_node,b_node,capacity,free_flow_time,a,b,direction,link_id
0,248,249,1400,0.15698914285714285,0.2,1.5,1,1
1,249,248,1400,0.15698914285714285,0.2,1.5,1,2
2,614,616,1400,0.6897514285714286,0.2,1.5,1,3
3,616,614,1400,0.6897514285714286,0.2,1.5,1,4
4,777,778,1400,0.5332062857142857,0.2,1.5,1,5
5,778,777,1400,0.5332062857142857,0.2,1.5,1,6
6,992,993,1400,0.2824885714285714,0.2,1.5,1,7
7,993,992,1400,0.2824885714285714,0.2,1.5,1,8
8,1233,1235,1400,0.3529285714285714,0.2,1.5,1,9
9,1235,1233,1400,0.3529285714285714,0.2,1.5,1,10
10,1405,1407,1400,0.207204,0.2,1.5,1,11
11,1407,1405,1400,0.207204,0.2,1.5,1,12
12,1058,1506,1400,0.2118617142857143,0.2,1.5,1,13
13,1506,1058,1400,0.2118617142857143,0.2,1.5,1,14
14,1057,1507,1400,0.44999657142857147,0.2,1.5,1,15
15,1507,1057,1400,0.44999657142857147,0.2,1.5,1,16
16,1541,1543,1400,0.3801171428571429,0.2,1.5,1,17
17,1543,1541,1400,0.3801171428571429,0.2,1.5,1,18
18,1542,1545,1400,0.19744285714285714,0.2,1.5,1,19
19,1545,1542,1400,0.19744285714285714,0.2,1.5,1,20
20,1546,1547,1400,0.14910171428571428,0.2,1.5,1,21
21,1547,1546,1400,0.14910171428571428,0.2,1.5,1,22
22,1879,1379,1400,0.5717022857142856,0.2,1.5,1,23
23,1379,1879,1400,0.5717022857142856,0.2,1.5,1,24
24,2029,2031,1400,0.19105028571428573,0.2,1.5,1,25
25,2031,2029,1400,0.19105028571428573,0.2,1.5,1,26
26,2044,2046,1400,0.3619731428571429,0.2,1.5,1,27
27,2046,2044,1400,0.3619731428571429,0.2,1.5,1,28
28,2669,2671,1400,0.5900862857142858,0.2,1.5,1,29
29,2671,2669,1400,0.5900862857142858,0.2,1.5,1,30
30,2826,1431,1400,0.5876125714285715,0.2,1.5,1,31
31,1431,2826,1400,0.5876125714285715,0.2,1.5,1,32
32,3357,3358,6600,0.27873857142857145,0.2,1.5,1,33
33,3357,3359,6600,0.17999228571428572,0.2,1.5,1,34
34,3425,3148,4000,0.4006188,0.2,1.5,1,35
35,3256,3638,6600,0.20164542857142856,0.2,1.5,1,36
36,2413,3696,6600,0.33930342857142853,0.2,1.5,1,37
37,2413,2414,6600,0.9270977142857144,0.2,1.5,1,38
38,2962,3561,6600,0.10890771428571429,0.2,1.5,1,39
39,4007,3489,6600,0.33371828571428575,0.2,1.5,1,40
40,4007,3486,6600,0.2891537142857143,0.2,1.5,1,41
41,4008,67,6600,0.18847285714285714,0.2,1.5,1,42
42,3567,3639,6600,0.4052528571428572,0.2,1.5,1,43
43,4134,4136,1400,0.26291314285714285,0.2,1.5,1,44
44,4136,4134,1400,0.26291314285714285,0.2,1.5,1,45
45,4191,4193,4000,0.0787188,0.2,1.5,1,46
46,4193,4191,4000,0.0787188,0.2,1.5,1,47
47,4300,3359,6600,0.34390971428571426,0.2,1.5,1,48
48,4303,3425,4000,0.39711719999999995,0.2,1.5,1,49
49,3539,4341,6600,0.277656,0.2,1.5,1,50
50,3539,4344,6600,0.6178071428571429,0.2,1.5,1,51
51,2123,2121,1400,0.10419942857142857,0.2,1.5,1,52
52,2121,2123,1400,0.10419942857142857,0.2,1.5,1,53
