Link_ID,From_Node_ID,To_Node_ID,Capacity,Length,Free_Speed,Lanes,Link_Type
0,0,1,9900,188.79,60.0,3,1
1,2,3,5400,275.74,40.0,2,3
2,3,2,5400,275.74,40.0,2,3
3,2,4,5400,124.3,40.0,2,3
4,4,2,5400,124.3,40.0,2,3
5,5,6,5400,82.37,40.0,2,3
6,6,5,5400,82.37,40.0,2,3
7,5,7,5400,298.44,40.0,2,3
8,7,5,5400,298.44,40.0,2,3
9,8,9,950,155.11,20.0,1,5
10,9,8,950,155.11,20.0,1,5
11,8,10,950,118.49,20.0,1,5
12,10,8,950,118.49,20.0,1,5
13,11,12,950,262.94,20.0,1,4
14,9,13,950,86.46,20.0,1,5
15,13,9,950,86.46,20.0,1,5
18,14,15,5400,451.23,40.0,2,3
19,15,14,5400,451.23,40.0,2,3
20,14,16,5400,351.49,40.0,2,3
21,16,14,5400,351.49,40.0,2,3
22,17,18,950,220.44,20.0,1,4
23,18,17,950,220.44,20.0,1,4
24,19,18,950,256.25,20.0,1,5
25,18,19,950,256.25,20.0,1,5
26,20,21,950,374.84,20.0,1,5
27,21,20,950,374.84,20.0,1,5
28,20,22,950,225.97,20.0,1,5
29,22,20,950,225.97,20.0,1,5
30,23,24,950,267.29,20.0,1,5
31,24,23,950,267.29,20.0,1,5
32,23,25,950,136.15,20.0,1,5
33,25,23,950,136.15,20.0,1,5
34,26,27,950,140.14,20.0,1,4
35,27,26,950,140.14,20.0,1,4
36,26,28,950,889.12,20.0,1,4
37,28,26,950,889.12,20.0,1,4
38,29,30,950,132.87,20.0,1,5
39,30,29,950,132.87,20.0,1,5
40,31,22,950,125.18,20.0,1,5
41,22,31,950,125.18,20.0,1,5
42,31,32,950,271.6,20.0,1,5
43,32,31,950,271.6,20.0,1,5
44,33,27,950,143.12,20.0,1,4
45,27,33,950,143.12,20.0,1,4
46,21,34,950,208.0,20.0,1,5
47,34,21,950,208.0,20.0,1,5
50,35,36,950,89.36,20.0,1,5
51,36,35,950,89.36,20.0,1,5
52,35,37,950,78.93,20.0,1,5
53,37,35,950,78.93,20.0,1,5
54,29,38,950,305.19,20.0,1,5
55,38,29,950,305.19,20.0,1,5
56,39,40,5400,88.22,40.0,2,3
57,40,39,5400,88.22,40.0,2,3
58,39,41,5400,112.59,40.0,2,3
59,41,39,5400,112.59,40.0,2,3
60,42,43,5400,213.9,40.0,2,3
61,43,42,5400,213.9,40.0,2,3
62,42,44,5400,101.7,40.0,2,3
63,44,42,5400,101.7,40.0,2,3
64,45,46,950,40.21,20.0,1,5
65,46,45,950,40.21,20.0,1,5
66,45,47,950,143.68,20.0,1,5
67,47,45,950,143.68,20.0,1,5
68,48,49,950,145.96,20.0,1,5
69,49,48,950,145.96,20.0,1,5
70,48,50,950,55.96,20.0,1,5
71,50,48,950,55.96,20.0,1,5
72,51,52,9900,367.49,60.0,3,1
73,53,54,950,74.86,20.0,1,4
74,54,53,950,74.86,20.0,1,4
75,53,55,950,132.25,20.0,1,4
76,55,53,950,132.25,20.0,1,4
79,54,56,950,418.64,20.0,1,4
80,56,54,950,418.64,20.0,1,4
81,57,58,5400,101.36,40.0,2,3
82,58,57,5400,101.36,40.0,2,3
83,59,60,950,54.09,20.0,1,4
84,59,61,950,37.52,20.0,1,4
85,61,59,950,37.52,20.0,1,4
86,59,62,950,23.95,20.0,1,4
87,57,63,5400,364.63,40.0,2,3
88,63,57,5400,364.63,40.0,2,3
89,64,65,950,46.09,20.0,1,5
90,65,64,950,46.09,20.0,1,5
91,64,66,950,76.64,20.0,1,5
92,66,64,950,76.64,20.0,1,5
93,67,68,950,7.66,20.0,1,4
94,69,70,950,6.59,20.0,1,4
95,69,71,950,144.4,20.0,1,4
96,72,73,5400,20.44,40.0,2,3
97,73,72,5400,20.44,40.0,2,3
98,72,74,5400,100.37,40.0,2,3
99,74,72,5400,100.37,40.0,2,3
100,75,76,950,8.27,20.0,1,4
101,76,75,950,8.27,20.0,1,4
102,75,77,950,166.96,20.0,1,4
103,77,75,950,166.96,20.0,1,4
104,78,79,950,33.06,20.0,1,4
105,79,78,950,33.06,20.0,1,4
106,78,80,950,82.9,20.0,1,4
107,80,78,950,82.9,20.0,1,4
108,80,81,950,49.89,20.0,1,4
109,81,80,950,49.89,20.0,1,4
112,82,83,950,36.3,20.0,1,4
113,83,82,950,36.3,20.0,1,4
114,82,81,950,65.06,20.0,1,4
115,81,82,950,65.06,20.0,1,4
116,84,85,950,18.63,20.0,1,4
117,85,84,950,18.63,20.0,1,4
118,84,86,950,155.76,20.0,1,4
119,86,84,950,155.76,20.0,1,4
120,87,88,950,120.4,20.0,1,5
121,88,87,950,120.4,20.0,1,5
122,87,89,950,24.25,20.0,1,5
123,89,87,950,24.25,20.0,1,5
124,90,91,950,12.06,20.0,1,5
125,90,92,950,27.05,20.0,1,5
126,93,90,950,5.96,20.0,1,5
127,94,95,950,16.93,20.0,1,5
128,96,97,950,209.03,20.0,1,4
129,97,96,950,209.03,20.0,1,4
130,95,93,950,13.14,20.0,1,5
131,95,98,950,37.56,20.0,1,5
132,99,100,950,10.54,20.0,1,4
133,100,99,950,10.54,20.0,1,4
134,99,101,950,280.64,20.0,1,4
135,101,99,950,280.64,20.0,1,4
136,96,102,950,157.14,20.0,1,4
137,103,94,950,15.26,20.0,1,5
138,103,104,950,46.84,20.0,1,5
139,96,105,950,108.12,20.0,1,5
140,105,96,950,108.12,20.0,1,5
141,106,107,950,145.96,20.0,1,4
144,97,108,950,83.69,20.0,1,5
145,108,97,950,83.69,20.0,1,5
146,108,109,950,320.11,20.0,1,5
147,109,108,950,320.11,20.0,1,5
148,110,111,950,13.17,20.0,1,5
149,112,110,950,6.95,20.0,1,5
150,111,113,950,7.72,20.0,1,5
153,113,114,950,16.26,20.0,1,5
154,113,115,950,49.53,20.0,1,5
155,116,112,950,16.64,20.0,1,5
156,114,116,950,3.13,20.0,1,5
157,115,114,950,45.63,20.0,1,5
158,115,117,950,158.31,20.0,1,5
159,117,115,950,158.31,20.0,1,5
160,109,118,950,399.82,20.0,1,5
161,118,109,950,399.82,20.0,1,5
164,119,120,950,135.04,20.0,1,4
165,120,119,950,135.04,20.0,1,4
166,119,121,950,135.86,20.0,1,4
