O_ID,D_ID,OD_Number
10000000,10000000,21
10000000,10000001,2
10000000,10000005,5
10000000,10000006,26
10000000,10000007,1
10000000,10000008,2
10000000,10000009,1
10000000,10000013,1
10000000,10000014,4
10000000,10000017,4
10000000,10000018,1
10000000,10000022,1
10000000,10000023,1
10000000,10000024,1
10000000,10000036,1
10000000,10000039,2
10000000,10000040,3
10000000,10000041,4
10000000,10000042,2
10000000,10000046,1
10000000,10000060,5
10000000,10000061,12
10000000,10000064,1
10000000,10000071,1
10000000,10000072,19
10000000,10000073,14
10000000,10000074,5
10000000,10000076,13
10000000,10000077,6
10000000,10000078,30
10000000,10000079,1
10000000,10000080,7
10000000,10000081,26
10000000,10000082,10
10000000,10000084,2
10000000,10000085,12
10000000,10000086,3
10000000,10000087,2
10000000,10000088,1
10000000,10000089,2
10000000,10000092,1
10000000,10000093,4
10000000,10000103,31
10000000,10000104,15
10000000,10000105,3
10000000,10000106,7
10000000,10000109,3
10000000,10000110,4
10000000,10000111,30
10000000,10000112,6
10000000,10000113,10
10000000,10000114,4
10000000,10000115,20
10000000,10000116,9
10000000,10000117,1
10000000,10000120,4
10000000,10000122,6
10000000,10000124,9
10000000,10000128,1
10000000,10000129,2
10000000,10000134,1
10000000,10000138,6
10000000,10000141,8
10000000,10000142,17
10000000,10000143,3
10000000,10000146,7
10000000,10000147,8
10000000,10000148,11
10000000,10000149,77
10000000,10000150,5
10000000,10000151,13
10000000,10000152,4
10000000,10000153,5
10000000,10000154,2
10000000,10000155,3
10000000,10000157,1
10000000,10000161,2
10000000,10000164,1
10000000,10000165,2
10000000,10000167,31
10000000,10000168,5
10000000,10000169,9
10000000,10000170,31
10000000,10000172,1
10000000,10000173,3
10000000,10000174,15
10000000,10000177,9
10000000,10000178,9
10000000,10000179,10
10000000,10000180,7
10000000,10000188,5
10000000,10000190,6
10000000,10000191,1
10000000,10000192,2
10000000,10000194,6
10000000,10000195,4
10000000,10000196,4
10000000,10000197,2
10000000,10000198,3
10000000,10000199,5
10000000,10000200,4
10000000,10000203,11
10000000,10000205,14
10000000,10000209,1
10000000,10000210,2
10000000,10000211,3
10000000,10000212,4
10000000,10000214,5
10000000,10000215,8
10000000,10000216,4
10000000,10000217,1
10000000,10000218,1
10000000,10000219,3
10000000,10000220,5
10000000,10000221,2
10000000,10000223,15
10000000,10000224,5
10000000,10000225,1
10000000,10000226,3
10000000,10000227,2
10000000,10000228,28
10000000,10000229,1
10000000,10000230,1
10000000,10000235,2
10000000,10000240,8
10000000,10000246,1
10000000,10000248,3
10000000,10000249,11
10000000,10000250,5
10000000,10000251,4
10000000,10000252,1
10000000,10000259,1
10000000,10000261,1
10000000,10000263,1
10000000,10000265,2
10000000,10000266,1
10000000,10000269,6
10000000,10000273,1
10000000,10000276,1
10000000,10000280,1
10000000,10000283,5
10000000,10000284,1
10000000,10000285,7
10000000,10000286,2
10000000,10000288,11
10000000,10000290,3
10000000,10000295,5
10000000,10000299,1
10000000,10000301,1
10000000,10000303,1
10000000,10000304,1
10000000,10000309,1
10000000,10000311,1
10000000,10000312,1
10000000,10000314,4
10000000,10000319,7
10000000,10000321,1
10000000,10000322,5
10000000,10000324,1
10000000,10000327,2
10000000,10000330,2
10000000,10000332,5
10000000,10000333,1
10000000,10000336,2
10000000,10000338,1
10000000,10000342,2
10000000,10000344,3
10000000,10000350,2
10000000,10000353,7
10000000,10000355,18
10000000,10000357,2
10000000,10000364,1
10000000,10000365,68
10000000,10000366,4
10000000,10000367,7
10000000,10000368,5
10000000,10000370,1
10000000,10000372,1
10000000,10000374,2
10000001,10000000,1
10000001,10000001,15
10000001,10000004,1
10000001,10000005,3
10000001,10000006,65
10000001,10000007,3
10000001,10000009,2
10000001,10000012,2
10000001,10000014,2
