O_ID,D_ID,OD_Number
10000000,10000000,46
10000000,10000001,4
10000000,10000003,1
10000000,10000004,6
10000000,10000005,2
10000000,10000006,1
10000000,10000007,1
10000000,10000009,2
10000000,10000010,1
10000000,10000013,2
10000000,10000015,13
10000000,10000016,13
10000000,10000017,14
10000000,10000018,1
10000000,10000019,4
10000000,10000021,9
10000000,10000022,1
10000000,10000023,1
10000000,10000024,1
10000000,10000027,5
10000000,10000034,1
10000000,10000035,1
10000000,10000038,6
10000000,10000041,1
10000000,10000044,5
10000000,10000045,2
10000000,10000046,5
10000000,10000048,1
10000000,10000053,7
10000000,10000055,1
10000000,10000056,14
10000000,10000057,5
10000000,10000059,3
10000000,10000061,5
10000000,10000068,2
10000000,10000069,8
10000000,10000070,2
10000000,10000072,2
10000000,10000073,8
10000000,10000075,5
10000000,10000077,7
10000000,10000078,1
10000000,10000079,1
10000000,10000080,4
10000000,10000083,53
10000000,10000084,2
10000000,10000085,1
10000000,10000086,4
10000000,10000087,4
10000000,10000088,1
10000000,10000091,1
10000000,10000092,5
10000000,10000093,5
10000000,10000095,10
10000000,10000096,1
10000000,10000099,17
10000000,10000103,3
10000000,10000104,2
10000000,10000106,2
10000000,10000107,1
10000000,10000111,3
10000000,10000115,1
10000000,10000117,2
10000000,10000124,3
10000000,10000125,2
10000000,10000126,1
10000000,10000127,3
10000000,10000129,1
10000000,10000130,6
10000000,10000131,1
10000000,10000133,3
10000000,10000134,4
10000000,10000135,6
10000000,10000136,10
10000000,10000140,84
10000000,10000141,10
10000000,10000142,6
10000000,10000144,13
10000000,10000145,11
10000000,10000146,1
10000000,10000148,1
10000000,10000149,1
10000000,10000150,1
10000000,10000153,2
10000000,10000155,7
10000000,10000156,4
10000000,10000158,2
10000000,10000159,2
10000000,10000160,1
10000000,10000162,2
10000000,10000163,1
10000000,10000164,7
10000000,10000167,1
10000000,10000168,1
10000000,10000171,6
10000001,10000000,1
10000001,10000001,80
10000001,10000004,3
10000001,10000005,3
10000001,10000008,1
10000001,10000009,3
10000001,10000010,1
10000001,10000013,2
10000001,10000015,5
10000001,10000016,12
10000001,10000017,2
10000001,10000021,19
10000001,10000022,3
10000001,10000023,4
10000001,10000026,7
10000001,10000029,1
10000001,10000030,1
10000001,10000032,1
10000001,10000036,1
10000001,10000038,3
10000001,10000042,1
10000001,10000044,4
10000001,10000045,9
10000001,10000046,1
10000001,10000048,1
10000001,10000050,1
10000001,10000053,27
10000001,10000055,3
10000001,10000056,9
10000001,10000057,12
10000001,10000059,3
10000001,10000061,3
10000001,10000062,3
10000001,10000063,2
10000001,10000066,1
10000001,10000068,3
10000001,10000069,2
10000001,10000072,4
10000001,10000073,1
10000001,10000074,1
10000001,10000076,5
10000001,10000077,1
10000001,10000078,2
10000001,10000080,4
10000001,10000082,3
10000001,10000083,15
10000001,10000086,1
10000001,10000087,2
10000001,10000088,1
10000001,10000091,1
10000001,10000092,2
10000001,10000093,3
10000001,10000095,1
10000001,10000096,1
10000001,10000098,1
10000001,10000099,5
10000001,10000100,3
10000001,10000101,1
10000001,10000102,1
10000001,10000103,4
10000001,10000108,2
10000001,10000109,1
10000001,10000111,3
10000001,10000117,2
10000001,10000120,1
10000001,10000121,2
10000001,10000122,1
10000001,10000124,1
10000001,10000129,3
10000001,10000132,1
10000001,10000135,2
10000001,10000136,15
10000001,10000140,57
10000001,10000141,4
10000001,10000142,3
10000001,10000144,19
10000001,10000147,2
10000001,10000148,6
10000001,10000149,30
10000001,10000155,1
10000001,10000160,1
10000001,10000161,2
10000001,10000162,3
10000001,10000164,1
10000001,10000167,2
10000001,10000168,2
10000001,10000171,6
10000001,10000174,6
10000002,10000000,4
10000002,10000001,6
10000002,10000002,13
10000002,10000003,5
10000002,10000004,30
10000002,10000005,3
10000002,10000006,6
10000002,10000007,5
10000002,10000009,3
10000002,10000010,2
10000002,10000011,1
10000002,10000013,8
10000002,10000015,16
10000002,10000016,33
10000002,10000017,7
10000002,10000018,1
10000002,10000019,1
10000002,10000021,15
10000002,10000022,6
10000002,10000023,2
10000002,10000024,5
10000002,10000026,7
10000002,10000028,2
10000002,10000029,1
10000002,10000030,7
10000002,10000032,2
10000002,10000033,4
10000002,10000034,6
10000002,10000035,9
10000002,10000036,12
10000002,10000037,1
10000002,10000038,15
10000002,10000039,4
10000002,10000040,1
10000002,10000041,3
10000002,10000042,5
10000002,10000043,2
10000002,10000044,12
10000002,10000045,8
10000002,10000046,1
10000002,10000047,1
10000002,10000048,3
10000002,10000049,1
10000002,10000053,10
10000002,10000055,1
10000002,10000056,11
10000002,10000057,9
10000002,10000061,14
10000002,10000062,1
10000002,10000063,1
10000002,10000065,1
10000002,10000068,2
10000002,10000069,17
10000002,10000070,6
10000002,10000071,1
10000002,10000072,9
10000002,10000073,3
10000002,10000074,1
10000002,10000076,4
10000002,10000077,2
10000002,10000078,2
10000002,10000079,1
10000002,10000080,2
10000002,10000081,1
10000002,10000082,3
10000002,10000083,21
10000002,10000084,2
10000002,10000085,1
10000002,10000086,8
10000002,10000087,18
10000002,10000088,27
10000002,10000089,7
10000002,10000092,6
10000002,10000093,9
10000002,10000094,1
10000002,10000095,17
10000002,10000096,12
10000002,10000097,2
10000002,10000098,4
10000002,10000099,26
10000002,10000100,3
10000002,10000101,4
10000002,10000102,2
10000002,10000103,32
10000002,10000104,4
10000002,10000106,6
10000002,10000109,2
10000002,10000111,4
10000002,10000112,1
10000002,10000113,1
10000002,10000114,3
10000002,10000115,5
10000002,10000117,1
10000002,10000121,3
10000002,10000122,4
10000002,10000124,18
10000002,10000126,1
10000002,10000127,1
10000002,10000129,2
10000002,10000130,11
10000002,10000134,1
10000002,10000135,8
10000002,10000136,72
10000002,10000137,5
10000002,10000138,3
10000002,10000140,134
10000002,10000141,43
10000002,10000142,12
10000002,10000144,14
10000002,10000145,4
10000002,10000148,2
10000002,10000149,3
10000002,10000153,16
10000002,10000154,1
10000002,10000156,1
10000002,10000157,4
10000002,10000161,9
10000002,10000162,17
10000002,10000163,3
10000002,10000164,48
10000002,10000166,1
10000002,10000168,2
10000002,10000171,22
10000002,10000173,1
10000002,10000174,2
10000003,10000000,1
10000003,10000001,24
10000003,10000003,70
10000003,10000004,117
10000003,10000005,5
10000003,10000008,1
10000003,10000009,15
10000003,10000010,11
10000003,10000011,2
10000003,10000013,8
10000003,10000015,14
10000003,10000016,5
10000003,10000017,22
10000003,10000018,1
10000003,10000021,7
10000003,10000022,4
10000003,10000023,3
10000003,10000024,6
10000003,10000026,5
10000003,10000027,2
10000003,10000029,5
10000003,10000034,2
10000003,10000037,1
10000003,10000038,12
10000003,10000041,5
10000003,10000042,11
10000003,10000045,7
10000003,10000046,1
10000003,10000047,5
10000003,10000053,11
10000003,10000055,3
10000003,10000056,4
10000003,10000057,10
10000003,10000059,2
10000003,10000061,7
10000003,10000062,1
10000003,10000063,3
10000003,10000068,3
10000003,10000069,2
10000003,10000070,5
10000003,10000071,1
10000003,10000072,20
10000003,10000073,2
10000003,10000076,2
10000003,10000077,1
10000003,10000078,13
10000003,10000080,6
10000003,10000081,1
10000003,10000082,5
10000003,10000083,83
10000003,10000086,6
10000003,10000087,2
10000003,10000088,6
10000003,10000093,6
10000003,10000095,1
10000003,10000096,4
10000003,10000097,1
10000003,10000098,5
10000003,10000099,49
10000003,10000100,1
10000003,10000101,2
10000003,10000103,16
10000003,10000104,1
10000003,10000105,2
10000003,10000106,6
10000003,10000108,1
10000003,10000109,2
10000003,10000111,9
10000003,10000112,4
10000003,10000115,8
10000003,10000117,2
10000003,10000122,1
10000003,10000124,46
10000003,10000125,1
10000003,10000127,3
10000003,10000128,3
10000003,10000129,7
10000003,10000130,5
10000003,10000132,1
10000003,10000133,4
10000003,10000134,10
10000003,10000135,14
10000003,10000136,11
10000003,10000137,1
10000003,10000138,1
10000003,10000140,120
10000003,10000141,27
10000003,10000142,6
10000003,10000143,1
10000003,10000144,13
10000003,10000148,1
10000003,10000149,7
10000003,10000152,2
10000003,10000153,5
10000003,10000155,1
10000003,10000156,2
10000003,10000160,1
10000003,10000161,2
10000003,10000162,6
10000003,10000164,1
10000003,10000167,7
10000003,10000168,2
10000003,10000169,6
10000003,10000171,9
10000003,10000173,1
10000003,10000174,3
10000004,10000000,1
10000004,10000001,12
10000004,10000003,15
10000004,10000004,194
10000004,10000005,15
10000004,10000006,3
10000004,10000009,9
10000004,10000010,7
10000004,10000011,2
10000004,10000013,4
10000004,10000015,14
10000004,10000016,10
10000004,10000017,10
10000004,10000019,5
10000004,10000021,10
10000004,10000022,4
10000004,10000023,3
10000004,10000024,3
10000004,10000026,4
10000004,10000028,2
10000004,10000029,9
10000004,10000035,2
10000004,10000036,2
10000004,10000038,14
10000004,10000041,4
10000004,10000042,3
10000004,10000044,7
10000004,10000045,13
10000004,10000047,1
10000004,10000048,1
10000004,10000053,7
10000004,10000055,5
10000004,10000056,2
10000004,10000057,10
10000004,10000061,8
10000004,10000062,3
10000004,10000066,1
10000004,10000068,1
10000004,10000069,6
10000004,10000070,7
10000004,10000072,19
10000004,10000073,1
10000004,10000074,1
10000004,10000076,4
10000004,10000077,1
10000004,10000079,1
10000004,10000080,4
10000004,10000081,1
10000004,10000082,2
10000004,10000083,71
10000004,10000086,2
10000004,10000087,2
10000004,10000088,3
10000004,10000091,1
10000004,10000093,2
10000004,10000095,7
10000004,10000096,2
10000004,10000098,2
10000004,10000099,21
10000004,10000100,1
10000004,10000101,2
10000004,10000103,19
10000004,10000104,2
10000004,10000106,5
10000004,10000107,1
10000004,10000109,2
10000004,10000111,13
10000004,10000114,1
10000004,10000115,13
10000004,10000117,4
10000004,10000120,1
10000004,10000122,1
10000004,10000123,1
10000004,10000124,26
10000004,10000126,3
10000004,10000127,2
10000004,10000129,6
