,a_node,b_node,capacity,free_flow_time,a,b,direction,link_id
0,4218,4220,1300,0.6940285714285714,0.5,1.5,1,1
1,4220,4218,1300,0.6940285714285714,0.5,1.5,1,2
2,4221,4223,1300,0.6888359999999999,0.5,1.5,1,3
3,4223,4221,1300,0.6888359999999999,0.5,1.5,1,4
4,4224,4226,1300,0.35053885714285715,0.5,1.5,1,5
5,4226,4224,1300,0.35053885714285715,0.5,1.5,1,6
6,4916,4096,1300,1.6608394285714285,0.5,1.5,1,7
7,4096,4916,1300,1.6608394285714285,0.5,1.5,1,8
8,5709,857,6000,0.39934200000000003,0.5,1.5,1,9
9,867,5749,6000,0.440962,0.5,1.5,1,10
10,7738,7739,1300,0.36037542857142857,0.5,1.5,1,11
11,7739,7738,1300,0.36037542857142857,0.5,1.5,1,12
12,3213,3217,1300,0.346584,0.5,1.5,1,13
13,8140,3213,1300,0.34674,0.5,1.5,1,14
14,8618,7847,1300,0.830472,0.5,1.5,1,15
15,8648,8623,1300,0.4097948571428571,0.5,1.5,1,16
16,8707,8708,6000,3.812820666666666,0.5,1.5,1,17
17,8687,8705,6000,2.819733333333333,0.5,1.5,1,18
18,8705,8687,6000,2.819733333333333,0.5,1.5,1,19
19,652,10000053,99999,3.013125,0.5,1.5,1,20
20,10000053,652,99999,3.013125,0.5,1.5,1,21
21,857,10000053,99999,4.110314999999999,0.5,1.5,1,22
22,10000053,857,99999,4.110314999999999,0.5,1.5,1,23
23,867,10000053,99999,4.124958,0.5,1.5,1,24
24,10000053,867,99999,4.124958,0.5,1.5,1,25
25,3211,10000053,99999,3.546648,0.5,1.5,1,26
26,10000053,3211,99999,3.546648,0.5,1.5,1,27
27,3213,10000053,99999,2.533932,0.5,1.5,1,28
28,10000053,3213,99999,2.533932,0.5,1.5,1,29
29,4221,10000053,99999,4.45107,0.5,1.5,1,30
30,10000053,4221,99999,4.45107,0.5,1.5,1,31
31,4222,10000053,99999,4.822884,0.5,1.5,1,32
32,10000053,4222,99999,4.822884,0.5,1.5,1,33
33,4224,10000053,99999,1.445115,0.5,1.5,1,34
34,10000053,4224,99999,1.445115,0.5,1.5,1,35
35,4225,10000053,99999,1.7281739999999999,0.5,1.5,1,36
36,10000053,4225,99999,1.7281739999999999,0.5,1.5,1,37
37,4962,10000053,99999,2.602476,0.5,1.5,1,38
38,10000053,4962,99999,2.602476,0.5,1.5,1,39
39,4963,10000053,99999,2.980968,0.5,1.5,1,40
40,10000053,4963,99999,2.980968,0.5,1.5,1,41
41,4964,10000053,99999,2.163423,0.5,1.5,1,42
42,10000053,4964,99999,2.163423,0.5,1.5,1,43
43,7277,10000053,99999,4.5073799999999995,0.5,1.5,1,44
44,10000053,7277,99999,4.5073799999999995,0.5,1.5,1,45
45,8707,10000053,99999,4.202274,0.5,1.5,1,46
46,10000053,8707,99999,4.202274,0.5,1.5,1,47
47,4218,10000021,99999,4.697109,0.5,1.5,1,48
48,10000021,4218,99999,4.697109,0.5,1.5,1,49
49,5647,10000151,99999,2.7701460000000004,0.5,1.5,1,50
50,10000151,5647,99999,2.7701460000000004,0.5,1.5,1,51
51,5648,10000151,99999,2.595882,0.5,1.5,1,52
52,10000151,5648,99999,2.595882,0.5,1.5,1,53
53,7738,10000151,99999,1.9841700000000002,0.5,1.5,1,54
