Link_ID,From_Node_ID,To_Node_ID,Capacity,Length,Free_Speed,Lanes,Link_Type
0,0,1,950,127.69,20.0,1,5
1,0,2,950,933.51,20.0,1,5
2,3,4,950,353.14,20.0,1,5
3,4,3,950,353.14,20.0,1,5
4,5,6,950,81.64,20.0,1,4
5,6,5,950,81.64,20.0,1,4
6,7,8,950,213.62,20.0,1,4
7,8,7,950,213.62,20.0,1,4
8,7,9,950,122.24,20.0,1,4
9,9,7,950,122.24,20.0,1,4
10,10,11,950,194.59,20.0,1,5
11,11,10,950,194.59,20.0,1,5
12,7,12,950,319.05,20.0,1,5
13,12,7,950,319.05,20.0,1,5
14,13,14,950,95.35,20.0,1,5
15,14,13,950,95.35,20.0,1,5
16,13,15,950,92.03,20.0,1,5
17,15,13,950,92.03,20.0,1,5
18,16,17,950,33.6,20.0,1,5
19,17,16,950,33.6,20.0,1,5
20,16,18,950,212.72,20.0,1,5
21,18,16,950,212.72,20.0,1,5
22,10,19,950,45.8,20.0,1,4
23,19,10,950,45.8,20.0,1,4
24,20,21,950,85.9,20.0,1,5
25,21,20,950,85.9,20.0,1,5
26,20,22,950,184.09,20.0,1,5
27,22,20,950,184.09,20.0,1,5
28,21,23,950,96.05,20.0,1,5
29,23,21,950,96.05,20.0,1,5
32,24,25,950,107.03,20.0,1,5
33,25,24,950,107.03,20.0,1,5
34,10,26,950,434.28,20.0,1,5
35,26,10,950,434.28,20.0,1,5
36,24,27,950,151.27,20.0,1,5
37,27,24,950,151.27,20.0,1,5
38,28,29,950,90.27,20.0,1,5
39,29,28,950,90.27,20.0,1,5
40,10,5,950,91.29,20.0,1,4
41,5,10,950,91.29,20.0,1,4
42,28,30,950,88.23,20.0,1,5
43,30,28,950,88.23,20.0,1,5
44,31,32,950,20.33,20.0,1,5
45,32,31,950,20.33,20.0,1,5
46,31,33,950,160.3,20.0,1,5
47,33,31,950,160.3,20.0,1,5
48,34,35,950,95.38,20.0,1,5
49,35,34,950,95.38,20.0,1,5
50,34,36,950,100.02,20.0,1,5
51,36,34,950,100.02,20.0,1,5
54,37,38,950,66.9,20.0,1,5
55,38,37,950,66.9,20.0,1,5
56,37,39,950,124.66,20.0,1,5
57,39,37,950,124.66,20.0,1,5
58,40,41,950,105.46,20.0,1,5
59,41,40,950,105.46,20.0,1,5
60,40,42,950,108.03,20.0,1,5
61,42,40,950,108.03,20.0,1,5
62,19,43,950,70.31,20.0,1,4
63,43,19,950,70.31,20.0,1,4
64,44,45,950,40.91,20.0,1,5
65,45,44,950,40.91,20.0,1,5
