O_ID,D_ID,OD_Number
10000000,10000000,59
10000000,10000002,7
10000000,10000003,125
10000000,10000004,185
10000000,10000005,3
10000000,10000006,4
10000000,10000007,30
10000000,10000009,1
10000000,10000010,1
10000000,10000011,8
10000000,10000012,11
10000000,10000015,52
10000000,10000017,1
10000000,10000019,5
10000000,10000020,6
10000000,10000021,231
10000000,10000022,172
10000000,10000023,121
10000000,10000024,340
10000000,10000025,27
10000000,10000026,23
10000000,10000027,11
10000000,10000028,7
10000000,10000029,2
10000000,10000030,15
10000000,10000031,72
10000000,10000032,2
10000000,10000034,4
10000000,10000035,70
10000000,10000037,109
10000000,10000038,8
10000000,10000041,6
10000000,10000042,61
10000000,10000044,35
10000000,10000045,20
10000000,10000048,19
10000000,10000049,4
10000000,10000050,43
10000000,10000051,4
10000000,10000052,13
10000000,10000053,5
10000000,10000055,13
10000000,10000056,9
10000000,10000058,3
10000000,10000059,20
10000000,10000060,1
10000000,10000061,12
10000000,10000062,3
10000000,10000063,31
10000000,10000064,9
10000000,10000067,4
10000000,10000068,8
10000000,10000069,1
10000000,10000070,1
10000000,10000071,2
10000000,10000073,10
10000000,10000074,57
10000000,10000075,213
10000000,10000076,25
10000000,10000078,5
10000000,10000079,9
10000000,10000080,69
10000000,10000081,1
10000000,10000082,9
10000000,10000084,21
10000000,10000085,41
10000000,10000086,13
10000000,10000087,15
10000000,10000088,58
10000000,10000089,1
10000000,10000090,29
10000000,10000091,28
10000000,10000092,3
10000000,10000093,10
10000000,10000095,9
10000000,10000096,25
10000000,10000097,18
10000000,10000098,15
10000000,10000099,6
10000000,10000100,15
10000000,10000104,13
10000000,10000105,6
10000000,10000106,7
10000000,10000108,6
10000000,10000109,1
10000000,10000110,8
10000000,10000111,3
10000000,10000112,2
10000000,10000113,3
10000000,10000114,3
10000000,10000115,4
10000000,10000116,4
10000002,10000000,1
10000002,10000002,20
10000002,10000003,13
10000002,10000004,20
10000002,10000007,12
10000002,10000012,1
10000002,10000015,12
10000002,10000019,8
10000002,10000020,1
10000002,10000021,30
10000002,10000022,8
10000002,10000023,12
10000002,10000024,88
10000002,10000025,5
