"ID","Dir","Length","AB_Link_ID","AB_From_Node_","AB_To_Node_ID","AB_Capacity","AB_Length","AB_Free_Speed","AB_Lanes","AB_Link_Type","BA_DB_ID","BA_Link_ID","BA_From_Node_","BA_To_Node_ID","BA_Capacity","BA_Length","BA_Free_Speed","BA_Lanes","BA_Link_Type","AB_Free_Time","AB_UE_Time","BA_Free_Time","BA_UE_Time","direction","ID1","AB_Flow_PCE","BA_Flow_PCE","Tot_Flow_PCE","AB_Time","BA_Time","Max_Time","AB_VOC","BA_VOC","Max_VOC","AB_VKmT","BA_VKmT","Tot_VKmT","AB_VHT","BA_VHT","Tot_VHT","AB_Speed","BA_Speed","AB_VDF","BA_VDF","Max_VDF","AB_Flow_OD_Number","BA_Flow_OD_Number","AB_Flow","BA_Flow","Tot_Flow"
1,1,0.127765,0,0,1,1400,0.127765,40,1,5,,-1,-1,-1,-1,,-1,-1,-1,0.191647,0.192032,,,1,1,35.3491,,35.3491,0.192032,,0.192032,0.0252494,,0.0252494,4.51638,,4.51638,0.113136,,0.113136,39.9199,,0.192032,,0.192032,35.3491,,35.3491,,35.3491
2,1,0.933892,1,0,2,1400,0.933892,40,1,5,,-1,-1,-1,-1,,-1,-1,-1,1.40084,1.40084,,,1,2,0.0000,,0.0000,1.40084,,1.40084,0.0000,,0.0000,0.0000,,0.0000,0.0000,,0.0000,40.0000,,1.40084,,1.40084,0.0000,,0.0000,,0.0000
3,0,0.353311,2,3,4,1400,0.353311,40,1,5,4,3,4,3,1400,0.353311,40,1,5,0.529967,0.577484,0.529967,0.586285,0,3,445.1947,498.6000,943.7947,0.577484,0.586285,0.586285,0.317996,0.356143,0.356143,157.2922,176.1609,333.4531,4.28488,4.87203,9.15691,36.7087,36.1576,0.577484,0.586285,0.586285,445.1947,498.6000,445.1947,498.6000,943.7947
5,0,0.0816672,4,5,6,1400,0.081667,40,1,4,6,5,6,5,1400,0.081667,40,1,4,0.122501,0.187648,0.122501,0.147165,0,5,1458.7798,763.4355,2222.2153,0.187648,0.147165,0.187648,1.04199,0.545311,1.04199,119.1342,62.3475,181.4817,4.56229,1.87252,6.43481,26.1128,33.2961,0.187648,0.147165,0.187648,1458.7798,763.4355,1458.7798,763.4355,2222.2153
7,0,0.213772,6,7,8,1400,0.213772,40,1,4,8,7,8,7,1400,0.213772,40,1,4,0.320658,0.320658,0.320658,0.320658,0,7,0.0000,0.0000,0.0000,0.320658,0.320658,0.320658,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,40.0000,40.0000,0.320658,0.320658,0.320658,0.0000,0.0000,0.0000,0.0000,0.0000
9,0,0.122336,8,7,9,1400,0.122336,40,1,4,10,9,9,7,1400,0.122336,40,1,4,0.183504,0.183547,0.183504,0.183504,0,9,8.4,0.0000,8.4,0.183547,0.183504,0.183547,0.006,0.0000,0.006,1.02762,0.0000,1.02762,0.0256965,0.0000,0.0256965,39.9907,40.0000,0.183547,0.183504,0.183547,8.4,0.0000,8.4,0.0000,8.4
11,0,0.194636,10,10,11,1400,0.194636,40,1,5,12,11,11,10,1400,0.194636,40,1,5,0.291954,0.292029,0.291954,0.305692,0,11,9,289.6606,298.6606,0.292029,0.305692,0.305692,0.00642857,0.2069,0.2069,1.75172,56.3784,58.1301,0.0438044,1.47578,1.51959,39.9897,38.2024,0.292029,0.305692,0.305692,9,289.6606,9,289.6606,298.6606
13,0,0.319217,12,7,12,1400,0.319217,40,1,5,14,13,12,7,1400,0.319217,40,1,5,0.478825,0.478826,0.478825,0.478937,0,13,0.0000,8.4,8.4,0.478826,0.478937,0.478937,0.0000,0.006,0.006,0.0000,2.68142,2.68142,0.0000,0.0670512,0.0670512,40.0000,39.9907,0.478826,0.478937,0.478937,0.0000,8.4,0.0000,8.4,8.4
15,0,0.0953518,14,13,14,1400,0.095352,40,1,5,16,15,14,13,1400,0.095352,40,1,5,0.143028,0.143028,0.143028,0.143061,0,15,0.0000,8.4,8.4,0.143028,0.143061,0.143061,0.0000,0.006,0.006,0.0000,0.800957,0.800957,0.0000,0.0200286,0.0200286,40.0000,39.9907,0.143028,0.143061,0.143061,0.0000,8.4,0.0000,8.4,8.4
17,0,0.0920694,16,13,15,1400,0.092069,40,1,5,18,17,15,13,1400,0.092069,40,1,5,0.138104,0.138136,0.138104,0.138104,0,17,8.4,0.0000,8.4,0.138136,0.138104,0.138136,0.006,0.0000,0.006,0.77338,0.0000,0.77338,0.019339,0.0000,0.019339,39.9907,40.0000,0.138136,0.138104,0.138136,8.4,0.0000,8.4,0.0000,8.4
19,0,0.0336326,18,16,17,1400,0.033633,40,1,5,20,19,17,16,1400,0.033633,40,1,5,0.0504495,0.0504612,0.0504495,0.0504495,0,19,8.4,0.0000,8.4,0.0504612,0.0504495,0.0504612,0.006,0.0000,0.006,0.282517,0.0000,0.282517,0.00706457,0.0000,0.00706457,39.9907,40.0000,0.0504612,0.0504495,0.0504612,8.4,0.0000,8.4,0.0000,8.4
21,0,0.212777,20,16,18,1400,0.212777,40,1,5,22,21,18,16,1400,0.212777,40,1,5,0.319165,0.319165,0.319165,0.31924,0,21,0.0000,8.4,8.4,0.319165,0.31924,0.31924,0.0000,0.006,0.006,0.0000,1.78733,1.78733,0.0000,0.0446936,0.0446936,40.0000,39.9907,0.319165,0.31924,0.31924,0.0000,8.4,0.0000,8.4,8.4
23,0,0.0458469,22,10,19,1400,0.045847,40,1,4,24,23,19,10,1400,0.045847,40,1,4,0.0687705,0.0979376,0.0687705,0.0998852,0,23,1254.5139,1309.7565,2564.2704,0.0979376,0.0998852,0.0998852,0.896081,0.93554,0.93554,57.5157,60.0484,117.5641,2.04773,2.18042,4.22816,28.0875,27.5398,0.0979376,0.0998852,0.0998852,1254.5139,1309.7565,1254.5139,1309.7565,2564.2704
25,0,0.0859617,24,20,21,1400,0.085962,40,1,5,26,25,21,20,1400,0.085962,40,1,5,0.128943,0.128943,0.128943,0.128943,0,25,0.0000,0.0000,0.0000,0.128943,0.128943,0.128943,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,40.0000,40.0000,0.128943,0.128943,0.128943,0.0000,0.0000,0.0000,0.0000,0.0000
27,0,0.184118,26,20,22,1400,0.184118,40,1,5,28,27,22,20,1400,0.184118,40,1,5,0.276177,0.276177,0.276177,0.276177,0,27,0.0000,0.0000,0.0000,0.276177,0.276177,0.276177,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,40.0000,40.0000,0.276177,0.276177,0.276177,0.0000,0.0000,0.0000,0.0000,0.0000
29,0,0.0961321,28,21,23,1400,0.096132,40,1,5,30,29,23,21,1400,0.096132,40,1,5,0.144198,0.144198,0.144198,0.144198,0,29,0.0000,0.0000,0.0000,0.144198,0.144198,0.144198,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,40.0000,40.0000,0.144198,0.144198,0.144198,0.0000,0.0000,0.0000,0.0000,0.0000
31,0,0.107028,32,24,25,1400,0.107028,40,1,5,32,33,25,24,1400,0.107028,40,1,5,0.160542,0.181605,0.160542,0.16084,0,31,573.8160,33.6000,607.4160,0.181605,0.16084,0.181605,0.409869,0.024,0.409869,61.4144,3.59614,65.0105,1.7368,0.0900707,1.82687,35.3607,39.9258,0.181605,0.16084,0.181605,573.8160,33.6000,573.8160,33.6000,607.4160
33,0,0.434451,34,10,26,1400,0.434451,40,1,5,34,35,26,10,1400,0.434451,40,1,5,0.651676,0.730064,0.651676,0.686153,0,33,541.5315,313.1923,854.7238,0.730064,0.686153,0.730064,0.386808,0.223709,0.386808,235.2689,136.0667,371.3356,6.58921,3.58163,10.1708,35.7052,37.9901,0.730064,0.686153,0.730064,541.5315,313.1923,541.5315,313.1923,854.7238
35,0,0.151366,36,24,27,1400,0.151366,40,1,5,36,37,27,24,1400,0.151366,40,1,5,0.227049,0.227471,0.227049,0.256838,0,35,33.6000,573.8160,607.4160,0.227471,0.256838,0.256838,0.024,0.409869,0.409869,5.0859,86.8562,91.9421,0.127384,2.4563,2.58368,39.9258,35.3607,0.227471,0.256838,0.256838,33.6000,573.8160,33.6000,573.8160,607.4160
37,0,0.0903006,38,28,29,1400,0.090301,40,1,5,38,39,29,28,1400,0.090301,40,1,5,0.135452,0.135451,0.135452,0.135451,0,37,0.0000,0.0000,0.0000,0.135451,0.135451,0.135451,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,40.0000,40.0000,0.135451,0.135451,0.135451,0.0000,0.0000,0.0000,0.0000,0.0000
