"ID1","AB_Flow_PCE","BA_Flow_PCE","Tot_Flow_PCE","AB_Time","BA_Time","Max_Time","AB_VOC","BA_VOC","Max_VOC","AB_VKmT","BA_VKmT","Tot_VKmT","AB_VHT","BA_VHT","Tot_VHT","AB_Speed","BA_Speed","AB_VDF","BA_VDF","Max_VDF","AB_Flow_OD_Number","BA_Flow_OD_Number","AB_Flow","BA_Flow","Tot_Flow"
1,35.3491,,35.3491,0.192032,,0.192032,0.0252494,,0.0252494,4.51638,,4.51638,0.113136,,0.113136,39.9199,,0.192032,,0.192032,35.3491,,35.3491,,35.3491
2,0.0000,,0.0000,1.40084,,1.40084,0.0000,,0.0000,0.0000,,0.0000,0.0000,,0.0000,40.0000,,1.40084,,1.40084,0.0000,,0.0000,,0.0000
3,445.1947,498.6000,943.7947,0.577484,0.586285,0.586285,0.317996,0.356143,0.356143,157.2922,176.1609,333.4531,4.28488,4.87203,9.15691,36.7087,36.1576,0.577484,0.586285,0.586285,445.1947,498.6000,445.1947,498.6000,943.7947
5,1458.7798,763.4355,2222.2153,0.187648,0.147165,0.187648,1.04199,0.545311,1.04199,119.1342,62.3475,181.4817,4.56229,1.87252,6.43481,26.1128,33.2961,0.187648,0.147165,0.187648,1458.7798,763.4355,1458.7798,763.4355,2222.2153
7,0.0000,0.0000,0.0000,0.320658,0.320658,0.320658,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,40.0000,40.0000,0.320658,0.320658,0.320658,0.0000,0.0000,0.0000,0.0000,0.0000
9,8.4,0.0000,8.4,0.183547,0.183504,0.183547,0.006,0.0000,0.006,1.02762,0.0000,1.02762,0.0256965,0.0000,0.0256965,39.9907,40.0000,0.183547,0.183504,0.183547,8.4,0.0000,8.4,0.0000,8.4
11,9,289.6606,298.6606,0.292029,0.305692,0.305692,0.00642857,0.2069,0.2069,1.75172,56.3784,58.1301,0.0438044,1.47578,1.51959,39.9897,38.2024,0.292029,0.305692,0.305692,9,289.6606,9,289.6606,298.6606
13,0.0000,8.4,8.4,0.478826,0.478937,0.478937,0.0000,0.006,0.006,0.0000,2.68142,2.68142,0.0000,0.0670512,0.0670512,40.0000,39.9907,0.478826,0.478937,0.478937,0.0000,8.4,0.0000,8.4,8.4
15,0.0000,8.4,8.4,0.143028,0.143061,0.143061,0.0000,0.006,0.006,0.0000,0.800957,0.800957,0.0000,0.0200286,0.0200286,40.0000,39.9907,0.143028,0.143061,0.143061,0.0000,8.4,0.0000,8.4,8.4
17,8.4,0.0000,8.4,0.138136,0.138104,0.138136,0.006,0.0000,0.006,0.77338,0.0000,0.77338,0.019339,0.0000,0.019339,39.9907,40.0000,0.138136,0.138104,0.138136,8.4,0.0000,8.4,0.0000,8.4
19,8.4,0.0000,8.4,0.0504612,0.0504495,0.0504612,0.006,0.0000,0.006,0.282517,0.0000,0.282517,0.00706457,0.0000,0.00706457,39.9907,40.0000,0.0504612,0.0504495,0.0504612,8.4,0.0000,8.4,0.0000,8.4
