,a_node,b_node,capacity,free_flow_time,a,b,direction,link_id
0,233,235,1400,0.13081649999999997,0.5,1.5,1,1
1,235,233,1400,0.13081649999999997,0.5,1.5,1,2
2,317,318,6600,0.239274,0.5,1.5,1,3
3,463,464,1400,0.5108655000000001,0.5,1.5,1,4
4,464,463,1400,0.5108655000000001,0.5,1.5,1,5
5,1108,1112,1400,0.2298075,0.5,1.5,1,6
6,1112,1108,1400,0.2298075,0.5,1.5,1,7
7,1115,1098,1400,1.7724795,0.5,1.5,1,8
8,1098,1115,1400,1.7724795,0.5,1.5,1,9
9,956,591,6600,0.404562,0.5,1.5,1,10
10,1979,1980,1400,0.031386000000000004,0.5,1.5,1,11
11,1980,1979,1400,0.031386000000000004,0.5,1.5,1,12
12,1992,521,1400,2.77134,0.5,1.5,1,13
13,521,1992,1400,2.77134,0.5,1.5,1,14
14,2102,2104,1400,0.675894,0.5,1.5,1,15
15,2104,2102,1400,0.675894,0.5,1.5,1,16
16,321,1028,6600,0.2146033333333333,0.5,1.5,1,17
17,2378,2379,1400,0.5578215,0.5,1.5,1,18
18,2379,2378,1400,0.5578215,0.5,1.5,1,19
19,2505,2506,1400,0.1853805,0.5,1.5,1,20
20,2506,2505,1400,0.1853805,0.5,1.5,1,21
21,2679,2680,1400,0.9406889999999999,0.5,1.5,1,22
22,2680,2679,1400,0.9406889999999999,0.5,1.5,1,23
23,1112,498,4000,0.103593,0.5,1.5,1,24
24,498,1112,4000,0.103593,0.5,1.5,1,25
25,2784,2218,1400,0.11973450000000002,0.5,1.5,1,26
26,2218,2784,1400,0.11973450000000002,0.5,1.5,1,27
27,592,2357,6600,1.1544686666666666,0.5,1.5,1,28
28,1108,10000052,99999,4.387134,0.5,1.5,1,29
29,10000052,1108,99999,4.387134,0.5,1.5,1,30
30,1113,10000052,99999,4.754736,0.5,1.5,1,31
31,10000052,1113,99999,4.754736,0.5,1.5,1,32
32,235,10000067,99999,4.109622,0.5,1.5,1,33
33,10000067,235,99999,4.109622,0.5,1.5,1,34
34,2101,10000067,99999,4.429902,0.5,1.5,1,35
35,10000067,2101,99999,4.429902,0.5,1.5,1,36
36,2102,10000067,99999,5.159502,0.5,1.5,1,37
37,10000067,2102,99999,5.159502,0.5,1.5,1,38
38,2103,10000067,99999,4.532646,0.5,1.5,1,39
39,10000067,2103,99999,4.532646,0.5,1.5,1,40
40,1979,10000096,99999,2.8086,0.5,1.5,1,41
41,10000096,1979,99999,2.8086,0.5,1.5,1,42
42,2505,10000096,99999,2.281248,0.5,1.5,1,43
43,10000096,2505,99999,2.281248,0.5,1.5,1,44
44,155,10000068,99999,7.42026,0.5,1.5,1,45
45,10000068,155,99999,7.42026,0.5,1.5,1,46
46,161,10000068,99999,6.409464,0.5,1.5,1,47
47,10000068,161,99999,6.409464,0.5,1.5,1,48
48,1175,10000068,99999,6.738432,0.5,1.5,1,49
49,10000068,1175,99999,6.738432,0.5,1.5,1,50
50,1986,10000068,99999,6.747288,0.5,1.5,1,51
51,10000068,1986,99999,6.747288,0.5,1.5,1,52
52,439,10000038,99999,5.003513999999999,0.5,1.5,1,53
53,10000038,439,99999,5.003513999999999,0.5,1.5,1,54
54,2378,10000038,99999,2.557728,0.5,1.5,1,55
55,10000038,2378,99999,2.557728,0.5,1.5,1,56
56,1353,10000105,99999,0.798816,0.5,1.5,1,57
57,10000105,1353,99999,0.798816,0.5,1.5,1,58
58,1354,10000105,99999,0.8041800000000001,0.5,1.5,1,59
59,10000105,1354,99999,0.8041800000000001,0.5,1.5,1,60
60,1355,10000105,99999,0.8255699999999999,0.5,1.5,1,61
61,10000105,1355,99999,0.8255699999999999,0.5,1.5,1,62
62,2208,10000105,99999,1.5895620000000001,0.5,1.5,1,63
63,10000105,2208,99999,1.5895620000000001,0.5,1.5,1,64
64,2215,10000105,99999,1.6926600000000003,0.5,1.5,1,65
65,10000105,2215,99999,1.6926600000000003,0.5,1.5,1,66
66,2216,10000105,99999,1.9188239999999999,0.5,1.5,1,67
67,10000105,2216,99999,1.9188239999999999,0.5,1.5,1,68
68,2217,10000105,99999,1.3410300000000002,0.5,1.5,1,69
69,10000105,2217,99999,1.3410300000000002,0.5,1.5,1,70
70,2218,10000105,99999,1.527246,0.5,1.5,1,71
