ID1,AB_Flow_PCE,BA_Flow_PCE,Tot_Flow_PCE,AB_Time,BA_Time,Max_Time,AB_VOC,BA_VOC,Max_VOC,AB_VKmT,BA_VKmT,Tot_VKmT,AB_VHT,BA_VHT,Tot_VHT,AB_Speed,BA_Speed,AB_VDF,BA_VDF,Max_VDF,AB_Flow_OD_Number,BA_Flow_OD_Number,AB_Flow,BA_Flow,Tot_Flow
1,0.0,0.0,0.0,0.0507225,0.0,0.0507225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0507225,0.0,0.0507225,0.0,0.0,0.0,0.0,0.0
2,8.4,0.0,8.4,0.151493,0.0,0.151493,0.006,0.0,0.006,0.848165,0.0,0.848165,0.021209,0.0,0.021209,39.9907,0.0,0.151493,0.0,0.151493,8.4,0.0,8.4,0.0,8.4
3,54.0,0.0,54.0,0.233052,0.232173,0.233052,0.0385714,0.0,0.0385714,8.35823,0.0,8.35823,0.209747,0.0,0.209747,39.8491,40.0,0.233052,0.232173,0.233052,54.0,0.0,54.0,0.0,54.0
5,1468.9214,0.0,1468.9214,0.182538,0.0,0.182538,0.222564,0.0,0.222564,382.1384,0.0,382.1384,4.46889,0.0,4.46889,85.5108,0.0,0.182538,0.0,0.182538,1468.9214,0.0,1468.9214,0.0,1468.9214
6,175.8,182.4,358.2,0.157183,0.157377,0.157377,0.125571,0.130286,0.130286,18.0209,18.6975,36.7184,0.460546,0.478427,0.938974,39.1294,39.0811,0.157183,0.157377,0.157377,175.8,182.4,175.8,182.4,358.2
8,278.6483,175.8,454.4483,0.623526,0.610302,0.623526,0.199034,0.125571,0.199034,110.9056,69.9707,180.8763,2.89574,1.78819,4.68393,38.2996,39.1294,0.623526,0.610302,0.623526,278.6483,175.8,278.6483,175.8,454.4483
10,577.2746,0.0,577.2746,0.0106601,0.0,0.0106601,0.0874658,0.0,0.0874658,9.11286,0.0,9.11286,0.102564,0.0,0.102564,88.8508,0.0,0.0106601,0.0,0.0106601,577.2746,0.0,577.2746,0.0,577.2746
11,0.0,0.0,0.0,0.252198,0.0,0.252198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.252198,0.0,0.252198,0.0,0.0,0.0,0.0,0.0
12,0.0,13.2,13.2,0.111681,0.111732,0.111732,0.0,0.00942857,0.00942857,0.0,0.982793,0.982793,0.0,0.0245811,0.0245811,40.0,39.9817,0.111681,0.111732,0.111732,0.0,13.2,0.0,13.2,13.2
14,13.2,0.0,13.2,0.129305,0.129246,0.129305,0.00942857,0.0,0.00942857,1.13736,0.0,1.13736,0.0284471,0.0,0.0284471,39.9817,40.0,0.129305,0.129246,0.129305,13.2,0.0,13.2,0.0,13.2
16,3290.3101,0.0,3290.3101,0.330932,0.0,0.330932,0.822578,0.0,0.822578,859.1329,0.0,859.1329,18.1478,0.0,18.1478,47.3408,0.0,0.330932,0.0,0.330932,3290.3101,0.0,3290.3101,0.0,3290.3101
17,6.6,10.8,17.4,0.0698348,0.0698472,0.0698472,0.00471429,0.00771429,0.00771429,0.307223,0.502729,0.809953,0.00768183,0.0125725,0.0202543,39.9935,39.9865,0.0698348,0.0698472,0.0698472,6.6,10.8,6.6,10.8,17.4
