ID1,AB_Flow_PCE,BA_Flow_PCE,Tot_Flow_PCE,AB_Time,BA_Time,Max_Time,AB_VOC,BA_VOC,Max_VOC,AB_VKmT,BA_VKmT,Tot_VKmT,AB_VHT,BA_VHT,Tot_VHT,AB_Speed,BA_Speed,AB_VDF,BA_VDF,Max_VDF,AB_Flow_OD_Number,BA_Flow_OD_Number,AB_Flow,BA_Flow,Tot_Flow
1,0.0,0.0,0.0,0.16337,0.16337,0.16337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,40.0,0.16337,0.16337,0.16337,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.14003,0.14003,0.14003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,40.0,0.14003,0.14003,0.14003,0.0,0.0,0.0,0.0,0.0
5,272.6419,37.2,309.8419,0.0686263,0.06803,0.0686263,0.209725,0.0286154,0.209725,12.3621,1.68672,14.0489,0.31184,0.0421786,0.354019,39.6425,39.99,0.0686263,0.06803,0.0686263,272.6419,37.2,272.6419,37.2,309.8419
7,37.2,272.6419,309.8419,0.191587,0.193267,0.193267,0.0286154,0.209725,0.209725,4.75018,34.8145,39.5646,0.118784,0.87821,0.996994,39.99,39.6425,0.191587,0.193267,0.193267,37.2,272.6419,37.2,272.6419,309.8419
9,0.0,0.0,0.0,0.322856,0.322856,0.322856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,40.0,0.322856,0.322856,0.322856,0.0,0.0,0.0,0.0,0.0
11,222.0,43.8605,265.8605,0.222919,0.221614,0.222919,0.170769,0.0337388,0.170769,32.7878,6.47788,39.2657,0.824802,0.162002,0.986804,39.7524,39.9866,0.222919,0.221614,0.222919,222.0,43.8605,222.0,43.8605,265.8605
13,0.0,0.0,0.0,0.320929,0.320929,0.320929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,40.0,0.320929,0.320929,0.320929,0.0,0.0,0.0,0.0,0.0
15,578.4,0.0,578.4,0.157283,0.0,0.157283,0.444923,0.0,0.444923,58.6023,0.0,58.6023,1.51621,0.0,1.51621,38.6505,0.0,0.157283,0.0,0.157283,578.4,0.0,578.4,0.0,578.4
16,15.0,7.2,22.2,0.250229,0.25022,0.250229,0.0115385,0.00553846,0.0115385,2.50217,1.20104,3.7032,0.0625572,0.0300264,0.0925835,39.9981,39.9995,0.250229,0.25022,0.250229,15.0,7.2,15.0,7.2,22.2
18,1341.9371,277.8378,1619.7749,0.179257,0.156132,0.179257,1.03226,0.213721,1.03226,138.3886,28.6523,167.0409,4.00919,0.72299,4.73218,34.5178,39.6303,0.179257,0.156132,0.179257,1341.9371,277.8378,1341.9371,277.8378,1619.7749
20,62.4378,690.0865,752.5243,0.152287,0.159491,0.159491,0.0480291,0.530836,0.530836,6.33494,70.0162,76.3511,0.158474,1.83438,1.99285,39.9746,38.1688,0.152287,0.159491,0.159491,62.4378,690.0865,62.4378,690.0865,752.5243
22,62.4378,690.0865,752.5243,0.15419,0.161485,0.161485,0.0480291,0.530836,0.530836,6.41411,70.8912,77.3053,0.160455,1.85731,2.01776,39.9746,38.1688,0.15419,0.161485,0.161485,62.4378,690.0865,62.4378,690.0865,752.5243
24,406.4218,3.6,410.0218,0.181836,0.178534,0.181836,0.312632,0.00276923,0.312632,48.3731,0.428479,48.8016,1.2317,0.010712,1.24241,39.2735,39.9998,0.181836,0.178534,0.181836,406.4218,3.6,406.4218,3.6,410.0218
26,0.0,49.8,49.8,0.185239,0.185318,0.185318,0.0,0.0383077,0.0383077,0.0,6.14995,6.14995,0.0,0.153814,0.153814,40.0,39.9831,0.185239,0.185318,0.185318,0.0,49.8,0.0,49.8,49.8
28,3.6,406.4218,410.0218,0.184703,0.188119,0.188119,0.00276923,0.312632,0.312632,0.443286,50.0448,50.488,0.0110822,1.27426,1.28535,39.9999,39.2735,0.184703,0.188119,0.188119,3.6,406.4218,3.6,406.4218,410.0218
30,665.406,0.0,665.406,0.159103,0.0,0.159103,0.511851,0.0,0.511851,67.544,0.0,67.544,1.76447,0.0,1.76447,38.28,0.0,0.159103,0.0,0.159103,665.406,0.0,665.406,0.0,665.406
31,406.4218,3.6,410.0218,0.185571,0.182201,0.185571,0.312632,0.00276923,0.312632,49.3668,0.437281,49.8041,1.257,0.0109321,1.26793,39.2735,39.9998,0.185571,0.182201,0.185571,406.4218,3.6,406.4218,3.6,410.0218
33,16.8,51.0,67.8,0.180749,0.180818,0.180818,0.0129231,0.0392308,0.0392308,2.02427,6.14509,8.16936,0.0506097,0.153695,0.204305,39.9976,39.9824,0.180749,0.180818,0.180818,16.8,51.0,16.8,51.0,67.8
35,51.0,16.8,67.8,0.180783,0.180714,0.180783,0.0392308,0.0129231,0.0392308,6.14392,2.02388,8.1678,0.153666,0.0506,0.204266,39.9824,39.9976,0.180783,0.180714,0.180783,51.0,16.8,51.0,16.8,67.8
37,90.6,0.0,90.6,0.191182,0.0,0.191182,0.0696923,0.0,0.0696923,11.5331,0.0,11.5331,0.288686,0.0,0.288686,39.9504,0.0,0.191182,0.0,0.191182,90.6,0.0,90.6,0.0,90.6
