ID1,AB_Flow_PCE,BA_Flow_PCE,Tot_Flow_PCE,AB_Time,BA_Time,Max_Time,AB_VOC,BA_VOC,Max_VOC,AB_VKmT,BA_VKmT,Tot_VKmT,AB_VHT,BA_VHT,Tot_VHT,AB_Speed,BA_Speed,AB_VDF,BA_VDF,Max_VDF,AB_Flow_OD_Number,BA_Flow_OD_Number,AB_Flow,BA_Flow,Tot_Flow
1,0.0,10.2,10.2,0.015447,0.0154485,0.0154485,0.0,0.0034,0.0034,0.0,0.10504,0.10504,0.0,0.00262625,0.00262625,40.0,39.996,0.015447,0.0154485,0.0154485,0.0,10.2,0.0,10.2,10.2
3,10.2,0.0,10.2,0.103938,0.103928,0.103938,0.0034,0.0,0.0034,0.706707,0.0,0.706707,0.0176694,0.0,0.0176694,39.996,40.0,0.103938,0.103928,0.103938,10.2,0.0,10.2,0.0,10.2
5,142.7834,2328.6223,2471.4057,0.0382405,0.051051,0.051051,0.0475945,0.776207,0.776207,3.62127,59.0585,62.6798,0.0910019,1.98131,2.07231,39.7934,29.8078,0.0382405,0.051051,0.051051,142.7834,2328.6223,142.7834,2328.6223,2471.4057
7,16.8,19.2,36.0,0.86638,0.866829,0.866829,0.028,0.032,0.032,6.05049,6.91484,12.9653,0.242586,0.277385,0.519972,24.9416,24.9287,0.86638,0.866829,0.866829,16.8,19.2,16.8,19.2,36.0
9,11.4,8.4,19.8,0.307609,0.307462,0.307609,0.019,0.014,0.019,1.45923,1.07523,2.53446,0.0584458,0.0430446,0.10149,24.9673,24.9793,0.307609,0.307462,0.307609,11.4,8.4,11.4,8.4,19.8
11,6.6,8.4,15.0,0.527591,0.527724,0.527724,0.011,0.014,0.014,1.45004,1.84551,3.29555,0.058035,0.0738813,0.131916,24.9856,24.9793,0.527591,0.527724,0.527724,6.6,8.4,6.6,8.4,15.0
13,46.2,95.007,141.207,0.318292,0.32485,0.32485,0.077,0.158345,0.158345,6.06236,12.4668,18.5292,0.245085,0.514383,0.759469,24.7357,24.2364,0.318292,0.32485,0.32485,46.2,95.007,46.2,95.007,141.207
15,95.607,48.0,143.607,0.398761,0.390842,0.398761,0.159345,0.08,0.159345,15.3955,7.72939,23.1249,0.635406,0.312674,0.948079,24.2294,24.7203,0.398761,0.390842,0.398761,95.607,48.0,95.607,48.0,143.607
17,10.2,0.0,10.2,0.0232883,0.0,0.0232883,0.0034,0.0,0.0034,0.158345,0.0,0.158345,0.00395901,0.0,0.00395901,39.996,0.0,0.0232883,0.0,0.0232883,10.2,0.0,10.2,0.0,10.2
18,0.0,0.0,0.0,0.068025,0.0,0.068025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.068025,0.0,0.068025,0.0,0.0,0.0,0.0,0.0
19,10.2,0.0,10.2,0.0630107,0.0,0.0630107,0.0034,0.0,0.0034,0.428431,0.0,0.428431,0.0107118,0.0,0.0107118,39.996,0.0,0.0630107,0.0,0.0630107,10.2,0.0,10.2,0.0,10.2
20,10.2,0.0,10.2,0.00286078,0.0,0.00286078,0.0034,0.0,0.0034,0.0194514,0.0,0.0194514,0.000486333,0.0,0.000486333,39.996,0.0,0.00286078,0.0,0.00286078,10.2,0.0,10.2,0.0,10.2
21,0.0,0.0,0.0,0.249618,0.0,0.249618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.249618,0.0,0.249618,0.0,0.0,0.0,0.0,0.0
22,257.4,0.0,257.4,0.160185,0.0,0.160185,0.0858,0.0,0.0858,27.1467,0.0,27.1467,0.687196,0.0,0.687196,39.5036,0.0,0.160185,0.0,0.160185,257.4,0.0,257.4,0.0,257.4
23,0.0,7.8,7.8,0.417283,0.417592,0.417592,0.0,0.013,0.013,0.0,1.35617,1.35617,0.0,0.054287,0.054287,25.0,24.9815,0.417283,0.417592,0.417592,0.0,7.8,0.0,7.8,7.8
25,7.8,0.0,7.8,0.423424,0.42311,0.423424,0.013,0.0,0.013,1.37511,0.0,1.37511,0.0550451,0.0,0.0550451,24.9815,25.0,0.423424,0.42311,0.423424,7.8,0.0,7.8,0.0,7.8
27,6.0,1.8,7.8,0.196632,0.19655,0.196632,0.01,0.003,0.01,0.491334,0.1474,0.638734,0.0196632,0.00589649,0.0255597,24.9875,24.9979,0.196632,0.19655,0.196632,6.0,1.8,6.0,1.8,7.8
29,0.0,6.0,6.0,0.217111,0.21722,0.21722,0.0,0.01,0.01,0.0,0.542778,0.542778,0.0,0.021722,0.021722,25.0,24.9875,0.217111,0.21722,0.21722,0.0,6.0,0.0,6.0,6.0
31,0.0,0.0,0.0,0.120446,0.0,0.120446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.120446,0.0,0.120446,0.0,0.0,0.0,0.0,0.0
32,13.8,0.0,13.8,0.208419,0.208056,0.208419,0.023,0.0,0.023,1.19632,0.0,1.19632,0.0479363,0.0,0.0479363,24.9565,25.0,0.208419,0.208056,0.208419,13.8,0.0,13.8,0.0,13.8
34,0.0,13.8,13.8,0.0798672,0.0800065,0.0800065,0.0,0.023,0.023,0.0,0.459236,0.459236,0.0,0.0184015,0.0184015,25.0,24.9565,0.0798672,0.0800065,0.0800065,0.0,13.8,0.0,13.8,13.8
36,0.0,0.0,0.0,0.132849,0.0,0.132849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.132849,0.0,0.132849,0.0,0.0,0.0,0.0,0.0
37,0.0,0.0,0.0,0.079488,0.079488,0.079488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,0.079488,0.079488,0.079488,0.0,0.0,0.0,0.0,0.0
