ID1,AB_Flow,BA_Flow,Tot_Flow,AB_Time,BA_Time,Max_Time,AB_VOC,BA_VOC,Max_VOC,AB_VKmT,BA_VKmT,Tot_VKmT,AB_VHT,BA_VHT,Tot_VHT,AB_Speed,BA_Speed,AB_VDF,BA_VDF,Max_VDF
1,2029.7716,195.0,2224.7716,0.170973,0.106828,0.170973,1.56136,0.15,1.56136,107.8113,10.3574,118.1687,5.78395,0.34719,6.13114,18.6398,29.8322,0.170973,0.106828,0.170973
3,90.9055,1148.0109,1238.9164,0.101692,0.12137,0.12137,0.0699273,0.883085,0.883085,4.61654,58.3006,62.9171,0.154073,2.32223,2.4763,29.9634,25.1054,0.101692,0.12137,0.12137
5,73.737,0.0,73.737,0.0982369,0.0,0.0982369,0.0567207,0.0,0.0567207,3.61894,0.0,3.61894,0.120728,0.0,0.120728,29.9759,0.0,0.0982369,0.0,0.0982369
6,519.0454,225.2803,744.3257,0.150866,0.146173,0.150866,0.399266,0.173293,0.399266,37.6526,16.3423,53.9949,1.30511,0.548832,1.85394,28.8502,29.7765,0.150866,0.146173,0.150866
8,225.2803,519.0454,744.3257,0.0969625,0.100075,0.100075,0.173293,0.399266,0.399266,10.8405,24.9765,35.817,0.364062,0.865729,1.22979,29.7765,28.8502,0.0969625,0.100075,0.100075
10,73.737,0.0,73.737,0.122188,0.0,0.122188,0.0567207,0.0,0.0567207,4.50127,0.0,4.50127,0.150163,0.0,0.150163,29.9759,0.0,0.122188,0.0,0.122188
11,519.0454,151.5433,670.5888,0.0526415,0.050796,0.0526415,0.399266,0.116572,0.399266,13.1381,3.83586,16.9739,0.455389,0.128297,0.583686,28.8502,29.8984,0.0526415,0.050796,0.0526415
13,654.677,57.0,711.677,0.147069,0.138366,0.147069,0.503598,0.0438462,0.503598,45.2709,3.94155,49.2125,1.60471,0.131448,1.73616,28.2113,29.9856,0.147069,0.138366,0.147069
15,57.0,654.677,711.677,0.358332,0.380868,0.380868,0.0438462,0.503598,0.503598,10.2076,117.2396,127.4471,0.340416,4.15576,4.49618,29.9856,28.2113,0.358332,0.380868,0.380868
17,654.677,57.0,711.677,0.122125,0.114899,0.122125,0.503598,0.0438462,0.503598,37.5929,3.27305,40.8659,1.33255,0.109154,1.4417,28.2113,29.9856,0.122125,0.114899,0.122125
