ID1,AB_Flow_PCE,BA_Flow_PCE,Tot_Flow_PCE,AB_Time,BA_Time,Max_Time,AB_VOC,BA_VOC,Max_VOC,AB_VKmT,BA_VKmT,Tot_VKmT,AB_VHT,BA_VHT,Tot_VHT,AB_Speed,BA_Speed,AB_VDF,BA_VDF,Max_VDF,AB_Flow_OD_Number,BA_Flow_OD_Number,AB_Flow,BA_Flow,Tot_Flow
1,423.4106,1785.941,2209.3515,0.0571423,0.0668981,0.0668981,0.117614,0.496095,0.496095,23.3016,98.2857,121.5872,0.403244,1.99127,2.39451,57.7852,49.3584,0.0571423,0.0668981,0.0668981,423.4106,1785.941,423.4106,1785.941,2209.3515
3,25.4533,217.6152,243.0685,0.212341,0.224921,0.224921,0.0212111,0.181346,0.181346,2.68919,22.9915,25.6807,0.0900796,0.815771,0.905851,29.8535,28.1837,0.212341,0.224921,0.224921,25.4533,217.6152,25.4533,217.6152,243.0685
5,0.0,0.0,0.0,0.111834,0.111834,0.111834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,30.0,0.111834,0.111834,0.111834,0.0,0.0,0.0,0.0,0.0
7,75.2341,48.0217,123.2557,0.507275,0.503536,0.507275,0.0626951,0.0400181,0.0626951,18.7445,11.9645,30.709,0.636073,0.403011,1.03908,29.4691,29.6879,0.507275,0.503536,0.507275,75.2341,48.0217,75.2341,48.0217,123.2557
9,75.2341,48.0217,123.2557,0.107529,0.106736,0.107529,0.0626951,0.0400181,0.0626951,3.97334,2.53617,6.50951,0.134831,0.0854276,0.220258,29.4691,29.6879,0.107529,0.106736,0.107529,75.2341,48.0217,75.2341,48.0217,123.2557
11,75.2341,48.0217,123.2557,0.307137,0.304873,0.307137,0.0626951,0.0400181,0.0626951,11.3491,7.24412,18.5933,0.38512,0.244009,0.629129,29.4691,29.6879,0.307137,0.304873,0.307137,75.2341,48.0217,75.2341,48.0217,123.2557
13,34.2217,75.2341,109.4557,0.0544948,0.0550909,0.0550909,0.0285181,0.0626951,0.0626951,0.92597,2.03568,2.96165,0.0310817,0.0690786,0.10016,29.7915,29.4691,0.0544948,0.0550909,0.0550909,34.2217,75.2341,34.2217,75.2341,109.4557
15,16.8,0.0,16.8,0.336197,0.0,0.336197,0.0028,0.0,0.0028,8.46849,0.0,8.46849,0.094135,0.0,0.094135,89.9611,0.0,0.336197,0.0,0.336197,16.8,0.0,16.8,0.0,16.8
16,75.2341,34.2217,109.4557,0.178652,0.176718,0.178652,0.0626951,0.0285181,0.0626951,6.60141,3.00278,9.60419,0.224011,0.100793,0.324805,29.4691,29.7915,0.178652,0.176718,0.178652,75.2341,34.2217,75.2341,34.2217,109.4557
18,67.4341,34.2217,101.6557,0.13377,0.132612,0.13377,0.0561951,0.0285181,0.0561951,4.4402,2.25333,6.69352,0.150345,0.0756366,0.225981,29.5334,29.7915,0.13377,0.132612,0.13377,67.4341,34.2217,67.4341,34.2217,101.6557
20,67.4341,34.2217,101.6557,0.128234,0.127124,0.128234,0.0561951,0.0285181,0.0561951,4.25644,2.16007,6.41651,0.144123,0.0725064,0.216629,29.5334,29.7915,0.128234,0.127124,0.128234,67.4341,34.2217,67.4341,34.2217,101.6557
22,522.6,0.0,522.6,0.032548,0.047551,0.047551,0.0871,0.0,0.0871,24.8502,0.0,24.8502,0.283493,0.0,0.283493,87.657,60.0,0.032548,0.047551,0.047551,522.6,0.0,522.6,0.0,522.6
24,67.4341,34.2217,101.6557,0.138762,0.13756,0.138762,0.0561951,0.0285181,0.0561951,4.60588,2.33741,6.94329,0.155955,0.078459,0.234414,29.5334,29.7915,0.138762,0.13756,0.138762,67.4341,34.2217,67.4341,34.2217,101.6557
26,67.4341,34.2217,101.6557,0.157674,0.156309,0.157674,0.0561951,0.0285181,0.0561951,5.23363,2.65598,7.8896,0.17721,0.0891523,0.266363,29.5334,29.7915,0.157674,0.156309,0.157674,67.4341,34.2217,67.4341,34.2217,101.6557
28,0.0,0.0,0.0,0.0245967,0.0,0.0245967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0245967,0.0,0.0245967,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.166942,0.166942,0.166942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,30.0,0.166942,0.166942,0.166942,0.0,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.465744,0.465744,0.465744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,30.0,0.465744,0.465744,0.465744,0.0,0.0,0.0,0.0,0.0
33,971.6502,0.0,971.6502,0.0252636,0.0,0.0252636,0.161942,0.0,0.161942,34.8599,0.0,34.8599,0.409123,0.0,0.409123,85.2063,0.0,0.0252636,0.0,0.0252636,971.6502,0.0,971.6502,0.0,971.6502
34,0.0,0.0,0.0,0.42084,0.42084,0.42084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,30.0,0.42084,0.42084,0.42084,0.0,0.0,0.0,0.0,0.0
36,0.0,0.0,0.0,0.309656,0.309656,0.309656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,30.0,0.309656,0.309656,0.309656,0.0,0.0,0.0,0.0,0.0
