ID1,AB_Flow,BA_Flow,Tot_Flow,AB_Time,BA_Time,Max_Time,AB_VOC,BA_VOC,Max_VOC,AB_VKmT,BA_VKmT,Tot_VKmT,AB_VHT,BA_VHT,Tot_VHT,AB_Speed,BA_Speed,AB_VDF,BA_VDF,Max_VDF
1,0.0,0.0,0.0,0.156846,0.156846,0.156846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,30.0,0.156846,0.156846,0.156846
3,0.0,0.0,0.0,0.100616,0.100616,0.100616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,30.0,0.100616,0.100616,0.100616
5,0.0,0.6,0.6,0.18877,0.18877,0.18877,0.0,0.0005,0.0005,0.0,0.056631,0.056631,0.0,0.0018877,0.0018877,30.0,30.0,0.18877,0.18877,0.18877
7,0.6,0.0,0.6,0.22541,0.22541,0.22541,0.0005,0.0,0.0005,0.067623,0.0,0.067623,0.0022541,0.0,0.0022541,30.0,30.0,0.22541,0.22541,0.22541
9,11.4,0.0,11.4,0.160117,0.16011,0.160117,0.0095,0.0,0.0095,0.912627,0.0,0.912627,0.0304223,0.0,0.0304223,29.9986,30.0,0.160117,0.16011,0.160117
11,40.8,11.4,52.2,0.153241,0.153159,0.153241,0.034,0.0095,0.034,3.1243,0.872966,3.99727,0.104204,0.0291002,0.133304,29.9827,29.9986,0.153241,0.153159,0.153241
13,0.0,0.0,0.0,0.160646,0.160646,0.160646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,30.0,0.160646,0.160646,0.160646
15,0.0,0.0,0.0,0.15123,0.15123,0.15123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,30.0,0.15123,0.15123,0.15123
17,0.6,28.8,29.4,0.236652,0.23672,0.23672,0.0005,0.024,0.024,0.0709956,3.40779,3.47878,0.00236652,0.113626,0.115992,30.0,29.9914,0.236652,0.23672,0.23672
19,28.8,0.6,29.4,0.450304,0.450174,0.450304,0.024,0.0005,0.024,6.48251,0.135052,6.61756,0.216146,0.00450174,0.220647,29.9914,30.0,0.450304,0.450174,0.450304
21,0.0,0.0,0.0,0.092094,0.092094,0.092094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,30.0,0.092094,0.092094,0.092094
23,0.0,0.0,0.0,0.247878,0.247878,0.247878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,30.0,0.247878,0.247878,0.247878
