ID1,AB_Flow,BA_Flow,Tot_Flow,AB_Time,BA_Time,Max_Time,AB_VOC,BA_VOC,Max_VOC,AB_VKmT,BA_VKmT,Tot_VKmT,AB_VHT,BA_VHT,Tot_VHT,AB_Speed,BA_Speed,AB_VDF,BA_VDF,Max_VDF
1,6.6,1.2,7.8,0.101139,0.101109,0.101139,0.00733333,0.00133333,0.00733333,0.389261,0.0707748,0.460036,0.0111252,0.00202219,0.0131474,34.989,34.9991,0.101139,0.101109,0.101139
3,0.0,0.0,0.0,0.10133,0.0,0.10133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.10133,0.0,0.10133
4,10.8,403.7033,414.5033,0.0875975,0.100689,0.100689,0.012,0.448559,0.448559,0.551502,20.6151,21.1666,0.0157676,0.677477,0.693245,34.977,30.4292,0.0875975,0.100689,0.100689
6,3.6,4.2,7.8,0.13651,0.136515,0.136515,0.004,0.00466667,0.00466667,0.286636,0.334408,0.621044,0.00819063,0.00955604,0.0177467,34.9956,34.9944,0.13651,0.136515,0.136515
8,4.2,3.6,7.8,0.136515,0.13651,0.136515,0.00466667,0.004,0.00466667,0.334408,0.286636,0.621044,0.00955604,0.00819063,0.0177467,34.9944,34.9956,0.136515,0.13651,0.136515
10,85.8,10.2,96.0,0.174912,0.172479,0.174912,0.0953333,0.0113333,0.0953333,8.62736,1.02563,9.65299,0.250124,0.0293214,0.279445,34.4924,34.9789,0.174912,0.172479,0.174912
12,16.8,0.0,16.8,0.365205,0.0,0.365205,0.0186667,0.0,0.0186667,3.57445,0.0,3.57445,0.102257,0.0,0.102257,34.9554,0.0,0.365205,0.0,0.365205
13,403.7033,10.8,414.5033,0.374606,0.325899,0.374606,0.448559,0.012,0.448559,76.6968,2.05182,78.7486,2.5205,0.0586619,2.57916,30.4292,34.977,0.374606,0.325899,0.374606
15,1.8,3.6,5.4,0.107878,0.107887,0.107887,0.002,0.004,0.004,0.113267,0.226534,0.3398,0.00323634,0.00647321,0.00970955,34.9984,34.9956,0.107878,0.107887,0.107887
17,3.6,1.8,5.4,0.0598824,0.0598775,0.0598824,0.004,0.002,0.004,0.125737,0.0628686,0.188606,0.00359295,0.00179633,0.00538927,34.9956,34.9984,0.0598824,0.0598775,0.0598824
19,0.0,6.0,6.0,0.0428246,0.0428362,0.0428362,0.0,0.00666667,0.00666667,0.0,0.149886,0.149886,0.0,0.00428362,0.00428362,35.0,34.9905,0.0428246,0.0428362,0.0428362
21,6.0,0.0,6.0,0.157454,0.157411,0.157454,0.00666667,0.0,0.00666667,0.550938,0.0,0.550938,0.0157454,0.0,0.0157454,34.9905,35.0,0.157454,0.157411,0.157454
23,9.0,37.2,46.2,0.337135,0.338383,0.338383,0.01,0.0413333,0.0413333,1.76908,7.31218,9.08126,0.0505703,0.209797,0.260368,34.9825,34.8536,0.337135,0.338383,0.338383
25,37.2,9.0,46.2,0.179766,0.179104,0.179766,0.0413333,0.01,0.0413333,3.88461,0.939825,4.82443,0.111455,0.0268656,0.138321,34.8536,34.9825,0.179766,0.179104,0.179766
27,86.4,307.2,393.6,0.238084,0.241395,0.241395,0.0288,0.1024,0.1024,17.1003,60.801,77.9013,0.342842,1.23594,1.57879,49.8781,49.194,0.238084,0.241395,0.241395
29,304.2,86.4,390.6,0.249713,0.246346,0.249713,0.1014,0.0288,0.1014,62.2965,17.6937,79.9902,1.26605,0.354738,1.62078,49.2056,49.8781,0.249713,0.246346,0.249713
