ID1,AB_Flow,BA_Flow,Tot_Flow,AB_Time,BA_Time,Max_Time,AB_VOC,BA_VOC,Max_VOC,AB_VKmT,BA_VKmT,Tot_VKmT,AB_VHT,BA_VHT,Tot_VHT,AB_Speed,BA_Speed,AB_VDF,BA_VDF,Max_VDF
1,0.0,0.0,0.0,0.127932,0.127932,0.127932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,35.0,0.127932,0.127932,0.127932
3,0.0,0.0,0.0,0.230892,0.230892,0.230892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,35.0,0.230892,0.230892,0.230892
5,367.2,0.0,367.2,0.338498,0.0,0.338498,0.0556364,0.0,0.0556364,144.6331,0.0,144.6331,2.07161,0.0,2.07161,69.8168,0.0,0.338498,0.0,0.338498
6,458.4211,68.4,526.8211,0.0350096,0.0347555,0.0350096,0.114605,0.0171,0.114605,13.2713,1.98018,15.2515,0.267485,0.0396213,0.307107,49.615,49.9776,0.0350096,0.0347555,0.0350096
8,68.4,458.4211,526.8211,0.130765,0.131721,0.131721,0.0171,0.114605,0.114605,7.45026,49.9321,57.3824,0.149072,1.00639,1.15546,49.9776,49.615,0.130765,0.131721,0.131721
10,458.4211,68.4,526.8211,0.357198,0.354606,0.357198,0.114605,0.0171,0.114605,135.4052,20.2035,155.6087,2.72912,0.404251,3.13337,49.615,49.9776,0.357198,0.354606,0.357198
12,69.6,564.9582,634.5582,0.205983,0.216065,0.216065,0.0497143,0.403542,0.403542,8.34441,67.7334,76.0778,0.23894,2.03446,2.2734,34.9226,33.2931,0.205983,0.216065,0.216065
14,789.5543,109.2,898.7543,0.229486,0.212487,0.229486,0.563967,0.078,0.563967,97.4413,13.4767,110.918,3.01986,0.386726,3.40659,32.2668,34.8482,0.229486,0.212487,0.229486
16,3.0,7.2,10.2,0.0513439,0.0513466,0.0513466,0.00214286,0.00514286,0.00514286,0.08985,0.21564,0.30549,0.00256719,0.0061616,0.00872879,34.9993,34.9974,0.0513439,0.0513466,0.0513466
18,7.2,3.0,10.2,0.187692,0.187682,0.187692,0.00514286,0.00214286,0.00514286,0.788249,0.328437,1.11669,0.0225231,0.0093841,0.0319072,34.9974,34.9993,0.187692,0.187682,0.187692
20,0.0,0.0,0.0,0.250215,0.250215,0.250215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,35.0,0.250215,0.250215,0.250215
