ID1,AB_Flow_PCE,BA_Flow_PCE,Tot_Flow_PCE,AB_Time,BA_Time,Max_Time,AB_VOC,BA_VOC,Max_VOC,AB_VKmT,BA_VKmT,Tot_VKmT,AB_VHT,BA_VHT,Tot_VHT,AB_Speed,BA_Speed,AB_VDF,BA_VDF,Max_VDF,AB_Flow_OD_Number,BA_Flow_OD_Number,AB_Flow,BA_Flow,Tot_Flow
1,3870.1194,0.0,3870.1194,0.0749787,0.0,0.0749787,0.64502,0.0,0.64502,345.7178,0.0,345.7178,4.83628,0.0,4.83628,71.4843,0.0,0.0749787,0.0,0.0749787,3870.1194,0.0,3870.1194,0.0,3870.1194
2,4509.1121,0.0,4509.1121,0.411703,0.0,0.411703,0.751519,0.0,0.751519,2100.4165,0.0,2100.4165,30.9402,0.0,30.9402,67.8863,0.0,0.411703,0.0,0.411703,4509.1121,0.0,4509.1121,0.0,4509.1121
3,1740.9074,0.0,1740.9074,0.154212,0.0,0.154212,0.483585,0.0,0.483585,229.8259,0.0,229.8259,4.47449,0.0,4.47449,51.3636,0.0,0.154212,0.0,0.154212,1740.9074,0.0,1740.9074,0.0,1740.9074
4,21.9454,148.492,170.4374,0.0666902,0.067903,0.067903,0.0168811,0.114225,0.114225,0.8528,5.7704,6.6232,0.0243924,0.168051,0.192443,34.9617,34.3372,0.0666902,0.067903,0.067903,21.9454,148.492,21.9454,148.492,170.4374
6,9.0,27.6,36.6,0.161167,0.16137,0.16137,0.00692308,0.0212308,0.0212308,0.845883,2.59404,3.43992,0.024175,0.0742301,0.0984051,34.9899,34.9459,0.161167,0.16137,0.16137,9.0,27.6,9.0,27.6,36.6
8,27.6,9.0,36.6,0.162989,0.162784,0.162989,0.0212308,0.00692308,0.0212308,2.62007,0.85437,3.47444,0.0749749,0.0244176,0.0993925,34.9459,34.9899,0.162989,0.162784,0.162989,27.6,9.0,27.6,9.0,36.6
10,0.0,0.0,0.0,0.226726,0.226726,0.226726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,35.0,0.226726,0.226726,0.226726,0.0,0.0,0.0,0.0,0.0
12,111.4548,471.262,582.7168,0.181782,0.199121,0.199121,0.0857345,0.362509,0.362509,11.6721,49.3529,61.025,0.337675,1.56397,1.90164,34.5661,31.5562,0.181782,0.199121,0.199121,111.4548,471.262,111.4548,471.262,582.7168
14,471.262,111.4548,582.7168,0.202868,0.185203,0.202868,0.362509,0.0857345,0.362509,50.2818,11.8918,62.1736,1.5934,0.34403,1.93743,31.5562,34.5661,0.202868,0.185203,0.202868,471.262,111.4548,471.262,111.4548,582.7168
16,0.0,0.0,0.0,0.182169,0.182169,0.182169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,35.0,0.182169,0.182169,0.182169,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.659784,0.659784,0.659784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,35.0,0.659784,0.659784,0.659784,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.179667,0.179667,0.179667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,35.0,0.179667,0.179667,0.179667,0.0,0.0,0.0,0.0,0.0
22,124.0768,43.9784,168.0552,0.1844,0.182286,0.1844,0.0954437,0.0338295,0.0954437,13.1526,4.66189,17.8145,0.38133,0.133611,0.514941,34.4915,34.8915,0.1844,0.182286,0.1844,124.0768,43.9784,124.0768,43.9784,168.0552
