ID1,AB_Flow_PCE,BA_Flow_PCE,Tot_Flow_PCE,AB_Time,BA_Time,Max_Time,AB_VOC,BA_VOC,Max_VOC,AB_VKmT,BA_VKmT,Tot_VKmT,AB_VHT,BA_VHT,Tot_VHT,AB_Speed,BA_Speed,AB_VDF,BA_VDF,Max_VDF,AB_Flow_OD_Number,BA_Flow_OD_Number,AB_Flow,BA_Flow,Tot_Flow
1,35.3491,0.0,35.3491,0.192032,0.0,0.192032,0.0252494,0.0,0.0252494,4.51638,0.0,4.51638,0.113136,0.0,0.113136,39.9199,0.0,0.192032,0.0,0.192032,35.3491,0.0,35.3491,0.0,35.3491
2,0.0,0.0,0.0,1.40084,0.0,1.40084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,1.40084,0.0,1.40084,0.0,0.0,0.0,0.0,0.0
3,445.1947,498.6,943.7947,0.577484,0.586285,0.586285,0.317996,0.356143,0.356143,157.2922,176.1609,333.4531,4.28488,4.87203,9.15691,36.7087,36.1576,0.577484,0.586285,0.586285,445.1947,498.6,445.1947,498.6,943.7947
5,1458.7798,763.4355,2222.2153,0.187648,0.147165,0.187648,1.04199,0.545311,1.04199,119.1342,62.3475,181.4817,4.56229,1.87252,6.43481,26.1128,33.2961,0.187648,0.147165,0.187648,1458.7798,763.4355,1458.7798,763.4355,2222.2153
7,0.0,0.0,0.0,0.320658,0.320658,0.320658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,40.0,0.320658,0.320658,0.320658,0.0,0.0,0.0,0.0,0.0
9,8.4,0.0,8.4,0.183547,0.183504,0.183547,0.006,0.0,0.006,1.02762,0.0,1.02762,0.0256965,0.0,0.0256965,39.9907,40.0,0.183547,0.183504,0.183547,8.4,0.0,8.4,0.0,8.4
11,9.0,289.6606,298.6606,0.292029,0.305692,0.305692,0.00642857,0.2069,0.2069,1.75172,56.3784,58.1301,0.0438044,1.47578,1.51959,39.9897,38.2024,0.292029,0.305692,0.305692,9.0,289.6606,9.0,289.6606,298.6606
13,0.0,8.4,8.4,0.478826,0.478937,0.478937,0.0,0.006,0.006,0.0,2.68142,2.68142,0.0,0.0670512,0.0670512,40.0,39.9907,0.478826,0.478937,0.478937,0.0,8.4,0.0,8.4,8.4
15,0.0,8.4,8.4,0.143028,0.143061,0.143061,0.0,0.006,0.006,0.0,0.800957,0.800957,0.0,0.0200286,0.0200286,40.0,39.9907,0.143028,0.143061,0.143061,0.0,8.4,0.0,8.4,8.4
17,8.4,0.0,8.4,0.138136,0.138104,0.138136,0.006,0.0,0.006,0.77338,0.0,0.77338,0.019339,0.0,0.019339,39.9907,40.0,0.138136,0.138104,0.138136,8.4,0.0,8.4,0.0,8.4
19,8.4,0.0,8.4,0.0504612,0.0504495,0.0504612,0.006,0.0,0.006,0.282517,0.0,0.282517,0.00706457,0.0,0.00706457,39.9907,40.0,0.0504612,0.0504495,0.0504612,8.4,0.0,8.4,0.0,8.4
21,0.0,8.4,8.4,0.319165,0.31924,0.31924,0.0,0.006,0.006,0.0,1.78733,1.78733,0.0,0.0446936,0.0446936,40.0,39.9907,0.319165,0.31924,0.31924,0.0,8.4,0.0,8.4,8.4
23,1254.5139,1309.7565,2564.2704,0.0979376,0.0998852,0.0998852,0.896081,0.93554,0.93554,57.5157,60.0484,117.5641,2.04773,2.18042,4.22816,28.0875,27.5398,0.0979376,0.0998852,0.0998852,1254.5139,1309.7565,1254.5139,1309.7565,2564.2704
25,0.0,0.0,0.0,0.128943,0.128943,0.128943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,40.0,0.128943,0.128943,0.128943,0.0,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.276177,0.276177,0.276177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,40.0,0.276177,0.276177,0.276177,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.144198,0.144198,0.144198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,40.0,0.144198,0.144198,0.144198,0.0,0.0,0.0,0.0,0.0
31,573.816,33.6,607.416,0.181605,0.16084,0.181605,0.409869,0.024,0.409869,61.4144,3.59614,65.0105,1.7368,0.0900707,1.82687,35.3607,39.9258,0.181605,0.16084,0.181605,573.816,33.6,573.816,33.6,607.416
33,541.5315,313.1923,854.7238,0.730064,0.686153,0.730064,0.386808,0.223709,0.386808,235.2689,136.0667,371.3356,6.58921,3.58163,10.1708,35.7052,37.9901,0.730064,0.686153,0.730064,541.5315,313.1923,541.5315,313.1923,854.7238
35,33.6,573.816,607.416,0.227471,0.256838,0.256838,0.024,0.409869,0.409869,5.0859,86.8562,91.9421,0.127384,2.4563,2.58368,39.9258,35.3607,0.227471,0.256838,0.256838,33.6,573.816,33.6,573.816,607.416
37,0.0,0.0,0.0,0.135451,0.135451,0.135451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,40.0,0.135451,0.135451,0.135451,0.0,0.0,0.0,0.0,0.0
39,1458.7798,760.7591,2219.5389,0.209835,0.16442,0.209835,1.04199,0.543399,1.04199,133.2202,69.4748,202.695,5.10172,2.08474,7.18646,26.1128,33.3254,0.209835,0.16442,0.209835,1458.7798,760.7591,1458.7798,760.7591,2219.5389
41,0.0,0.0,0.0,0.132364,0.132364,0.132364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,40.0,0.132364,0.132364,0.132364,0.0,0.0,0.0,0.0,0.0
43,1444.8167,149.8056,1594.6223,0.0465011,0.0310424,0.0465011,1.03201,0.107004,1.03201,29.3861,3.0469,32.433,1.11976,0.0775055,1.19726,26.2433,39.312,0.0465011,0.0310424,0.0465011,1444.8167,149.8056,1444.8167,149.8056,1594.6223
45,149.8056,1444.8167,1594.6223,0.244834,0.366757,0.366757,0.107004,1.03201,1.03201,24.0311,231.7703,255.8013,0.611291,8.83161,9.4429,39.312,26.2433,0.244834,0.366757,0.366757,149.8056,1444.8167,149.8056,1444.8167,1594.6223
47,1000.4277,1199.8971,2200.3248,0.186348,0.199901,0.199901,0.714591,0.857069,0.857069,95.4548,114.487,209.9418,3.10714,3.99768,7.10482,30.7212,28.6383,0.186348,0.199901,0.199901,1000.4277,1199.8971,1000.4277,1199.8971,2200.3248
